# Зависимость плотности от высоты
# Высота (м)	Значение
-2000	1.47816
-1000	1.34702
0	1.225
1000	1.11166
2000	1.00655
3000	0.909254
4000	0.819347
5000	0.736429
6000	0.660111
7000	0.590018
8000	0.525786
9000	0.467063
10000	0.41351
11000	0.364801
12000	0.311937
13000	0.266595
14000	0.227855
15000	0.194755
16000	0.16647
17000	0.142301
18000	0.121647
19000	0.103995
20000	0.0889096
21000	0.0757151
22000	0.06451
23000	0.0550058
24000	0.046938
25000	0.040084
26000	0.0342567
27000	0.0292984
28000	0.0250763
29000	0.0214785
30000	0.0184102
31000	0.0157916
32000	0.0135552
33000	0.0115731
34000	0.00988742
35000	0.00846339
36000	0.00725793
37000	0.00623548
38000	0.00536657
39000	0.00462675
40000	0.00399568
41000	0.00345641
42000	0.00299477
43000	0.0025989
44000	0.00225885
45000	0.00196628
46000	0.00171415
47000	0.00149652
48000	0.00131674
49000	0.00116281
50000	0.00102691
51000	0.000906932
52000	0.000805618
53000	0.000717909
54000	0.000639006
55000	0.0005681
56000	0.000504452
57000	0.00044738
58000	0.000396265
59000	0.000350538
60000	0.000309678
61000	0.000273213
62000	0.00024071
63000	0.000211776
64000	0.000186051
65000	0.00016321
66000	0.000142958
67000	0.000125025
68000	0.000109169
69000	9.51702e-05
70000	8.28287e-05
71000	7.19652e-05
72000	6.23729e-05
73000	5.38236e-05
74000	4.6385e-05
75000	3.99209e-05
76000	3.43106e-05
77000	2.94478e-05
78000	2.52384e-05
79000	2.15994e-05
80000	1.84579e-05
81000	1.57497e-05
82000	1.34182e-05
83000	1.14141e-05
84000	9.69382e-06
85000	8.21945e-06
86000	7.16053e-06
87000	5.99204e-06
88000	5.01451e-06
89000	4.19668e-06
90000	3.51243e-06
91000	2.9399e-06
92000	2.46083e-06
93000	2.05995e-06
94000	1.72446e-06
