# Зависимость ускорения свободного падения от высоты
# Высота (м)	Значение
-2000	9.81282
-1000	9.80974
0	9.80665
1000	9.80357
2000	9.80048
3000	9.7974
4000	9.79432
5000	9.79124
6000	9.78816
7000	9.78509
8000	9.78201
9000	9.77894
10000	9.77587
11000	9.7728
12000	9.76973
13000	9.76666
14000	9.7636
15000	9.76053
16000	9.75747
17000	9.75441
18000	9.75135
19000	9.74829
20000	9.74523
21000	9.74218
22000	9.73912
23000	9.73607
24000	9.73302
25000	9.72997
26000	9.72692
27000	9.72387
28000	9.72083
29000	9.71778
30000	9.71474
31000	9.7117
32000	9.70866
33000	9.70562
34000	9.70258
35000	9.69955
36000	9.69651
37000	9.69348
38000	9.69045
39000	9.68742
40000	9.68439
41000	9.68136
42000	9.67834
43000	9.67531
44000	9.67229
45000	9.66927
46000	9.66625
47000	9.66323
48000	9.66021
49000	9.65719
50000	9.65418
51000	9.65117
52000	9.64816
53000	9.64515
54000	9.64214
55000	9.63913
56000	9.63612
57000	9.63312
58000	9.63012
59000	9.62711
60000	9.62411
61000	9.62111
62000	9.61812
63000	9.61512
64000	9.61213
65000	9.60913
66000	9.60614
67000	9.60315
68000	9.60016
69000	9.59717
70000	9.59419
71000	9.5912
72000	9.58822
73000	9.58524
74000	9.58225
75000	9.57928
76000	9.5763
77000	9.57332
78000	9.57035
79000	9.56737
80000	9.5644
81000	9.56143
82000	9.55846
83000	9.55549
84000	9.55252
85000	9.54956
86000	9.54659
87000	9.54363
88000	9.54067
89000	9.53771
90000	9.53475
91000	9.53179
92000	9.52884
93000	9.52588
94000	9.52293
