# Зависимость давления от высоты
# Высота (м)	Значение
-2000	127783
-1000	113931
0	101325
1000	89876.3
2000	79501.4
3000	70121.1
4000	61660.4
5000	54048.3
6000	47217.6
7000	41105.2
8000	35651.6
9000	30800.7
10000	26499.9
11000	22699.9
12000	19399.4
13000	16579.6
14000	14170.3
15000	12111.8
16000	10352.8
17000	8849.7
18000	7565.21
19000	6467.47
20000	5529.29
21000	4728.95
22000	4047.51
23000	3466.87
24000	2971.75
25000	2549.23
26000	2188.38
27000	1879.98
28000	1616.2
29000	1390.42
30000	1197.03
31000	1031.26
32000	889.065
33000	767.311
34000	663.414
35000	574.595
36000	498.523
37000	433.249
38000	377.139
39000	328.822
40000	287.144
41000	251.133
42000	219.967
43000	192.952
44000	169.496
45000	149.101
46000	131.341
47000	115.851
48000	102.299
49000	90.3398
50000	79.7817
51000	70.4603
52000	62.2149
53000	54.8738
54000	48.3377
55000	42.5252
56000	37.3623
57000	32.782
58000	28.7237
59000	25.1325
60000	21.9587
61000	19.1576
62000	16.6887
63000	14.5157
64000	12.6058
65000	10.9297
66000	9.4609
67000	8.17572
68000	7.05295
69000	6.07366
70000	5.2209
71000	4.47956
72000	3.83623
73000	3.2802
74000	2.80084
75000	2.38813
76000	2.03328
77000	1.7286
78000	1.46736
79000	1.24369
80000	1.05247
81000	0.889226
82000	0.750083
83000	0.631664
84000	0.531041
85000	0.445678
86000	0.38365
87000	0.321044
88000	0.268669
89000	0.224851
90000	0.18819
91000	0.157515
92000	0.131848
93000	0.110369
94000	0.0923938
