t(c)	x(m)	y(m)	V(m/s)	theta_c(grad)	theta(grad)	alpha(grad)	omega_z(1/s)	M	Cxa	Cya_alpha	m(kg)	P(H)	g(m/s2)
0.000	0.00	0.00	10.000	85.000	85.000	0.000	0.0000	0.0294	0.3000	0.2500	1255.00	56000.0	9.8066
0.001	0.00	0.01	10.035	84.995	85.000	0.005	0.0000	0.0295	0.3000	0.2500	1254.98	56000.0	9.8066
0.002	0.00	0.02	10.070	84.990	85.000	0.010	0.0000	0.0296	0.3000	0.2500	1254.96	56000.0	9.8066
0.003	0.00	0.03	10.105	84.985	85.000	0.015	0.0000	0.0297	0.3000	0.2500	1254.94	56000.0	9.8066
0.004	0.00	0.04	10.139	84.981	85.000	0.019	0.0000	0.0298	0.3000	0.2500	1254.92	56000.0	9.8066
0.005	0.00	0.05	10.174	84.976	85.000	0.024	0.0000	0.0299	0.3000	0.2500	1254.90	56000.0	9.8066
0.006	0.01	0.06	10.209	84.971	85.000	0.029	0.0000	0.0300	0.3000	0.2500	1254.88	56000.0	9.8066
0.007	0.01	0.07	10.244	84.966	85.000	0.034	0.0000	0.0301	0.3000	0.2500	1254.86	56000.0	9.8066
0.008	0.01	0.08	10.279	84.962	85.000	0.038	0.0000	0.0302	0.3000	0.2500	1254.84	56000.0	9.8066
0.009	0.01	0.09	10.314	84.957	85.000	0.043	0.0000	0.0303	0.3000	0.2500	1254.82	56000.0	9.8066
0.010	0.01	0.10	10.349	84.953	85.000	0.047	0.0000	0.0304	0.3000	0.2500	1254.80	56000.0	9.8066
0.011	0.01	0.11	10.383	84.948	85.000	0.052	0.0000	0.0305	0.3000	0.2500	1254.78	56000.0	9.8066
0.012	0.01	0.12	10.418	84.943	85.000	0.057	0.0000	0.0306	0.3000	0.2500	1254.76	56000.0	9.8066
0.013	0.01	0.13	10.453	84.939	85.000	0.061	0.0000	0.0307	0.3000	0.2500	1254.74	56000.0	9.8066
0.014	0.01	0.14	10.488	84.934	85.000	0.066	0.0000	0.0308	0.3000	0.2500	1254.72	56000.0	9.8066
0.015	0.01	0.15	10.523	84.930	85.000	0.070	0.0000	0.0309	0.3000	0.2500	1254.70	56000.0	9.8066
0.016	0.01	0.16	10.558	84.926	85.000	0.074	0.0000	0.0310	0.3000	0.2500	1254.68	56000.0	9.8066
0.017	0.02	0.17	10.593	84.921	85.000	0.079	0.0000	0.0311	0.3000	0.2500	1254.66	56000.0	9.8066
0.018	0.02	0.18	10.627	84.917	85.000	0.083	0.0000	0.0312	0.3000	0.2500	1254.64	56000.0	9.8066
0.019	0.02	0.20	10.662	84.912	85.000	0.088	0.0000	0.0313	0.3000	0.2500	1254.62	56000.0	9.8066
0.020	0.02	0.21	10.697	84.908	85.000	0.092	0.0000	0.0314	0.3000	0.2500	1254.60	56000.0	9.8066
0.021	0.02	0.22	10.732	84.904	85.000	0.096	0.0000	0.0315	0.3000	0.2500	1254.58	56000.0	9.8066
0.022	0.02	0.23	10.767	84.900	85.000	0.100	0.0000	0.0316	0.3000	0.2500	1254.56	56000.0	9.8066
0.023	0.02	0.24	10.802	84.895	85.000	0.105	0.0000	0.0317	0.3000	0.2500	1254.54	56000.0	9.8066
0.024	0.02	0.25	10.837	84.891	85.000	0.109	0.0000	0.0318	0.3000	0.2500	1254.52	56000.0	9.8066
0.025	0.02	0.26	10.871	84.887	85.000	0.113	0.0000	0.0319	0.3000	0.2500	1254.50	56000.0	9.8066
0.026	0.02	0.27	10.906	84.883	85.000	0.117	0.0000	0.0320	0.3000	0.2500	1254.48	56000.0	9.8066
0.027	0.02	0.28	10.941	84.879	85.000	0.121	0.0000	0.0322	0.3000	0.2500	1254.46	56000.0	9.8066
0.028	0.03	0.29	10.976	84.875	85.000	0.125	0.0000	0.0323	0.3000	0.2500	1254.44	56000.0	9.8066
0.029	0.03	0.30	11.011	84.871	85.000	0.129	0.0000	0.0324	0.3000	0.2500	1254.42	56000.0	9.8066
0.030	0.03	0.31	11.046	84.867	85.000	0.133	0.0000	0.0325	0.3000	0.2500	1254.40	56000.0	9.8066
0.031	0.03	0.32	11.081	84.863	85.000	0.137	0.0000	0.0326	0.3000	0.2500	1254.38	56000.0	9.8066
0.032	0.03	0.34	11.116	84.859	85.000	0.141	0.0000	0.0327	0.3000	0.2500	1254.36	56000.0	9.8066
0.033	0.03	0.35	11.150	84.855	85.000	0.145	0.0000	0.0328	0.3000	0.2500	1254.34	56000.0	9.8066
0.034	0.03	0.36	11.185	84.851	85.000	0.149	0.0000	0.0329	0.3000	0.2500	1254.32	56000.0	9.8066
0.035	0.03	0.37	11.220	84.847	85.000	0.153	0.0000	0.0330	0.3000	0.2500	1254.30	56000.0	9.8066
0.036	0.03	0.38	11.255	84.843	85.000	0.157	0.0000	0.0331	0.3000	0.2500	1254.28	56000.0	9.8066
0.037	0.03	0.39	11.290	84.839	85.000	0.161	0.0000	0.0332	0.3000	0.2500	1254.26	56000.0	9.8066
0.038	0.04	0.40	11.325	84.835	85.000	0.165	0.0000	0.0333	0.3000	0.2500	1254.24	56000.0	9.8066
0.039	0.04	0.41	11.360	84.831	85.000	0.169	0.0000	0.0334	0.3000	0.2500	1254.22	56000.0	9.8066
0.040	0.04	0.43	11.395	84.828	85.000	0.172	0.0000	0.0335	0.3000	0.2500	1254.20	56000.0	9.8066
0.041	0.04	0.44	11.429	84.824	85.000	0.176	0.0000	0.0336	0.3000	0.2500	1254.18	56000.0	9.8066
0.042	0.04	0.45	11.464	84.820	85.000	0.180	0.0000	0.0337	0.3000	0.2500	1254.16	56000.0	9.8066
0.043	0.04	0.46	11.499	84.816	85.000	0.184	0.0000	0.0338	0.3000	0.2500	1254.14	56000.0	9.8066
0.044	0.04	0.47	11.534	84.813	85.000	0.187	0.0000	0.0339	0.3000	0.2500	1254.12	56000.0	9.8066
0.045	0.04	0.48	11.569	84.809	85.000	0.191	0.0000	0.0340	0.3000	0.2500	1254.10	56000.0	9.8066
0.046	0.04	0.49	11.604	84.805	85.000	0.195	0.0000	0.0341	0.3000	0.2500	1254.08	56000.0	9.8066
0.047	0.05	0.51	11.639	84.802	85.000	0.198	0.0000	0.0342	0.3000	0.2500	1254.06	56000.0	9.8066
0.048	0.05	0.52	11.674	84.798	85.000	0.202	0.0000	0.0343	0.3000	0.2500	1254.04	56000.0	9.8066
0.049	0.05	0.53	11.708	84.794	85.000	0.206	0.0000	0.0344	0.3000	0.2500	1254.02	56000.0	9.8066
0.050	0.05	0.54	11.743	84.791	85.000	0.209	0.0000	0.0345	0.3000	0.2500	1254.00	56000.0	9.8066
0.051	0.05	0.55	11.778	84.787	85.000	0.213	0.0000	0.0346	0.3000	0.2500	1253.98	56000.0	9.8066
0.052	0.05	0.56	11.813	84.784	85.000	0.216	0.0000	0.0347	0.3000	0.2500	1253.96	56000.0	9.8066
0.053	0.05	0.58	11.848	84.780	85.000	0.220	0.0000	0.0348	0.3000	0.2500	1253.94	56000.0	9.8066
0.054	0.05	0.59	11.883	84.777	85.000	0.223	0.0000	0.0349	0.3000	0.2500	1253.92	56000.0	9.8066
0.055	0.05	0.60	11.918	84.773	85.000	0.227	0.0000	0.0350	0.3000	0.2500	1253.90	56000.0	9.8066
0.056	0.05	0.61	11.953	84.770	85.000	0.230	0.0000	0.0351	0.3000	0.2500	1253.88	56000.0	9.8066
0.057	0.06	0.62	11.988	84.766	85.000	0.234	0.0000	0.0352	0.3000	0.2500	1253.86	56000.0	9.8066
0.058	0.06	0.64	12.022	84.763	85.000	0.237	0.0000	0.0353	0.3000	0.2500	1253.84	56000.0	9.8066
0.059	0.06	0.65	12.057	84.760	85.000	0.240	0.0000	0.0354	0.3000	0.2500	1253.82	56000.0	9.8066
0.060	0.06	0.66	12.092	84.756	85.000	0.244	0.0000	0.0355	0.3000	0.2500	1253.80	56000.0	9.8066
0.061	0.06	0.67	12.127	84.753	85.000	0.247	0.0000	0.0356	0.3000	0.2500	1253.78	56000.0	9.8066
0.062	0.06	0.68	12.162	84.750	85.000	0.250	0.0000	0.0357	0.3000	0.2500	1253.76	56000.0	9.8066
0.063	0.06	0.70	12.197	84.746	85.000	0.254	0.0000	0.0358	0.3000	0.2500	1253.74	56000.0	9.8066
0.064	0.06	0.71	12.232	84.743	85.000	0.257	0.0000	0.0359	0.3000	0.2500	1253.72	56000.0	9.8066
0.065	0.06	0.72	12.267	84.740	85.000	0.260	0.0000	0.0360	0.3000	0.2500	1253.70	56000.0	9.8066
0.066	0.07	0.73	12.302	84.737	85.000	0.263	0.0000	0.0362	0.3000	0.2500	1253.68	56000.0	9.8066
0.067	0.07	0.74	12.337	84.733	85.000	0.267	0.0000	0.0363	0.3000	0.2500	1253.66	56000.0	9.8066
0.068	0.07	0.76	12.371	84.730	85.000	0.270	0.0000	0.0364	0.3000	0.2500	1253.64	56000.0	9.8066
0.069	0.07	0.77	12.406	84.727	85.000	0.273	0.0000	0.0365	0.3000	0.2500	1253.62	56000.0	9.8066
0.070	0.07	0.78	12.441	84.724	85.000	0.276	0.0000	0.0366	0.3000	0.2500	1253.60	56000.0	9.8066
0.071	0.07	0.79	12.476	84.721	85.000	0.279	0.0000	0.0367	0.3000	0.2500	1253.58	56000.0	9.8066
0.072	0.07	0.81	12.511	84.717	85.000	0.283	0.0000	0.0368	0.3000	0.2500	1253.56	56000.0	9.8066
0.073	0.07	0.82	12.546	84.714	85.000	0.286	0.0000	0.0369	0.3000	0.2500	1253.54	56000.0	9.8066
0.074	0.08	0.83	12.581	84.711	85.000	0.289	0.0000	0.0370	0.3000	0.2500	1253.52	56000.0	9.8066
0.075	0.08	0.84	12.616	84.708	85.000	0.292	0.0000	0.0371	0.3000	0.2500	1253.50	56000.0	9.8066
0.076	0.08	0.86	12.651	84.705	85.000	0.295	0.0000	0.0372	0.3000	0.2500	1253.48	56000.0	9.8066
0.077	0.08	0.87	12.686	84.702	85.000	0.298	0.0000	0.0373	0.3000	0.2500	1253.46	56000.0	9.8066
0.078	0.08	0.88	12.720	84.699	85.000	0.301	0.0000	0.0374	0.3000	0.2500	1253.44	56000.0	9.8066
0.079	0.08	0.89	12.755	84.696	85.000	0.304	0.0000	0.0375	0.3000	0.2500	1253.42	56000.0	9.8066
0.080	0.08	0.91	12.790	84.693	85.000	0.307	0.0000	0.0376	0.3000	0.2500	1253.40	56000.0	9.8066
0.081	0.08	0.92	12.825	84.690	85.000	0.310	0.0000	0.0377	0.3000	0.2500	1253.38	56000.0	9.8066
0.082	0.08	0.93	12.860	84.687	85.000	0.313	0.0000	0.0378	0.3000	0.2500	1253.36	56000.0	9.8066
0.083	0.09	0.94	12.895	84.684	85.000	0.316	0.0000	0.0379	0.3000	0.2500	1253.34	56000.0	9.8066
0.084	0.09	0.96	12.930	84.681	85.000	0.319	0.0000	0.0380	0.3000	0.2500	1253.32	56000.0	9.8066
0.085	0.09	0.97	12.965	84.678	85.000	0.322	0.0000	0.0381	0.3000	0.2500	1253.30	56000.0	9.8066
0.086	0.09	0.98	13.000	84.675	85.000	0.325	0.0000	0.0382	0.3000	0.2500	1253.28	56000.0	9.8066
0.087	0.09	1.00	13.035	84.672	85.000	0.328	0.0000	0.0383	0.3000	0.2500	1253.26	56000.0	9.8066
0.088	0.09	1.01	13.070	84.669	85.000	0.331	0.0000	0.0384	0.3000	0.2500	1253.24	56000.0	9.8066
0.089	0.09	1.02	13.104	84.667	85.000	0.333	0.0000	0.0385	0.3000	0.2500	1253.22	56000.0	9.8066
0.090	0.09	1.04	13.139	84.664	85.000	0.336	0.0000	0.0386	0.3000	0.2500	1253.20	56000.0	9.8066
0.091	0.10	1.05	13.174	84.661	85.000	0.339	0.0000	0.0387	0.3000	0.2500	1253.18	56000.0	9.8066
0.092	0.10	1.06	13.209	84.658	85.000	0.342	0.0000	0.0388	0.3000	0.2500	1253.16	56000.0	9.8066
