x(m)	theta_c(grad)
0.00	85.000
0.00	84.995
0.00	84.990
0.00	84.985
0.00	84.981
0.00	84.976
0.01	84.971
0.01	84.966
0.01	84.962
0.01	84.957
0.01	84.953
0.01	84.948
0.01	84.943
0.01	84.939
0.01	84.934
0.01	84.930
0.01	84.926
0.02	84.921
0.02	84.917
0.02	84.912
0.02	84.908
0.02	84.904
0.02	84.900
0.02	84.895
0.02	84.891
0.02	84.887
0.02	84.883
0.02	84.879
0.03	84.875
0.03	84.871
0.03	84.867
0.03	84.863
0.03	84.859
0.03	84.855
0.03	84.851
0.03	84.847
0.03	84.843
0.03	84.839
0.04	84.835
0.04	84.831
0.04	84.828
0.04	84.824
0.04	84.820
0.04	84.816
0.04	84.813
0.04	84.809
0.04	84.805
0.05	84.802
0.05	84.798
0.05	84.794
0.05	84.791
0.05	84.787
0.05	84.784
0.05	84.780
0.05	84.777
0.05	84.773
0.05	84.770
0.06	84.766
0.06	84.763
0.06	84.760
0.06	84.756
0.06	84.753
0.06	84.750
0.06	84.746
0.06	84.743
0.06	84.740
0.07	84.737
0.07	84.733
0.07	84.730
0.07	84.727
0.07	84.724
0.07	84.721
0.07	84.717
0.07	84.714
0.08	84.711
0.08	84.708
0.08	84.705
0.08	84.702
0.08	84.699
0.08	84.696
0.08	84.693
0.08	84.690
0.08	84.687
0.09	84.684
0.09	84.681
0.09	84.678
0.09	84.675
0.09	84.672
0.09	84.669
0.09	84.667
0.09	84.664
0.10	84.661
0.10	84.658
0.10	84.655
0.10	84.652
0.10	84.650
0.10	84.647
0.10	84.644
0.10	84.641
0.11	84.639
0.11	84.636
0.11	84.633
0.11	84.631
0.11	84.628
0.11	84.625
0.11	84.623
0.11	84.620
0.12	84.617
0.12	84.615
0.12	84.612
0.12	84.610
0.12	84.607
0.12	84.605
0.12	84.602
0.12	84.600
0.13	84.597
0.13	84.595
0.13	84.592
0.13	84.590
0.13	84.587
0.13	84.585
0.13	84.582
0.14	84.580
0.14	84.578
0.14	84.575
0.14	84.573
0.14	84.570
0.14	84.568
0.14	84.566
0.14	84.563
0.15	84.561
0.15	84.559
0.15	84.556
0.15	84.554
0.15	84.552
0.15	84.550
0.15	84.547
0.16	84.545
0.16	84.543
0.16	84.541
0.16	84.538
0.16	84.536
0.16	84.534
0.16	84.532
0.17	84.530
0.17	84.527
0.17	84.525
0.17	84.523
0.17	84.521
0.17	84.519
0.17	84.517
0.18	84.515
0.18	84.513
0.18	84.510
0.18	84.508
0.18	84.506
0.18	84.504
0.18	84.502
0.19	84.500
0.19	84.498
0.19	84.496
0.19	84.494
0.19	84.492
0.19	84.490
0.19	84.488
0.20	84.486
0.20	84.484
0.20	84.482
0.20	84.480
0.20	84.478
0.20	84.476
0.21	84.475
0.21	84.473
0.21	84.471
0.21	84.469
0.21	84.467
0.21	84.465
0.21	84.463
0.22	84.461
0.22	84.459
0.22	84.458
0.22	84.456
0.22	84.454
0.22	84.452
0.23	84.450
0.23	84.448
0.23	84.447
0.23	84.445
0.23	84.443
0.23	84.441
0.24	84.440
0.24	84.438
0.24	84.436
0.24	84.434
0.24	84.432
0.24	84.431
0.25	84.429
0.25	84.427
0.25	84.426
0.25	84.424
0.25	84.422
0.25	84.420
0.26	84.419
0.26	84.417
0.26	84.415
0.26	84.414
0.26	84.412
0.26	84.410
0.27	84.409
0.27	84.407
0.27	84.406
0.27	84.404
0.27	84.402
0.27	84.401
0.28	84.399
0.28	84.398
0.28	84.396
0.28	84.394
0.28	84.393
0.28	84.391
0.29	84.390
0.29	84.388
0.29	84.387
0.29	84.385
0.29	84.383
0.29	84.382
0.30	84.380
0.30	84.379
0.30	84.377
0.30	84.376
0.30	84.374
0.30	84.373
0.31	84.371
0.31	84.370
0.31	84.368
0.31	84.367
0.31	84.365
0.32	84.364
0.32	84.362
0.32	84.361
0.32	84.360
0.32	84.358
0.32	84.357
0.33	84.355
0.33	84.354
0.33	84.352
0.33	84.351
0.33	84.350
0.34	84.348
0.34	84.347
0.34	84.345
0.34	84.344
0.34	84.343
0.34	84.341
0.35	84.340
0.35	84.338
0.35	84.337
0.35	84.336
0.35	84.334
0.36	84.333
0.36	84.332
0.36	84.330
0.36	84.329
0.36	84.328
0.37	84.326
0.37	84.325
0.37	84.324
0.37	84.322
0.37	84.321
0.37	84.320
0.38	84.319
0.38	84.317
0.38	84.316
0.38	84.315
0.38	84.313
0.39	84.312
0.39	84.311
0.39	84.310
0.39	84.308
0.39	84.307
0.40	84.306
0.40	84.305
0.40	84.303
0.40	84.302
0.40	84.301
0.41	84.300
0.41	84.298
0.41	84.297
0.41	84.296
0.41	84.295
0.42	84.294
0.42	84.292
0.42	84.291
0.42	84.290
0.42	84.289
0.43	84.288
0.43	84.286
0.43	84.285
0.43	84.284
0.43	84.283
0.44	84.282
0.44	84.281
0.44	84.279
0.44	84.278
0.44	84.277
0.45	84.276
0.45	84.275
0.45	84.274
0.45	84.273
0.45	84.271
0.46	84.270
0.46	84.269
0.46	84.268
0.46	84.267
0.47	84.266
0.47	84.265
0.47	84.264
0.47	84.263
0.47	84.261
0.48	84.260
0.48	84.259
0.48	84.258
0.48	84.257
0.48	84.256
0.49	84.255
0.49	84.254
0.49	84.253
0.49	84.252
0.49	84.251
0.50	84.250
0.50	84.249
0.50	84.248
0.50	84.247
0.51	84.245
0.51	84.244
0.51	84.243
0.51	84.242
0.51	84.241
0.52	84.240
0.52	84.239
0.52	84.238
0.52	84.237
0.53	84.236
0.53	84.235
0.53	84.234
0.53	84.233
0.53	84.232
0.54	84.231
0.54	84.230
0.54	84.229
0.54	84.228
0.55	84.227
0.55	84.226
0.55	84.225
0.55	84.224
0.55	84.223
0.56	84.222
0.56	84.221
0.56	84.220
0.56	84.220
0.57	84.219
0.57	84.218
0.57	84.217
0.57	84.216
0.57	84.215
0.58	84.214
0.58	84.213
0.58	84.212
0.58	84.211
0.59	84.210
0.59	84.209
0.59	84.208
0.59	84.207
0.60	84.206
0.60	84.205
0.60	84.205
0.60	84.204
0.60	84.203
0.61	84.202
0.61	84.201
0.61	84.200
0.61	84.199
0.62	84.198
0.62	84.197
0.62	84.197
0.62	84.196
0.63	84.195
0.63	84.194
0.63	84.193
0.63	84.192
0.64	84.191
0.64	84.190
0.64	84.190
0.64	84.189
0.65	84.188
0.65	84.187
0.65	84.186
0.65	84.185
0.65	84.184
0.66	84.184
0.66	84.183
0.66	84.182
0.66	84.181
0.67	84.180
0.67	84.179
0.67	84.178
0.67	84.178
0.68	84.177
0.68	84.176
0.68	84.175
0.68	84.174
0.69	84.174
0.69	84.173
0.69	84.172
0.69	84.171
0.70	84.170
0.70	84.169
0.70	84.169
0.70	84.168
0.71	84.167
0.71	84.166
0.71	84.165
0.71	84.165
0.72	84.164
0.72	84.163
0.72	84.162
0.72	84.162
0.73	84.161
0.73	84.160
0.73	84.159
0.73	84.158
0.74	84.158
0.74	84.157
0.74	84.156
0.74	84.155
0.75	84.155
0.75	84.154
0.75	84.153
0.75	84.152
0.76	84.152
0.76	84.151
0.76	84.150
0.77	84.149
0.77	84.149
0.77	84.148
0.77	84.147
0.78	84.146
0.78	84.146
0.78	84.145
0.78	84.144
0.79	84.143
0.79	84.143
0.79	84.142
0.79	84.141
0.80	84.140
0.80	84.140
0.80	84.139
0.80	84.138
0.81	84.138
0.81	84.137
0.81	84.136
0.82	84.135
0.82	84.135
0.82	84.134
0.82	84.133
0.83	84.133
0.83	84.132
0.83	84.131
0.83	84.131
0.84	84.130
0.84	84.129
0.84	84.128
0.84	84.128
0.85	84.127
0.85	84.126
0.85	84.126
0.86	84.125
0.86	84.124
0.86	84.124
0.86	84.123
0.87	84.122
0.87	84.122
0.87	84.121
0.87	84.120
0.88	84.120
0.88	84.119
0.88	84.118
0.89	84.118
0.89	84.117
0.89	84.116
0.89	84.116
0.90	84.115
0.90	84.114
0.90	84.114
0.91	84.113
0.91	84.112
0.91	84.112
0.91	84.111
0.92	84.110
0.92	84.110
0.92	84.109
0.93	84.109
0.93	84.108
0.93	84.107
0.93	84.107
0.94	84.106
0.94	84.105
0.94	84.105
0.94	84.104
0.95	84.103
0.95	84.103
0.95	84.102
0.96	84.102
0.96	84.101
0.96	84.100
0.97	84.100
0.97	84.099
0.97	84.099
0.97	84.098
0.98	84.097
0.98	84.097
0.98	84.096
0.99	84.095
0.99	84.095
0.99	84.094
0.99	84.094
1.00	84.093
1.00	84.092
1.00	84.092
1.01	84.091
1.01	84.091
1.01	84.090
1.01	84.089
1.02	84.089
1.02	84.088
1.02	84.088
1.03	84.087
1.03	84.087
1.03	84.086
1.04	84.085
1.04	84.085
1.04	84.084
1.04	84.084
1.05	84.083
1.05	84.083
1.05	84.082
1.06	84.081
1.06	84.081
1.06	84.080
1.07	84.080
1.07	84.079
1.07	84.079
1.07	84.078
1.08	84.077
1.08	84.077
1.08	84.076
1.09	84.076
1.09	84.075
1.09	84.075
1.10	84.074
1.10	84.074
1.10	84.073
1.10	84.072
1.11	84.072
1.11	84.071
1.11	84.071
1.12	84.070
1.12	84.070
1.12	84.069
1.13	84.069
1.13	84.068
1.13	84.068
1.14	84.067
1.14	84.067
1.14	84.066
1.14	84.065
1.15	84.065
1.15	84.064
1.15	84.064
1.16	84.063
1.16	84.063
1.16	84.062
1.17	84.062
1.17	84.061
1.17	84.061
1.18	84.060
1.18	84.060
1.18	84.059
1.19	84.059
1.19	84.058
1.19	84.058
1.20	84.057
1.20	84.057
1.20	84.056
1.20	84.056
1.21	84.055
1.21	84.055
1.21	84.054
1.22	84.054
1.22	84.053
1.22	84.053
1.23	84.052
1.23	84.052
1.23	84.051
1.24	84.051
1.24	84.050
1.24	84.050
1.25	84.049
1.25	84.049
1.25	84.048
1.26	84.048
1.26	84.047
1.26	84.047
1.27	84.046
1.27	84.046
1.27	84.045
1.28	84.045
1.28	84.044
1.28	84.044
1.29	84.043
1.29	84.043
1.29	84.042
1.30	84.042
1.30	84.041
1.30	84.041
1.31	84.040
1.31	84.040
1.31	84.039
1.32	84.039
1.32	84.039
