t(c)	V(m/s)
0.000	10.000
0.010	10.348
0.020	10.697
0.030	11.046
0.040	11.394
0.050	11.743
0.060	12.092
0.070	12.441
0.080	12.790
0.090	13.139
0.100	13.488
0.110	13.837
0.120	14.187
0.130	14.536
0.140	14.886
0.150	15.235
0.160	15.585
0.170	15.934
0.180	16.284
0.190	16.634
0.200	16.984
0.210	17.334
0.220	17.683
0.230	18.034
0.240	18.384
0.250	18.734
0.260	19.084
0.270	19.434
0.280	19.785
0.290	20.135
0.300	20.486
0.310	20.836
0.320	21.187
0.330	21.538
0.340	21.889
0.350	22.240
0.360	22.591
0.370	22.942
0.380	23.293
0.390	23.644
0.400	23.995
0.410	24.346
0.420	24.698
0.430	25.049
0.440	25.400
0.450	25.752
0.460	26.104
0.470	26.455
0.480	26.807
0.490	27.159
0.500	27.511
0.510	27.863
0.520	28.215
0.530	28.567
0.540	28.919
0.550	29.271
0.560	29.623
0.570	29.976
0.580	30.328
0.590	30.681
0.600	31.033
0.610	31.386
0.620	31.738
0.630	32.091
0.640	32.444
0.650	32.797
0.660	33.150
0.670	33.503
0.680	33.856
0.690	34.209
0.700	34.562
0.710	34.915
0.720	35.268
0.730	35.622
0.740	35.975
0.750	36.329
0.760	36.682
0.770	37.036
0.780	37.390
0.790	37.743
0.800	38.097
0.810	38.451
0.820	38.805
0.830	39.159
0.840	39.513
0.850	39.867
0.860	40.222
0.870	40.576
0.880	40.930
0.890	41.284
0.900	41.639
0.910	41.993
0.920	42.348
0.930	42.703
0.940	43.057
0.950	43.412
0.960	43.767
0.970	44.122
0.980	44.477
0.990	44.832
1.000	45.187
1.010	45.542
1.020	45.897
1.030	46.253
1.040	46.608
1.050	46.963
1.060	47.319
1.070	47.674
1.080	48.030
1.090	48.386
1.100	48.741
1.110	49.097
1.120	49.453
1.130	49.809
1.140	50.165
1.150	50.521
1.160	50.877
1.170	51.233
1.180	51.589
1.190	51.945
1.200	52.302
1.210	52.658
1.220	53.015
1.230	53.371
1.240	53.728
1.250	54.084
1.260	54.441
1.270	54.798
1.280	55.154
1.290	55.511
1.300	55.868
1.310	56.225
1.320	56.582
1.330	56.939
1.340	57.297
1.350	57.654
1.360	58.011
1.370	58.368
1.380	58.726
1.390	59.083
1.400	59.441
1.410	59.798
1.420	60.156
1.430	60.514
1.440	60.872
1.450	61.229
1.460	61.587
1.470	61.945
1.480	62.303
1.490	62.661
1.500	63.019
1.510	63.378
1.520	63.736
1.530	64.094
1.540	64.452
1.550	64.811
1.560	65.169
1.570	65.528
1.580	65.887
1.590	66.245
1.600	66.604
1.610	66.963
1.620	67.321
1.630	67.680
1.640	68.039
1.650	68.398
1.660	68.757
1.670	69.116
1.680	69.476
1.690	69.835
1.700	70.194
1.710	70.554
1.720	70.913
1.730	71.272
1.740	71.632
1.750	71.991
1.760	72.351
1.770	72.711
1.780	73.071
1.790	73.430
1.800	73.790
1.810	74.150
1.820	74.510
1.830	74.870
1.840	75.230
1.850	75.590
1.860	75.951
1.870	76.311
1.880	76.671
1.890	77.032
1.900	77.392
1.910	77.752
1.920	78.113
1.930	78.474
1.940	78.834
1.950	79.195
1.960	79.556
1.970	79.917
1.980	80.277
1.990	80.638
2.000	80.999
2.010	81.360
2.020	81.721
2.030	82.083
2.040	82.444
2.050	82.805
2.060	83.166
2.070	83.528
2.080	83.889
2.090	84.251
2.100	84.612
2.110	84.974
2.120	85.335
2.130	85.697
2.140	86.059
2.150	86.421
2.160	86.783
2.170	87.144
2.180	87.506
2.190	87.869
2.200	88.231
2.210	88.593
2.220	88.955
2.230	89.317
2.240	89.679
2.250	90.042
2.260	90.404
2.270	90.767
2.280	91.129
2.290	91.492
2.300	91.854
2.310	92.217
2.320	92.580
2.330	92.943
2.340	93.305
2.350	93.668
2.360	94.031
2.370	94.394
2.380	94.757
2.390	95.120
2.400	95.483
2.410	95.847
2.420	96.210
2.430	96.573
2.440	96.937
2.450	97.300
2.460	97.663
2.470	98.027
2.480	98.391
2.490	98.754
2.500	99.118
2.510	99.482
2.520	99.845
2.530	100.209
2.540	100.573
2.550	100.937
2.560	101.301
2.570	101.665
2.580	102.029
2.590	102.393
2.600	102.757
2.610	103.122
2.620	103.486
2.630	103.850
2.640	104.215
2.650	104.579
2.660	104.944
2.670	105.308
2.680	105.673
2.690	106.037
2.700	106.402
2.710	106.767
2.720	107.132
2.730	107.496
2.740	107.861
2.750	108.226
2.760	108.591
2.770	108.956
2.780	109.321
2.790	109.687
2.800	110.052
2.810	110.417
2.820	110.782
2.830	111.148
2.840	111.513
2.850	111.879
2.860	112.244
2.870	112.610
2.880	112.975
2.890	113.341
2.900	113.706
2.910	114.072
2.920	114.438
2.930	114.804
2.940	115.170
2.950	115.536
2.960	115.902
2.970	116.268
2.980	116.634
2.990	117.000
3.000	117.366
3.010	117.732
3.020	118.099
3.030	118.465
3.040	118.831
3.050	119.198
3.060	119.564
3.070	119.931
3.080	120.297
3.090	120.664
3.100	121.030
3.110	121.397
3.120	121.764
3.130	122.131
3.140	122.498
3.150	122.864
3.160	123.231
3.170	123.598
3.180	123.965
3.190	124.333
3.200	124.700
3.210	125.067
3.220	125.434
3.230	125.801
3.240	126.169
3.250	126.536
3.260	126.903
3.270	127.271
3.280	127.638
3.290	128.006
3.300	128.373
3.310	128.741
3.320	129.109
3.330	129.477
3.340	129.844
3.350	130.212
3.360	130.580
3.370	130.948
3.380	131.316
3.390	131.684
