x(m)	V(m/s)
0.00	10.000
0.01	10.348
0.02	10.697
0.03	11.046
0.04	11.394
0.05	11.743
0.06	12.092
0.07	12.441
0.08	12.790
0.09	13.139
0.10	13.488
0.12	13.837
0.13	14.187
0.14	14.536
0.16	14.886
0.17	15.235
0.19	15.585
0.20	15.934
0.22	16.284
0.23	16.634
0.25	16.984
0.27	17.334
0.28	17.683
0.30	18.034
0.32	18.384
0.34	18.734
0.35	19.084
0.37	19.434
0.39	19.785
0.41	20.135
0.43	20.486
0.45	20.836
0.47	21.187
0.49	21.538
0.52	21.889
0.54	22.240
0.56	22.591
0.58	22.942
0.61	23.293
0.63	23.644
0.65	23.995
0.68	24.346
0.70	24.698
0.73	25.049
0.75	25.400
0.78	25.752
0.81	26.104
0.83	26.455
0.86	26.807
0.89	27.159
0.92	27.511
0.94	27.863
0.97	28.215
1.00	28.567
1.03	28.919
1.06	29.271
1.09	29.623
1.12	29.976
1.15	30.328
1.18	30.681
1.22	31.033
1.25	31.386
1.28	31.738
1.31	32.091
1.35	32.444
1.38	32.797
1.41	33.150
1.45	33.503
1.48	33.856
1.52	34.209
1.56	34.562
1.59	34.915
1.63	35.268
1.66	35.622
1.70	35.975
1.74	36.329
1.78	36.682
1.82	37.036
1.86	37.390
1.89	37.743
1.93	38.097
1.97	38.451
2.01	38.805
2.06	39.159
2.10	39.513
2.14	39.867
2.18	40.222
2.22	40.576
2.27	40.930
2.31	41.284
2.35	41.639
2.40	41.993
2.44	42.348
2.49	42.703
2.53	43.057
2.58	43.412
2.62	43.767
2.67	44.122
2.72	44.477
2.76	44.832
2.81	45.187
2.86	45.542
2.91	45.897
2.96	46.253
3.00	46.608
3.05	46.963
3.10	47.319
3.15	47.674
3.21	48.030
3.26	48.386
3.31	48.741
3.36	49.097
3.41	49.453
3.46	49.809
3.52	50.165
3.57	50.521
3.63	50.877
3.68	51.233
3.73	51.589
3.79	51.945
3.84	52.302
3.90	52.658
3.96	53.015
4.01	53.371
4.07	53.728
4.13	54.084
4.19	54.441
4.24	54.798
4.30	55.154
4.36	55.511
4.42	55.868
4.48	56.225
4.54	56.582
4.60	56.939
4.66	57.297
4.72	57.654
4.79	58.011
4.85	58.368
4.91	58.726
4.97	59.083
5.04	59.441
5.10	59.798
5.16	60.156
5.23	60.514
5.29	60.872
5.36	61.229
5.43	61.587
5.49	61.945
5.56	62.303
5.62	62.661
5.69	63.019
5.76	63.378
5.83	63.736
5.90	64.094
5.97	64.452
6.03	64.811
6.10	65.169
6.17	65.528
6.25	65.887
6.32	66.245
6.39	66.604
6.46	66.963
6.53	67.321
6.60	67.680
6.68	68.039
6.75	68.398
6.82	68.757
6.90	69.116
6.97	69.476
7.05	69.835
7.12	70.194
7.20	70.554
7.27	70.913
7.35	71.272
7.43	71.632
7.50	71.991
7.58	72.351
7.66	72.711
7.74	73.071
7.82	73.430
7.90	73.790
7.98	74.150
8.06	74.510
8.14	74.870
8.22	75.230
8.30	75.590
8.38	75.951
8.46	76.311
8.55	76.671
8.63	77.032
8.71	77.392
8.79	77.752
8.88	78.113
8.96	78.474
9.05	78.834
9.13	79.195
9.22	79.556
9.31	79.917
9.39	80.277
9.48	80.638
9.57	80.999
9.65	81.360
9.74	81.721
9.83	82.083
9.92	82.444
10.01	82.805
10.10	83.166
10.19	83.528
10.28	83.889
10.37	84.251
10.46	84.612
10.55	84.974
10.64	85.335
10.74	85.697
10.83	86.059
10.92	86.421
11.02	86.783
11.11	87.144
11.20	87.506
11.30	87.869
11.39	88.231
11.49	88.593
11.59	88.955
11.68	89.317
11.78	89.679
11.88	90.042
11.97	90.404
12.07	90.767
12.17	91.129
12.27	91.492
12.37	91.854
12.47	92.217
12.57	92.580
12.67	92.943
12.77	93.305
12.87	93.668
12.97	94.031
13.07	94.394
13.18	94.757
13.28	95.120
13.38	95.483
13.49	95.847
13.59	96.210
13.69	96.573
13.80	96.937
13.90	97.300
14.01	97.663
14.12	98.027
14.22	98.391
14.33	98.754
14.44	99.118
14.54	99.482
14.65	99.845
14.76	100.209
14.87	100.573
14.98	100.937
15.09	101.301
15.20	101.665
15.31	102.029
15.42	102.393
15.53	102.757
15.64	103.122
15.75	103.486
15.87	103.850
15.98	104.215
16.09	104.579
16.21	104.944
16.32	105.308
16.43	105.673
16.55	106.037
16.66	106.402
16.78	106.767
16.90	107.132
17.01	107.496
17.13	107.861
17.25	108.226
17.36	108.591
17.48	108.956
17.60	109.321
17.72	109.687
17.84	110.052
17.96	110.417
18.08	110.782
18.20	111.148
18.32	111.513
18.44	111.879
18.56	112.244
18.68	112.610
18.81	112.975
18.93	113.341
19.05	113.706
19.18	114.072
19.30	114.438
19.43	114.804
19.55	115.170
19.68	115.536
19.80	115.902
19.93	116.268
20.05	116.634
20.18	117.000
20.31	117.366
20.44	117.732
20.56	118.099
20.69	118.465
20.82	118.831
20.95	119.198
21.08	119.564
21.21	119.931
21.34	120.297
21.47	120.664
21.60	121.030
21.73	121.397
21.87	121.764
22.00	122.131
22.13	122.498
22.27	122.864
22.40	123.231
22.53	123.598
22.67	123.965
22.80	124.333
22.94	124.700
23.07	125.067
23.21	125.434
23.35	125.801
23.48	126.169
23.62	126.536
23.76	126.903
23.90	127.271
24.04	127.638
24.17	128.006
24.31	128.373
24.45	128.741
24.59	129.109
24.73	129.477
24.88	129.844
25.02	130.212
25.16	130.580
25.30	130.948
25.44	131.316
25.59	131.684
25.73	132.052
25.87	132.420
26.02	132.788
26.16	133.156
26.31	133.525
26.45	133.893
26.60	134.261
26.74	134.630
26.89	134.998
27.04	135.366
27.19	135.735
27.33	136.103
27.48	136.472
27.63	136.841
27.78	137.209
27.93	137.578
28.08	137.947
28.23	138.316
28.38	138.684
28.53	139.053
28.68	139.422
28.83	139.791
28.99	140.160
29.14	140.529
29.29	140.899
29.45	141.268
29.60	141.637
29.75	142.006
29.91	142.375
30.06	142.745
30.22	143.114
30.38	143.484
30.53	143.853
30.69	144.223
30.85	144.592
31.00	144.962
31.16	145.331
31.32	145.701
31.48	146.071
31.64	146.440
31.80	146.810
31.96	147.180
32.12	147.550
32.28	147.920
32.44	148.290
32.60	148.660
32.76	149.030
32.93	149.400
33.09	149.770
33.25	150.140
33.41	150.511
33.58	150.881
33.74	151.251
33.91	151.622
34.07	151.992
34.24	152.362
34.40	152.733
34.57	153.103
34.74	153.474
34.91	153.845
35.07	154.215
35.24	154.586
35.41	154.957
35.58	155.327
35.75	155.698
35.92	156.069
36.09	156.440
36.26	156.811
36.43	157.182
36.60	157.553
36.77	157.924
36.94	158.295
37.12	158.666
37.29	159.037
37.46	159.408
37.64	159.780
37.81	160.151
37.99	160.522
38.16	160.894
38.34	161.265
38.51	161.636
38.69	162.008
38.86	162.379
39.04	162.751
39.22	163.123
39.40	163.494
39.57	163.866
39.75	164.238
39.93	164.609
40.11	164.981
40.29	165.353
40.47	165.725
40.65	166.097
40.83	166.469
41.01	166.841
41.20	167.213
41.38	167.585
41.56	167.957
41.74	168.329
41.93	168.701
42.11	169.074
42.30	169.446
42.48	169.818
42.67	170.190
42.85	170.563
43.04	170.935
43.22	171.308
43.41	171.680
43.60	172.053
43.78	172.425
43.97	172.798
44.16	173.171
44.35	173.543
44.54	173.916
44.73	174.289
44.92	174.661
45.11	175.034
45.30	175.407
45.49	175.780
45.68	176.153
45.87	176.526
46.07	176.899
46.26	177.272
46.45	177.645
46.65	178.018
46.84	178.391
47.03	178.765
47.23	179.138
47.42	179.511
47.62	179.884
47.82	180.258
48.01	180.631
48.21	181.004
48.41	181.378
48.60	181.751
48.80	182.125
49.00	182.498
49.20	182.872
49.40	183.246
49.60	183.619
49.80	183.993
50.00	184.367
50.20	184.740
50.40	185.114
50.60	185.488
50.80	185.862
51.01	186.236
51.21	186.610
51.41	186.984
51.62	187.358
51.82	187.732
52.03	188.105
52.23	188.479
52.44	188.853
52.64	189.227
52.85	189.601
53.05	189.975
53.26	190.348
53.47	190.722
53.68	191.096
53.88	191.470
54.09	191.844
54.30	192.217
54.51	192.591
54.72	192.965
54.93	193.338
55.14	193.712
55.35	194.086
55.57	194.459
55.78	194.833
55.99	195.206
56.20	195.580
56.42	195.953
56.63	196.327
56.84	196.700
57.06	197.074
57.27	197.447
57.49	197.821
57.70	198.194
57.92	198.568
58.13	198.941
58.35	199.314
58.57	199.688
58.79	200.061
59.00	200.434
59.22	200.807
59.44	201.180
59.66	201.554
59.88	201.927
60.10	202.300
60.32	202.673
60.54	203.046
60.76	203.419
60.98	203.792
61.20	204.165
61.43	204.538
61.65	204.911
61.87	205.284
62.10	205.656
62.32	206.029
62.55	206.402
62.77	206.775
63.00	207.147
63.22	207.520
63.45	207.893
63.67	208.265
63.90	208.638
64.13	209.010
64.35	209.383
64.58	209.755
64.81	210.128
65.04	210.500
65.27	210.872
65.50	211.245
65.73	211.617
65.96	211.989
66.19	212.361
66.42	212.733
66.65	213.105
66.88	213.477
67.12	213.849
67.35	214.221
67.58	214.593
67.82	214.965
68.05	215.337
68.29	215.709
68.52	216.080
68.76	216.452
68.99	216.824
69.23	217.195
69.46	217.567
