t(c)	theta_c(grad)
0.000	85.000
0.010	84.951
0.020	84.905
0.030	84.863
0.040	84.823
0.050	84.785
0.060	84.750
0.070	84.717
0.080	84.685
0.090	84.655
0.100	84.627
0.110	84.601
0.120	84.575
0.130	84.551
0.140	84.528
0.150	84.507
0.160	84.486
0.170	84.466
0.180	84.447
0.190	84.429
0.200	84.411
0.210	84.395
0.220	84.379
0.230	84.363
0.240	84.348
0.250	84.334
0.260	84.320
0.270	84.307
0.280	84.295
0.290	84.282
0.300	84.271
0.310	84.259
0.320	84.248
0.330	84.237
0.340	84.227
0.350	84.217
0.360	84.207
0.370	84.198
0.380	84.189
0.390	84.180
0.400	84.172
0.410	84.163
0.420	84.155
0.430	84.148
0.440	84.140
0.450	84.133
0.460	84.126
0.470	84.119
0.480	84.112
0.490	84.105
0.500	84.099
0.510	84.093
0.520	84.086
0.530	84.080
0.540	84.075
0.550	84.069
0.560	84.064
0.570	84.058
0.580	84.053
0.590	84.048
0.600	84.043
0.610	84.038
0.620	84.033
0.630	84.028
0.640	84.024
0.650	84.019
0.660	84.015
0.670	84.011
0.680	84.007
0.690	84.003
0.700	83.999
0.710	83.995
0.720	83.991
0.730	83.987
0.740	83.983
0.750	83.980
0.760	83.976
0.770	83.973
0.780	83.969
0.790	83.966
0.800	83.963
0.810	83.960
0.820	83.956
0.830	83.953
0.840	83.950
0.850	83.947
0.860	83.945
0.870	83.942
0.880	83.939
0.890	83.936
0.900	83.933
0.910	83.931
0.920	83.928
0.930	83.926
0.940	83.923
0.950	83.921
0.960	83.918
0.970	83.916
0.980	83.913
0.990	83.911
1.000	83.909
1.010	83.907
1.020	83.904
1.030	83.902
1.040	83.900
1.050	83.898
1.060	83.896
1.070	83.894
1.080	83.892
1.090	83.890
1.100	83.888
1.110	83.886
1.120	83.884
1.130	83.883
1.140	83.881
1.150	83.879
1.160	83.877
1.170	83.875
1.180	83.874
1.190	83.872
1.200	83.870
1.210	83.869
1.220	83.867
1.230	83.866
1.240	83.864
1.250	83.862
1.260	83.861
1.270	83.859
1.280	83.858
1.290	83.857
1.300	83.855
1.310	83.854
1.320	83.852
1.330	83.851
1.340	83.850
1.350	83.848
1.360	83.847
