t(c)	x(m)
0.000	0.00
0.010	0.01
0.020	0.02
0.030	0.03
0.040	0.04
0.050	0.05
0.060	0.06
0.070	0.07
0.080	0.08
0.090	0.09
0.100	0.10
0.110	0.12
0.120	0.13
0.130	0.14
0.140	0.16
0.150	0.17
0.160	0.19
0.170	0.20
0.180	0.22
0.190	0.23
0.200	0.25
0.210	0.27
0.220	0.28
0.230	0.30
0.240	0.32
0.250	0.34
0.260	0.35
0.270	0.37
0.280	0.39
0.290	0.41
0.300	0.43
0.310	0.45
0.320	0.47
0.330	0.49
0.340	0.52
0.350	0.54
0.360	0.56
0.370	0.58
0.380	0.61
0.390	0.63
0.400	0.65
0.410	0.68
0.420	0.70
0.430	0.73
0.440	0.75
0.450	0.78
0.460	0.81
0.470	0.83
0.480	0.86
0.490	0.89
0.500	0.92
0.510	0.94
0.520	0.97
0.530	1.00
0.540	1.03
0.550	1.06
0.560	1.09
0.570	1.12
0.580	1.15
0.590	1.18
0.600	1.22
0.610	1.25
0.620	1.28
0.630	1.31
0.640	1.35
0.650	1.38
0.660	1.41
0.670	1.45
0.680	1.48
0.690	1.52
0.700	1.56
0.710	1.59
0.720	1.63
0.730	1.66
0.740	1.70
0.750	1.74
0.760	1.78
0.770	1.82
0.780	1.86
0.790	1.89
0.800	1.93
0.810	1.97
0.820	2.01
0.830	2.06
0.840	2.10
0.850	2.14
0.860	2.18
0.870	2.22
0.880	2.27
0.890	2.31
0.900	2.35
0.910	2.40
0.920	2.44
0.930	2.49
0.940	2.53
0.950	2.58
0.960	2.62
0.970	2.67
0.980	2.72
0.990	2.76
1.000	2.81
1.010	2.86
1.020	2.91
1.030	2.96
1.040	3.00
1.050	3.05
1.060	3.10
1.070	3.15
1.080	3.21
1.090	3.26
1.100	3.31
1.110	3.36
1.120	3.41
1.130	3.46
1.140	3.52
1.150	3.57
1.160	3.63
1.170	3.68
1.180	3.73
1.190	3.79
1.200	3.84
1.210	3.90
1.220	3.96
1.230	4.01
1.240	4.07
1.250	4.13
1.260	4.19
1.270	4.24
1.280	4.30
1.290	4.36
1.300	4.42
