t(c)	y(m)
0.000	0.00
0.010	0.10
0.020	0.20
0.030	0.31
0.040	0.42
0.050	0.53
0.060	0.65
0.070	0.77
0.080	0.89
0.090	1.02
0.100	1.15
0.110	1.29
0.120	1.42
0.130	1.57
0.140	1.71
0.150	1.86
0.160	2.01
0.170	2.17
0.180	2.32
0.190	2.49
0.200	2.65
0.210	2.82
0.220	2.99
0.230	3.17
0.240	3.35
0.250	3.53
0.260	3.72
0.270	3.91
0.280	4.10
0.290	4.30
0.300	4.50
0.310	4.70
0.320	4.91
0.330	5.12
0.340	5.33
0.350	5.55
0.360	5.77
0.370	6.00
0.380	6.23
0.390	6.46
0.400	6.69
0.410	6.93
0.420	7.17
0.430	7.42
0.440	7.67
0.450	7.92
0.460	8.18
0.470	8.44
0.480	8.70
0.490	8.97
0.500	9.24
0.510	9.51
0.520	9.79
0.530	10.07
0.540	10.35
0.550	10.64
0.560	10.93
0.570	11.23
0.580	11.52
0.590	11.83
0.600	12.13
0.610	12.44
0.620	12.75
0.630	13.07
0.640	13.39
0.650	13.71
0.660	14.04
0.670	14.37
0.680	14.70
0.690	15.04
0.700	15.38
0.710	15.72
0.720	16.07
0.730	16.42
0.740	16.77
0.750	17.13
0.760	17.49
0.770	17.86
0.780	18.22
0.790	18.60
0.800	18.97
0.810	19.35
0.820	19.73
0.830	20.12
0.840	20.51
0.850	20.90
0.860	21.30
0.870	21.70
0.880	22.10
0.890	22.51
0.900	22.92
0.910	23.33
0.920	23.75
0.930	24.17
0.940	24.60
0.950	25.02
0.960	25.46
0.970	25.89
0.980	26.33
0.990	26.77
1.000	27.22
1.010	27.67
1.020	28.12
1.030	28.58
1.040	29.04
1.050	29.50
1.060	29.97
1.070	30.44
1.080	30.91
1.090	31.39
1.100	31.87
1.110	32.35
1.120	32.84
1.130	33.33
1.140	33.83
1.150	34.33
1.160	34.83
1.170	35.34
1.180	35.85
1.190	36.36
1.200	36.88
1.210	37.40
1.220	37.92
1.230	38.45
1.240	38.98
1.250	39.51
1.260	40.05
1.270	40.59
1.280	41.13
1.290	41.68
1.300	42.23
1.310	42.79
1.320	43.35
1.330	43.91
1.340	44.48
1.350	45.05
1.360	45.62
1.370	46.20
1.380	46.78
1.390	47.36
1.400	47.95
1.410	48.54
1.420	49.13
1.430	49.73
1.440	50.33
1.450	50.94
1.460	51.55
1.470	52.16
1.480	52.78
1.490	53.40
1.500	54.02
1.510	54.65
1.520	55.28
1.530	55.91
1.540	56.55
1.550	57.19
1.560	57.83
1.570	58.48
1.580	59.13
1.590	59.79
1.600	60.44
1.610	61.11
1.620	61.77
1.630	62.44
1.640	63.11
1.650	63.79
1.660	64.47
1.670	65.15
1.680	65.84
1.690	66.53
1.700	67.23
1.710	67.92
1.720	68.63
1.730	69.33
1.740	70.04
1.750	70.75
1.760	71.47
1.770	72.19
1.780	72.91
1.790	73.64
1.800	74.37
1.810	75.10
1.820	75.84
1.830	76.58
1.840	77.32
1.850	78.07
1.860	78.82
1.870	79.58
1.880	80.34
1.890	81.10
1.900	81.86
1.910	82.63
1.920	83.41
1.930	84.18
1.940	84.96
1.950	85.75
1.960	86.53
1.970	87.32
1.980	88.12
1.990	88.92
2.000	89.72
2.010	90.52
2.020	91.33
2.030	92.14
2.040	92.96
2.050	93.78
2.060	94.60
2.070	95.43
2.080	96.26
2.090	97.09
2.100	97.93
2.110	98.77
2.120	99.62
2.130	100.47
2.140	101.32
2.150	102.17
2.160	103.03
2.170	103.90
2.180	104.76
2.190	105.63
2.200	106.51
2.210	107.38
2.220	108.26
2.230	109.15
2.240	110.04
2.250	110.93
2.260	111.82
2.270	112.72
2.280	113.62
2.290	114.53
2.300	115.44
2.310	116.35
2.320	117.27
2.330	118.19
2.340	119.11
2.350	120.04
2.360	120.97
2.370	121.91
2.380	122.84
2.390	123.79
2.400	124.73
2.410	125.68
2.420	126.63
2.430	127.59
2.440	128.55
2.450	129.51
2.460	130.48
2.470	131.45
2.480	132.43
2.490	133.40
2.500	134.39
2.510	135.37
2.520	136.36
2.530	137.35
2.540	138.35
2.550	139.35
2.560	140.35
2.570	141.36
2.580	142.37
2.590	143.38
2.600	144.40
2.610	145.42
2.620	146.45
2.630	147.48
2.640	148.51
2.650	149.55
2.660	150.59
2.670	151.63
2.680	152.68
2.690	153.73
2.700	154.78
2.710	155.84
2.720	156.90
2.730	157.96
2.740	159.03
2.750	160.11
2.760	161.18
2.770	162.26
2.780	163.34
2.790	164.43
2.800	165.52
2.810	166.61
2.820	167.71
2.830	168.81
2.840	169.92
2.850	171.03
2.860	172.14
2.870	173.26
2.880	174.37
2.890	175.50
2.900	176.62
2.910	177.75
2.920	178.89
2.930	180.03
2.940	181.17
2.950	182.31
2.960	183.46
2.970	184.61
2.980	185.77
2.990	186.93
3.000	188.09
3.010	189.26
3.020	190.43
3.030	191.60
3.040	192.78
3.050	193.96
3.060	195.15
3.070	196.33
3.080	197.53
3.090	198.72
3.100	199.92
3.110	201.13
3.120	202.33
3.130	203.54
3.140	204.76
3.150	205.97
3.160	207.20
3.170	208.42
3.180	209.65
3.190	210.88
3.200	212.12
3.210	213.36
3.220	214.60
3.230	215.85
3.240	217.10
3.250	218.35
3.260	219.61
3.270	220.87
3.280	222.14
3.290	223.40
3.300	224.68
3.310	225.95
3.320	227.23
3.330	228.52
3.340	229.80
3.350	231.09
3.360	232.39
3.370	233.69
3.380	234.99
3.390	236.29
3.400	237.60
3.410	238.92
3.420	240.23
3.430	241.55
3.440	242.88
3.450	244.20
3.460	245.53
3.470	246.87
3.480	248.21
3.490	249.55
3.500	250.89
3.510	252.24
3.520	253.60
3.530	254.95
3.540	256.31
3.550	257.68
3.560	259.04
3.570	260.42
3.580	261.79
3.590	263.17
3.600	264.55
3.610	265.94
3.620	267.33
3.630	268.72
3.640	270.12
3.650	271.52
3.660	272.92
3.670	274.33
3.680	275.74
3.690	277.16
3.700	278.58
3.710	280.00
3.720	281.43
3.730	282.86
3.740	284.29
3.750	285.73
3.760	287.17
3.770	288.61
3.780	290.06
3.790	291.51
3.800	292.97
3.810	294.43
3.820	295.89
3.830	297.36
3.840	298.83
3.850	300.30
3.860	301.78
3.870	303.26
3.880	304.75
3.890	306.23
3.900	307.73
3.910	309.22
3.920	310.72
3.930	312.23
3.940	313.73
3.950	315.24
3.960	316.76
3.970	318.28
3.980	319.80
3.990	321.32
4.000	322.85
4.010	324.39
4.020	325.92
4.030	327.46
4.040	329.01
4.050	330.56
4.060	332.11
4.070	333.66
4.080	335.22
4.090	336.78
4.100	338.35
4.110	339.92
4.120	341.49
4.130	343.07
4.140	344.65
4.150	346.24
4.160	347.82
4.170	349.42
4.180	351.01
4.190	352.61
4.200	354.21
4.210	355.82
4.220	357.43
4.230	359.05
4.240	360.66
4.250	362.28
4.260	363.91
4.270	365.54
4.280	367.17
4.290	368.81
4.300	370.45
4.310	372.09
4.320	373.74
4.330	375.39
4.340	377.04
4.350	378.70
4.360	380.36
4.370	382.03
4.380	383.70
4.390	385.37
4.400	387.05
4.410	388.73
4.420	390.42
4.430	392.10
4.440	393.80
4.450	395.49
4.460	397.19
4.470	398.89
4.480	400.60
4.490	402.31
4.500	404.02
4.510	405.74
4.520	407.46
4.530	409.19
4.540	410.92
4.550	412.65
4.560	414.39
4.570	416.13
4.580	417.87
4.590	419.62
4.600	421.37
4.610	423.12
4.620	424.88
4.630	426.64
4.640	428.41
4.650	430.18
4.660	431.95
4.670	433.73
4.680	435.51
4.690	437.29
4.700	439.08
4.710	440.87
4.720	442.67
4.730	444.47
4.740	446.27
4.750	448.08
4.760	449.89
4.770	451.70
4.780	453.52
4.790	455.34
4.800	457.17
4.810	459.00
4.820	460.83
4.830	462.67
4.840	464.51
4.850	466.35
4.860	468.20
4.870	470.05
4.880	471.90
4.890	473.76
4.900	475.62
4.910	477.49
4.920	479.36
4.930	481.23
4.940	483.11
4.950	484.99
4.960	486.88
4.970	488.77
4.980	490.66
4.990	492.55
5.000	494.45
5.010	496.36
5.020	498.26
5.030	500.17
5.040	502.09
5.050	504.01
5.060	505.93
5.070	507.85
5.080	509.78
5.090	511.72
5.100	513.65
5.110	515.59
5.120	517.54
5.130	519.49
5.140	521.44
5.150	523.39
5.160	525.35
5.170	527.31
5.180	529.28
5.190	531.25
5.200	533.22
5.210	535.20
5.220	537.18
5.230	539.17
5.240	541.16
5.250	543.15
5.260	545.15
5.270	547.15
5.280	549.15
5.290	551.16
5.300	553.17
5.310	555.18
5.320	557.20
5.330	559.22
5.340	561.25
5.350	563.28
5.360	565.31
5.370	567.35
5.380	569.39
5.390	571.43
5.400	573.48
5.410	575.53
5.420	577.59
5.430	579.65
5.440	581.71
5.450	583.78
5.460	585.85
5.470	587.92
5.480	590.00
5.490	592.08
5.500	594.16
5.510	596.25
5.520	598.35
5.530	600.44
5.540	602.54
5.550	604.65
5.560	606.75
5.570	608.86
5.580	610.98
5.590	613.10
5.600	615.22
5.610	617.35
5.620	619.47
5.630	621.61
5.640	623.74
5.650	625.89
5.660	628.03
5.670	630.18
5.680	632.33
5.690	634.48
5.700	636.64
5.710	638.81
5.720	640.97
5.730	643.14
5.740	645.32
5.750	647.49
5.760	649.68
5.770	651.86
5.780	654.05
5.790	656.24
5.800	658.44
5.810	660.64
5.820	662.84
5.830	665.05
5.840	667.26
5.850	669.47
5.860	671.69
5.870	673.91
5.880	676.14
5.890	678.37
5.900	680.60
5.910	682.84
5.920	685.08
5.930	687.32
5.940	689.57
5.950	691.82
5.960	694.07
5.970	696.33
5.980	698.59
5.990	700.86
6.000	703.13
6.010	705.40
6.020	707.68
6.030	709.96
6.040	712.25
6.050	714.53
6.060	716.82
6.070	719.12
6.080	721.42
6.090	723.72
6.100	726.03
6.110	728.34
6.120	730.65
6.130	732.97
6.140	735.29
6.150	737.61
6.160	739.94
6.170	742.28
6.180	744.61
6.190	746.95
6.200	749.29
6.210	751.64
6.220	753.99
6.230	756.34
6.240	758.70
6.250	761.06
6.260	763.43
6.270	765.80
6.280	768.17
6.290	770.55
6.300	772.93
6.310	775.31
6.320	777.70
6.330	780.09
6.340	782.48
6.350	784.88
6.360	787.28
6.370	789.68
6.380	792.09
6.390	794.51
6.400	796.92
6.410	799.34
6.420	801.77
6.430	804.19
6.440	806.62
6.450	809.06
6.460	811.50
6.470	813.94
6.480	816.38
6.490	818.83
6.500	821.28
6.510	823.74
6.520	826.20
6.530	828.66
6.540	831.13
6.550	833.60
6.560	836.08
6.570	838.55
6.580	841.04
6.590	843.52
6.600	846.01
6.610	848.50
6.620	851.00
6.630	853.50
6.640	856.00
6.650	858.51
6.660	861.02
6.670	863.53
6.680	866.05
6.690	868.57
6.700	871.10
6.710	873.63
6.720	876.16
6.730	878.70
6.740	881.24
6.750	883.78
6.760	886.33
6.770	888.88
6.780	891.43
6.790	893.99
6.800	896.55
6.810	899.12
6.820	901.68
6.830	904.26
6.840	906.83
6.850	909.41
6.860	911.99
6.870	914.58
6.880	917.17
6.890	919.77
6.900	922.36
6.910	924.96
6.920	927.57
6.930	930.18
6.940	932.79
6.950	935.40
6.960	938.02
6.970	940.65
6.980	943.27
6.990	945.90
7.000	948.53
7.010	951.17
7.020	953.81
7.030	956.46
7.040	959.10
7.050	961.76
7.060	964.41
7.070	967.07
7.080	969.73
7.090	972.40
7.100	975.07
7.110	977.74
7.120	980.41
7.130	983.09
7.140	985.78
7.150	988.47
7.160	991.16
7.170	993.85
7.180	996.55
7.190	999.25
7.200	1001.95
7.210	1004.66
7.220	1007.37
7.230	1010.09
7.240	1012.81
7.250	1015.53
7.260	1018.26
7.270	1020.99
7.280	1023.72
7.290	1026.46
7.300	1029.20
7.310	1031.94
7.320	1034.69
7.330	1037.44
7.340	1040.20
7.350	1042.95
7.360	1045.72
7.370	1048.48
7.380	1051.25
7.390	1054.02
7.400	1056.80
7.410	1059.58
7.420	1062.36
7.430	1065.15
7.440	1067.94
7.450	1070.73
7.460	1073.53
7.470	1076.33
7.480	1079.13
7.490	1081.94
7.500	1084.75
7.510	1087.56
7.520	1090.38
7.530	1093.20
7.540	1096.03
7.550	1098.86
7.560	1101.69
7.570	1104.53
7.580	1107.36
7.590	1110.21
7.600	1113.05
7.610	1115.90
7.620	1118.76
7.630	1121.61
7.640	1124.47
7.650	1127.34
7.660	1130.20
7.670	1133.07
7.680	1135.95
7.690	1138.82
7.700	1141.70
7.710	1144.59
7.720	1147.48
7.730	1150.37
7.740	1153.26
7.750	1156.16
7.760	1159.06
7.770	1161.97
7.780	1164.88
7.790	1167.79
7.800	1170.70
7.810	1173.62
7.820	1176.54
7.830	1179.47
7.840	1182.40
7.850	1185.33
7.860	1188.27
7.870	1191.21
7.880	1194.15
7.890	1197.10
7.900	1200.05
7.910	1203.00
7.920	1205.96
7.930	1208.92
7.940	1211.88
7.950	1214.85
7.960	1217.82
7.970	1220.79
7.980	1223.77
7.990	1226.75
8.000	1229.73
8.010	1232.72
8.020	1235.71
8.030	1238.70
8.040	1241.70
8.050	1244.70
8.060	1247.71
8.070	1250.71
8.080	1253.72
8.090	1256.74
8.100	1259.76
8.110	1262.78
8.120	1265.80
8.130	1268.83
8.140	1271.86
8.150	1274.90
8.160	1277.93
8.170	1280.98
8.180	1284.02
8.190	1287.07
8.200	1290.12
8.210	1293.18
8.220	1296.23
8.230	1299.30
8.240	1302.36
8.250	1305.43
8.260	1308.50
8.270	1311.58
8.280	1314.65
8.290	1317.74
8.300	1320.82
8.310	1323.91
8.320	1327.00
8.330	1330.10
8.340	1333.19
8.350	1336.30
8.360	1339.40
8.370	1342.51
8.380	1345.62
8.390	1348.74
8.400	1351.85
8.410	1354.98
8.420	1358.10
8.430	1361.23
8.440	1364.36
8.450	1367.49
8.460	1370.63
8.470	1373.77
8.480	1376.92
8.490	1380.07
8.500	1383.22
8.510	1386.37
8.520	1389.53
8.530	1392.69
8.540	1395.86
8.550	1399.02
8.560	1402.20
8.570	1405.37
8.580	1408.55
8.590	1411.73
8.600	1414.91
8.610	1418.10
8.620	1421.29
8.630	1424.48
8.640	1427.68
8.650	1430.88
8.660	1434.09
8.670	1437.29
8.680	1440.50
8.690	1443.72
8.700	1446.93
8.710	1450.15
8.720	1453.38
8.730	1456.60
8.740	1459.83
8.750	1463.07
8.760	1466.30
8.770	1469.54
8.780	1472.78
8.790	1476.03
8.800	1479.28
8.810	1482.53
8.820	1485.79
8.830	1489.04
8.840	1492.31
8.850	1495.57
8.860	1498.84
8.870	1502.11
8.880	1505.39
8.890	1508.66
8.900	1511.94
8.910	1515.23
8.920	1518.52
8.930	1521.81
8.940	1525.10
8.950	1528.40
8.960	1531.70
8.970	1535.00
8.980	1538.31
8.990	1541.62
9.000	1544.93
9.010	1548.25
9.020	1551.56
9.030	1554.89
9.040	1558.21
9.050	1561.54
9.060	1564.87
9.070	1568.21
9.080	1571.55
9.090	1574.89
9.100	1578.23
9.110	1581.58
9.120	1584.93
9.130	1588.28
9.140	1591.64
9.150	1595.00
9.160	1598.36
9.170	1601.73
9.180	1605.10
9.190	1608.47
9.200	1611.85
9.210	1615.23
9.220	1618.61
9.230	1622.00
9.240	1625.38
9.250	1628.77
9.260	1632.17
9.270	1635.57
9.280	1638.97
9.290	1642.37
9.300	1645.78
9.310	1649.19
9.320	1652.60
9.330	1656.02
9.340	1659.44
9.350	1662.86
9.360	1666.29
9.370	1669.72
9.380	1673.15
9.390	1676.58
9.400	1680.02
9.410	1683.46
9.420	1686.91
9.430	1690.35
9.440	1693.81
9.450	1697.26
9.460	1700.72
9.470	1704.18
9.480	1707.64
9.490	1711.11
9.500	1714.57
9.510	1718.05
9.520	1721.52
9.530	1725.00
9.540	1728.48
9.550	1731.97
9.560	1735.46
9.570	1738.95
9.580	1742.44
9.590	1745.94
9.600	1749.44
9.610	1752.94
9.620	1756.45
9.630	1759.96
9.640	1763.47
9.650	1766.98
9.660	1770.50
9.670	1774.03
9.680	1777.55
9.690	1781.08
9.700	1784.61
9.710	1788.14
9.720	1791.68
9.730	1795.22
9.740	1798.76
9.750	1802.31
9.760	1805.86
9.770	1809.41
9.780	1812.97
9.790	1816.52
9.800	1820.09
9.810	1823.65
9.820	1827.22
9.830	1830.79
9.840	1834.36
9.850	1837.94
9.860	1841.52
9.870	1845.10
9.880	1848.69
9.890	1852.28
9.900	1855.87
9.910	1859.46
9.920	1863.06
9.930	1866.66
9.940	1870.27
9.950	1873.88
9.960	1877.49
9.970	1881.10
9.980	1884.72
9.990	1888.33
10.000	1891.96
10.010	1895.58
10.020	1899.21
10.030	1902.84
10.040	1906.48
10.050	1910.11
10.060	1913.76
10.070	1917.40
10.080	1921.05
10.090	1924.70
10.100	1928.35
10.110	1932.00
10.120	1935.66
10.130	1939.32
10.140	1942.99
10.150	1946.66
10.160	1950.33
10.170	1954.00
10.180	1957.68
10.190	1961.36
10.200	1965.04
10.210	1968.73
10.220	1972.42
10.230	1976.11
10.240	1979.80
10.250	1983.50
10.260	1987.20
10.270	1990.91
10.280	1994.61
10.290	1998.32
10.300	2002.04
10.310	2005.75
10.320	2009.47
10.330	2013.19
10.340	2016.92
10.350	2020.65
10.360	2024.38
10.370	2028.11
10.380	2031.85
10.390	2035.59
10.400	2039.33
10.410	2043.08
10.420	2046.83
10.430	2050.58
10.440	2054.33
10.450	2058.09
10.460	2061.85
10.470	2065.62
10.480	2069.39
10.490	2073.16
10.500	2076.93
10.510	2080.71
10.520	2084.48
10.530	2088.27
10.540	2092.05
10.550	2095.84
10.560	2099.63
10.570	2103.43
10.580	2107.22
10.590	2111.02
10.600	2114.83
10.610	2118.63
10.620	2122.44
10.630	2126.26
10.640	2130.07
10.650	2133.89
10.660	2137.71
10.670	2141.53
10.680	2145.36
10.690	2149.19
10.700	2153.03
10.710	2156.86
10.720	2160.70
10.730	2164.54
10.740	2168.39
10.750	2172.24
10.760	2176.09
10.770	2179.94
10.780	2183.80
10.790	2187.66
10.800	2191.53
10.810	2195.39
10.820	2199.26
10.830	2203.13
10.840	2207.01
10.850	2210.89
10.860	2214.77
10.870	2218.65
10.880	2222.54
10.890	2226.43
10.900	2230.33
10.910	2234.22
10.920	2238.12
10.930	2242.02
10.940	2245.93
10.950	2249.84
10.960	2253.75
10.970	2257.66
10.980	2261.58
10.990	2265.50
11.000	2269.42
11.010	2273.35
11.020	2277.28
11.030	2281.21
11.040	2285.15
11.050	2289.09
11.060	2293.03
11.070	2296.97
11.080	2300.92
11.090	2304.87
11.100	2308.82
11.110	2312.78
11.120	2316.74
11.130	2320.70
11.140	2324.67
11.150	2328.64
11.160	2332.61
11.170	2336.58
11.180	2340.56
11.190	2344.54
11.200	2348.52
11.210	2352.51
11.220	2356.50
11.230	2360.49
11.240	2364.49
11.250	2368.49
11.260	2372.49
11.270	2376.49
11.280	2380.50
11.290	2384.51
11.300	2388.52
11.310	2392.54
11.320	2396.56
11.330	2400.58
11.340	2404.61
11.350	2408.63
11.360	2412.66
11.370	2416.70
11.380	2420.74
11.390	2424.78
11.400	2428.82
11.410	2432.87
11.420	2436.91
11.430	2440.97
11.440	2445.02
11.450	2449.08
11.460	2453.14
11.470	2457.21
11.480	2461.27
11.490	2465.34
11.500	2469.42
11.510	2473.49
11.520	2477.57
11.530	2481.65
11.540	2485.74
11.550	2489.83
11.560	2493.92
11.570	2498.01
11.580	2502.11
11.590	2506.21
11.600	2510.31
11.610	2514.42
11.620	2518.53
11.630	2522.64
11.640	2526.75
11.650	2530.87
11.660	2534.99
11.670	2539.11
11.680	2543.24
11.690	2547.37
11.700	2551.50
11.710	2555.64
11.720	2559.78
11.730	2563.92
11.740	2568.06
11.750	2572.21
11.760	2576.36
11.770	2580.52
11.780	2584.67
11.790	2588.83
11.800	2593.00
11.810	2597.16
11.820	2601.33
11.830	2605.50
11.840	2609.68
11.850	2613.85
11.860	2618.03
11.870	2622.22
11.880	2626.40
11.890	2630.59
11.900	2634.78
11.910	2638.98
11.920	2643.18
