N	t(c)	m(kg)	P(H)	V(m/s)	M	Cxa	alpha(grad)	theta_c(grad)	Cya_alpha	omega_z(1/s)	theta(grad)	y(m)	x(m)	g(m/s2)	x_dotc(m/s)	y_dotc(m/s)	V_dot(m/s2)
1	0.000	1255.00	56000.0	10.000	0.0294	0.3000	0.00	85.00	0.2500	0.0000	85.00	0.00	0.00	9.8066	0.872	9.962	34.849
2	0.100	1253.00	56000.0	13.485	0.0396	0.3000	0.49	84.51	0.2500	0.0000	85.00	1.00	0.09	9.8066	1.290	13.423	34.923
3	0.200	1251.00	56000.0	16.977	0.0499	0.3000	0.73	84.27	0.2500	0.0000	85.00	2.34	0.22	9.8066	1.694	16.892	34.993
4	0.300	1249.00	56000.0	20.477	0.0602	0.3000	0.86	84.14	0.2500	0.0000	85.00	4.03	0.39	9.8066	2.092	20.369	35.061
5	0.400	1247.00	56000.0	23.983	0.0705	0.3000	0.96	84.04	0.2500	0.0000	85.00	6.06	0.59	9.8066	2.488	23.853	35.128
6	0.500	1245.00	56000.0	27.495	0.0808	0.3000	1.02	83.98	0.2500	0.0000	85.00	8.45	0.84	9.8066	2.884	27.344	35.194
7	0.600	1243.00	56000.0	31.015	0.0912	0.3000	1.07	83.93	0.2500	0.0000	85.00	11.18	1.13	9.8066	3.278	30.841	35.260
8	0.700	1241.00	56000.0	34.541	0.1015	0.3000	1.10	83.90	0.2500	0.0000	85.00	14.27	1.46	9.8066	3.673	34.345	35.325
9	0.800	1239.00	56000.0	38.073	0.1119	0.3000	1.13	83.87	0.2500	0.0000	85.00	17.70	1.83	9.8066	4.067	37.856	35.389
10	0.900	1237.00	56000.0	41.612	0.1223	0.3000	1.16	83.84	0.2500	0.0000	85.00	21.49	2.23	9.8066	4.462	41.372	35.452
11	1.000	1235.00	56000.0	45.158	0.1327	0.3000	1.17	83.83	0.2500	0.0000	85.00	25.63	2.68	9.8066	4.857	44.896	35.515
12	1.100	1233.00	56000.0	48.709	0.1432	0.3000	1.19	83.81	0.2500	0.0000	85.00	30.12	3.17	9.8066	5.252	48.425	35.577
13	1.200	1231.00	56000.0	52.267	0.1537	0.3000	1.20	83.80	0.2500	0.0000	85.00	34.96	3.69	9.8065	5.648	51.961	35.638
14	1.300	1229.00	56000.0	55.831	0.1641	0.3000	1.21	83.79	0.2500	0.0000	85.00	40.15	4.26	9.8065	6.044	55.502	35.699
15	1.400	1227.00	56000.0	59.400	0.1746	0.3000	1.22	83.78	0.2500	0.0000	85.00	45.70	4.86	9.8065	6.440	59.050	35.759
16	1.500	1225.00	56000.0	62.976	0.1852	0.3000	1.23	83.77	0.2500	0.0000	85.00	51.61	5.50	9.8065	6.837	62.604	35.818
17	1.600	1223.00	56000.0	66.558	0.1957	0.3000	1.24	83.76	0.2500	0.0000	85.00	57.87	6.19	9.8065	7.234	66.164	35.877
18	1.700	1221.00	56000.0	70.146	0.2063	0.3000	1.25	83.75	0.2500	0.0000	85.00	64.49	6.91	9.8065	7.632	69.730	35.935
19	1.800	1219.00	56000.0	73.739	0.2169	0.3000	1.25	83.75	0.2500	0.0000	85.00	71.46	7.67	9.8064	8.030	73.301	35.992
20	1.900	1217.00	56000.0	77.339	0.2275	0.3000	1.26	83.74	0.2500	0.0000	85.00	78.79	8.48	9.8064	8.428	76.878	36.049
21	2.000	1215.00	56000.0	80.944	0.2381	0.3000	1.26	83.74	0.2500	0.0000	85.00	86.48	9.32	9.8064	8.827	80.461	36.104
22	2.100	1213.00	56000.0	84.554	0.2487	0.3000	1.26	83.74	0.2500	0.0000	85.00	94.52	10.20	9.8064	9.226	84.049	36.160
23	2.200	1211.00	56000.0	88.170	0.2594	0.3000	1.27	83.73	0.2500	0.0000	85.00	102.93	11.13	9.8063	9.625	87.643	36.214
24	2.300	1209.00	56000.0	91.791	0.2701	0.3000	1.27	83.73	0.2500	0.0000	85.00	111.69	12.09	9.8063	10.025	91.242	36.268
25	2.400	1207.00	56000.0	95.418	0.2808	0.3000	1.27	83.73	0.2500	0.0000	85.00	120.82	13.09	9.8063	10.425	94.847	36.321
26	2.500	1205.00	56000.0	99.050	0.2915	0.3000	1.27	83.73	0.2500	0.0000	85.00	130.30	14.13	9.8062	10.825	98.457	36.373
27	2.600	1203.00	56000.0	102.687	0.3022	0.3000	1.28	83.72	0.2500	0.0000	85.00	140.15	15.22	9.8062	11.226	102.072	36.424
28	2.700	1201.00	56000.0	106.330	0.3130	0.3000	1.28	83.72	0.2500	0.0000	85.00	150.35	16.34	9.8062	11.627	105.692	36.475
29	2.800	1199.00	56000.0	109.977	0.3238	0.3000	1.28	83.72	0.2500	0.0000	85.00	160.92	17.50	9.8062	12.029	109.318	36.525
30	2.900	1197.00	56000.0	113.630	0.3346	0.3000	1.28	83.72	0.2500	0.0000	85.00	171.85	18.70	9.8061	12.430	112.948	36.574
31	3.000	1195.00	56000.0	117.287	0.3454	0.3000	1.28	83.72	0.2500	0.0000	85.00	183.15	19.95	9.8061	12.832	116.583	36.623
32	3.100	1193.00	56000.0	120.950	0.3562	0.3000	1.28	83.72	0.2500	0.0000	85.00	194.81	21.23	9.8060	13.235	120.223	36.671
33	3.200	1191.00	56000.0	124.617	0.3671	0.3000	1.28	83.72	0.2500	0.0000	85.00	206.83	22.55	9.8060	13.637	123.868	36.718
