x(m)	y(m)
0.00	0.00
0.09	1.00
0.22	2.34
0.39	4.03
0.59	6.06
0.84	8.45
1.13	11.18
1.46	14.27
1.83	17.70
2.23	21.49
2.68	25.63
3.17	30.12
3.69	34.96
4.26	40.15
4.86	45.70
5.50	51.61
6.19	57.87
6.91	64.49
7.67	71.46
8.48	78.79
9.32	86.48
10.20	94.52
11.13	102.93
12.09	111.69
13.09	120.82
14.13	130.30
15.22	140.15
16.34	150.35
17.50	160.92
18.70	171.85
19.95	183.15
21.23	194.81
22.55	206.83
23.92	219.22
25.32	231.97
26.77	245.09
28.25	258.57
29.78	272.42
31.34	286.63
32.95	301.22
34.59	316.17
36.28	331.49
38.01	347.18
39.77	363.23
41.58	379.66
43.43	396.45
45.32	413.62
47.25	431.15
49.22	449.06
51.23	467.34
53.28	485.99
55.38	505.01
57.51	524.40
59.68	544.17
61.89	564.30
64.15	584.81
66.44	605.68
68.78	626.93
71.15	648.55
73.57	670.53
76.02	692.89
78.52	715.61
81.05	738.70
83.63	762.16
86.24	785.98
88.89	810.17
91.59	834.73
94.32	859.64
97.09	884.92
99.90	910.57
102.75	936.57
105.63	962.94
108.56	989.66
111.53	1016.74
114.53	1044.17
117.57	1071.96
120.65	1100.11
123.76	1128.60
126.92	1157.44
130.11	1186.63
133.34	1216.16
136.60	1246.04
139.90	1276.25
143.24	1306.81
146.61	1337.69
150.01	1368.92
153.46	1400.47
156.93	1432.35
160.45	1464.56
163.99	1497.09
167.57	1529.94
171.18	1563.11
174.83	1596.60
178.51	1630.40
182.22	1664.51
185.97	1698.94
189.74	1733.68
193.55	1768.72
197.40	1804.08
201.27	1839.74
205.17	1875.70
209.11	1911.97
213.08	1948.54
217.08	1985.42
221.11	2022.59
225.17	2060.07
229.27	2097.84
233.39	2135.92
237.55	2174.30
241.73	2212.98
245.95	2251.95
250.20	2291.23
254.48	2330.81
258.79	2370.68
263.13	2410.86
267.51	2451.33
271.91	2492.10
276.34	2533.18
280.81	2574.54
285.30	2616.21
289.83	2658.17
294.39	2700.43
298.97	2742.99
303.59	2785.85
308.24	2829.00
312.92	2872.44
317.62	2916.19
322.36	2960.22
327.13	3004.56
331.93	3049.18
336.76	3094.10
341.61	3139.32
346.50	3184.82
351.42	3230.62
356.36	3276.71
361.34	3323.09
366.34	3369.76
371.38	3416.73
376.44	3463.99
381.54	3511.54
386.66	3559.38
391.81	3607.51
397.00	3655.94
402.21	3704.65
407.45	3753.66
412.72	3802.96
418.02	3852.55
423.35	3902.44
428.70	3952.62
434.09	4003.09
439.51	4053.85
444.95	4104.91
450.43	4156.26
455.93	4207.90
461.47	4259.84
467.03	4312.07
472.62	4364.59
478.24	4417.41
483.89	4470.53
489.57	4523.94
495.28	4577.65
501.02	4631.65
506.79	4685.95
512.59	4740.55
518.41	4795.44
524.27	4850.64
530.16	4906.13
536.07	4961.92
542.02	5018.02
547.99	5074.41
554.00	5131.10
560.03	5188.10
566.10	5245.40
572.19	5303.00
578.32	5360.91
584.47	5419.12
590.66	5477.64
596.87	5536.47
603.12	5595.60
609.39	5655.04
615.70	5714.79
622.03	5774.85
628.40	5835.22
634.79	5895.90
641.22	5956.89
647.68	6018.20
654.17	6079.82
660.69	6141.76
667.24	6204.02
673.82	6266.60
680.43	6329.49
687.08	6392.71
693.75	6456.24
700.46	6520.10
707.20	6584.29
713.97	6648.79
720.77	6713.63
727.60	6778.78
734.47	6844.27
741.36	6910.09
748.29	6976.23
755.26	7042.71
762.25	7109.52
769.28	7176.66
776.33	7244.13
783.42	7311.95
790.55	7380.10
797.70	7448.58
804.89	7517.41
812.12	7586.58
819.37	7656.09
826.66	7725.95
833.98	7796.15
841.34	7866.70
848.73	7937.60
856.15	8008.85
863.61	8080.45
871.10	8152.40
878.63	8224.71
886.19	8297.38
893.78	8370.40
901.41	8443.79
909.08	8517.53
916.78	8591.64
924.51	8666.12
932.28	8740.96
940.09	8816.17
947.93	8891.76
955.81	8967.71
963.72	9044.05
971.67	9120.76
979.66	9197.85
987.68	9275.32
995.74	9353.17
1003.84	9431.41
1011.98	9510.03
1020.15	9589.05
1028.36	9668.46
1036.60	9748.26
1044.89	9828.45
1053.21	9909.04
1061.57	9990.03
1069.97	10071.41
1078.41	10153.20
1086.89	10235.39
1095.41	10317.98
1103.96	10400.98
1112.55	10484.39
1121.19	10568.21
1129.86	10652.44
1138.57	10737.09
1147.32	10822.15
1156.12	10907.62
1164.95	10993.52
1173.82	11079.84
1182.74	11166.59
1191.69	11253.76
1200.69	11341.36
1209.72	11429.40
1218.80	11517.87
1227.92	11606.78
1237.09	11696.13
1246.29	11785.92
1255.54	11876.16
1264.83	11966.85
1274.17	12057.99
1283.54	12149.59
1292.97	12241.64
1302.43	12334.15
1311.94	12427.13
1321.50	12520.57
1331.10	12614.49
1340.74	12708.87
1350.44	12803.73
1360.17	12899.07
1369.96	12994.89
1379.78	13091.20
1389.66	13187.99
1399.58	13285.27
1409.55	13383.05
1419.57	13481.32
1429.64	13580.10
1439.75	13679.38
1449.91	13779.16
1460.13	13879.46
1470.39	13980.26
1480.70	14081.59
1491.06	14183.43
1501.47	14285.80
1511.93	14388.69
1522.44	14492.10
1533.00	14596.05
1543.61	14700.54
1554.27	14805.56
1564.99	14911.12
1575.76	15017.23
1586.58	15123.89
1597.45	15231.09
1608.38	15338.85
1619.36	15447.17
1630.39	15556.05
