t(c)	V(m/s)
0.000	10.000
0.001	10.035
0.002	10.070
0.003	10.105
0.004	10.139
0.005	10.174
0.006	10.209
0.007	10.244
0.008	10.279
0.009	10.314
0.010	10.349
0.011	10.383
0.012	10.418
0.013	10.453
0.014	10.488
0.015	10.523
0.016	10.558
0.017	10.593
0.018	10.627
0.019	10.662
0.020	10.697
0.021	10.732
0.022	10.767
0.023	10.802
0.024	10.837
0.025	10.871
0.026	10.906
0.027	10.941
0.028	10.976
0.029	11.011
0.030	11.046
0.031	11.081
0.032	11.116
0.033	11.150
0.034	11.185
0.035	11.220
0.036	11.255
0.037	11.290
0.038	11.325
0.039	11.360
0.040	11.395
0.041	11.429
0.042	11.464
0.043	11.499
0.044	11.534
0.045	11.569
0.046	11.604
0.047	11.639
0.048	11.674
0.049	11.708
0.050	11.743
0.051	11.778
0.052	11.813
0.053	11.848
0.054	11.883
0.055	11.918
0.056	11.953
0.057	11.988
0.058	12.022
0.059	12.057
0.060	12.092
0.061	12.127
0.062	12.162
0.063	12.197
0.064	12.232
0.065	12.267
0.066	12.302
0.067	12.337
0.068	12.371
0.069	12.406
0.070	12.441
0.071	12.476
0.072	12.511
0.073	12.546
0.074	12.581
0.075	12.616
0.076	12.651
0.077	12.686
0.078	12.720
0.079	12.755
0.080	12.790
0.081	12.825
0.082	12.860
0.083	12.895
0.084	12.930
0.085	12.965
0.086	13.000
0.087	13.035
0.088	13.070
0.089	13.105
0.090	13.139
0.091	13.174
0.092	13.209
0.093	13.244
0.094	13.279
0.095	13.314
0.096	13.349
0.097	13.384
0.098	13.419
0.099	13.454
0.100	13.489
0.101	13.524
0.102	13.558
0.103	13.593
0.104	13.628
0.105	13.663
0.106	13.698
0.107	13.733
0.108	13.768
0.109	13.803
0.110	13.838
0.111	13.873
0.112	13.908
0.113	13.943
0.114	13.978
0.115	14.013
0.116	14.047
0.117	14.082
0.118	14.117
0.119	14.152
0.120	14.187
0.121	14.222
0.122	14.257
0.123	14.292
0.124	14.327
0.125	14.362
0.126	14.397
0.127	14.432
0.128	14.467
0.129	14.502
0.130	14.537
0.131	14.572
0.132	14.607
0.133	14.642
0.134	14.676
0.135	14.711
0.136	14.746
0.137	14.781
0.138	14.816
0.139	14.851
0.140	14.886
0.141	14.921
0.142	14.956
0.143	14.991
0.144	15.026
0.145	15.061
0.146	15.096
0.147	15.131
0.148	15.166
0.149	15.201
0.150	15.236
0.151	15.271
0.152	15.306
0.153	15.341
0.154	15.376
0.155	15.411
0.156	15.446
0.157	15.480
0.158	15.515
0.159	15.550
0.160	15.585
0.161	15.620
0.162	15.655
0.163	15.690
0.164	15.725
0.165	15.760
0.166	15.795
0.167	15.830
0.168	15.865
0.169	15.900
0.170	15.935
0.171	15.970
0.172	16.005
0.173	16.040
0.174	16.075
0.175	16.110
0.176	16.145
0.177	16.180
0.178	16.215
0.179	16.250
0.180	16.285
0.181	16.320
0.182	16.355
0.183	16.390
0.184	16.425
0.185	16.460
0.186	16.495
0.187	16.530
0.188	16.565
0.189	16.600
0.190	16.635
0.191	16.670
0.192	16.705
0.193	16.740
0.194	16.775
0.195	16.810
0.196	16.845
0.197	16.880
0.198	16.915
0.199	16.950
0.200	16.985
0.201	17.020
0.202	17.055
0.203	17.090
0.204	17.125
0.205	17.160
0.206	17.195
0.207	17.230
0.208	17.265
0.209	17.300
0.210	17.335
0.211	17.370
0.212	17.405
0.213	17.440
0.214	17.475
0.215	17.510
0.216	17.545
0.217	17.580
0.218	17.615
0.219	17.650
0.220	17.685
0.221	17.720
0.222	17.755
0.223	17.790
0.224	17.825
0.225	17.860
0.226	17.895
0.227	17.930
0.228	17.965
0.229	18.000
0.230	18.035
0.231	18.070
0.232	18.105
0.233	18.140
0.234	18.175
0.235	18.210
0.236	18.245
0.237	18.280
0.238	18.315
0.239	18.350
0.240	18.385
0.241	18.420
0.242	18.455
0.243	18.490
0.244	18.525
0.245	18.560
0.246	18.595
0.247	18.630
0.248	18.665
0.249	18.700
0.250	18.735
0.251	18.771
0.252	18.806
0.253	18.841
0.254	18.876
0.255	18.911
0.256	18.946
0.257	18.981
0.258	19.016
0.259	19.051
0.260	19.086
0.261	19.121
0.262	19.156
0.263	19.191
0.264	19.226
0.265	19.261
0.266	19.296
0.267	19.331
0.268	19.366
0.269	19.401
0.270	19.436
0.271	19.471
0.272	19.506
0.273	19.541
0.274	19.577
0.275	19.612
0.276	19.647
0.277	19.682
0.278	19.717
0.279	19.752
0.280	19.787
0.281	19.822
0.282	19.857
0.283	19.892
0.284	19.927
0.285	19.962
0.286	19.997
0.287	20.032
0.288	20.067
0.289	20.102
0.290	20.137
0.291	20.173
0.292	20.208
0.293	20.243
0.294	20.278
0.295	20.313
0.296	20.348
0.297	20.383
0.298	20.418
0.299	20.453
0.300	20.488
0.301	20.523
0.302	20.558
0.303	20.593
0.304	20.628
0.305	20.663
0.306	20.699
0.307	20.734
0.308	20.769
0.309	20.804
0.310	20.839
0.311	20.874
0.312	20.909
0.313	20.944
0.314	20.979
0.315	21.014
0.316	21.049
0.317	21.084
0.318	21.119
0.319	21.155
0.320	21.190
0.321	21.225
0.322	21.260
0.323	21.295
0.324	21.330
0.325	21.365
0.326	21.400
0.327	21.435
0.328	21.470
0.329	21.505
0.330	21.541
0.331	21.576
0.332	21.611
0.333	21.646
0.334	21.681
0.335	21.716
0.336	21.751
0.337	21.786
0.338	21.821
0.339	21.856
0.340	21.891
0.341	21.927
0.342	21.962
0.343	21.997
0.344	22.032
0.345	22.067
0.346	22.102
0.347	22.137
0.348	22.172
0.349	22.207
0.350	22.243
0.351	22.278
0.352	22.313
0.353	22.348
0.354	22.383
0.355	22.418
0.356	22.453
0.357	22.488
0.358	22.523
0.359	22.559
0.360	22.594
0.361	22.629
0.362	22.664
0.363	22.699
0.364	22.734
0.365	22.769
0.366	22.804
0.367	22.839
0.368	22.875
0.369	22.910
0.370	22.945
0.371	22.980
0.372	23.015
0.373	23.050
0.374	23.085
0.375	23.120
0.376	23.156
0.377	23.191
0.378	23.226
0.379	23.261
0.380	23.296
0.381	23.331
0.382	23.366
0.383	23.401
0.384	23.437
0.385	23.472
0.386	23.507
0.387	23.542
0.388	23.577
0.389	23.612
0.390	23.647
0.391	23.682
0.392	23.718
0.393	23.753
0.394	23.788
0.395	23.823
0.396	23.858
0.397	23.893
0.398	23.928
0.399	23.964
0.400	23.999
0.401	24.034
0.402	24.069
0.403	24.104
0.404	24.139
0.405	24.174
0.406	24.210
0.407	24.245
0.408	24.280
0.409	24.315
0.410	24.350
0.411	24.385
0.412	24.420
0.413	24.456
0.414	24.491
0.415	24.526
0.416	24.561
0.417	24.596
0.418	24.631
0.419	24.667
0.420	24.702
0.421	24.737
0.422	24.772
0.423	24.807
0.424	24.842
0.425	24.878
0.426	24.913
0.427	24.948
0.428	24.983
0.429	25.018
0.430	25.053
0.431	25.088
0.432	25.124
0.433	25.159
0.434	25.194
0.435	25.229
0.436	25.264
0.437	25.299
0.438	25.335
0.439	25.370
0.440	25.405
0.441	25.440
0.442	25.475
0.443	25.511
0.444	25.546
0.445	25.581
0.446	25.616
0.447	25.651
0.448	25.686
0.449	25.722
0.450	25.757
0.451	25.792
0.452	25.827
0.453	25.862
0.454	25.897
0.455	25.933
0.456	25.968
0.457	26.003
0.458	26.038
0.459	26.073
0.460	26.109
0.461	26.144
0.462	26.179
0.463	26.214
0.464	26.249
0.465	26.284
0.466	26.320
0.467	26.355
0.468	26.390
0.469	26.425
0.470	26.460
0.471	26.496
0.472	26.531
0.473	26.566
0.474	26.601
0.475	26.636
0.476	26.672
0.477	26.707
0.478	26.742
0.479	26.777
0.480	26.812
0.481	26.848
0.482	26.883
0.483	26.918
0.484	26.953
0.485	26.988
0.486	27.024
0.487	27.059
0.488	27.094
0.489	27.129
0.490	27.164
0.491	27.200
0.492	27.235
0.493	27.270
0.494	27.305
0.495	27.340
0.496	27.376
0.497	27.411
0.498	27.446
0.499	27.481
0.500	27.516
0.501	27.552
0.502	27.587
0.503	27.622
0.504	27.657
0.505	27.693
0.506	27.728
0.507	27.763
0.508	27.798
0.509	27.833
0.510	27.869
0.511	27.904
0.512	27.939
0.513	27.974
0.514	28.010
0.515	28.045
0.516	28.080
0.517	28.115
0.518	28.150
0.519	28.186
0.520	28.221
0.521	28.256
0.522	28.291
0.523	28.327
0.524	28.362
0.525	28.397
0.526	28.432
0.527	28.468
0.528	28.503
0.529	28.538
0.530	28.573
0.531	28.608
0.532	28.644
0.533	28.679
0.534	28.714
0.535	28.749
0.536	28.785
0.537	28.820
0.538	28.855
0.539	28.890
0.540	28.926
0.541	28.961
0.542	28.996
0.543	29.031
0.544	29.067
0.545	29.102
0.546	29.137
0.547	29.172
0.548	29.208
0.549	29.243
0.550	29.278
0.551	29.313
0.552	29.349
0.553	29.384
0.554	29.419
0.555	29.454
0.556	29.490
0.557	29.525
0.558	29.560
0.559	29.595
0.560	29.631
0.561	29.666
0.562	29.701
0.563	29.736
0.564	29.772
0.565	29.807
0.566	29.842
0.567	29.877
0.568	29.913
0.569	29.948
0.570	29.983
0.571	30.018
0.572	30.054
0.573	30.089
0.574	30.124
0.575	30.159
0.576	30.195
0.577	30.230
0.578	30.265
0.579	30.301
0.580	30.336
0.581	30.371
0.582	30.406
0.583	30.442
0.584	30.477
0.585	30.512
0.586	30.547
0.587	30.583
0.588	30.618
0.589	30.653
0.590	30.688
0.591	30.724
0.592	30.759
0.593	30.794
0.594	30.830
0.595	30.865
0.596	30.900
0.597	30.935
0.598	30.971
0.599	31.006
0.600	31.041
0.601	31.077
0.602	31.112
0.603	31.147
0.604	31.182
0.605	31.218
0.606	31.253
0.607	31.288
0.608	31.324
0.609	31.359
0.610	31.394
0.611	31.429
0.612	31.465
0.613	31.500
0.614	31.535
0.615	31.571
0.616	31.606
0.617	31.641
0.618	31.676
0.619	31.712
0.620	31.747
0.621	31.782
0.622	31.818
0.623	31.853
0.624	31.888
0.625	31.924
0.626	31.959
0.627	31.994
0.628	32.029
0.629	32.065
0.630	32.100
0.631	32.135
0.632	32.171
0.633	32.206
0.634	32.241
0.635	32.277
0.636	32.312
0.637	32.347
0.638	32.383
0.639	32.418
0.640	32.453
0.641	32.488
0.642	32.524
0.643	32.559
0.644	32.594
0.645	32.630
0.646	32.665
0.647	32.700
0.648	32.736
0.649	32.771
0.650	32.806
0.651	32.842
0.652	32.877
0.653	32.912
0.654	32.948
0.655	32.983
0.656	33.018
0.657	33.054
0.658	33.089
0.659	33.124
0.660	33.159
0.661	33.195
0.662	33.230
0.663	33.265
0.664	33.301
0.665	33.336
0.666	33.371
0.667	33.407
0.668	33.442
0.669	33.477
0.670	33.513
0.671	33.548
0.672	33.583
0.673	33.619
0.674	33.654
0.675	33.689
0.676	33.725
0.677	33.760
0.678	33.795
0.679	33.831
0.680	33.866
0.681	33.901
0.682	33.937
0.683	33.972
0.684	34.007
0.685	34.043
0.686	34.078
0.687	34.114
0.688	34.149
0.689	34.184
0.690	34.220
0.691	34.255
0.692	34.290
0.693	34.326
0.694	34.361
0.695	34.396
0.696	34.432
0.697	34.467
0.698	34.502
0.699	34.538
0.700	34.573
0.701	34.608
0.702	34.644
0.703	34.679
0.704	34.714
0.705	34.750
0.706	34.785
0.707	34.820
0.708	34.856
0.709	34.891
0.710	34.927
0.711	34.962
0.712	34.997
0.713	35.033
0.714	35.068
0.715	35.103
0.716	35.139
0.717	35.174
0.718	35.209
0.719	35.245
0.720	35.280
0.721	35.316
0.722	35.351
0.723	35.386
0.724	35.422
0.725	35.457
0.726	35.492
0.727	35.528
0.728	35.563
0.729	35.599
0.730	35.634
0.731	35.669
0.732	35.705
0.733	35.740
0.734	35.775
0.735	35.811
0.736	35.846
0.737	35.882
0.738	35.917
0.739	35.952
0.740	35.988
0.741	36.023
0.742	36.058
0.743	36.094
0.744	36.129
0.745	36.165
0.746	36.200
0.747	36.235
0.748	36.271
0.749	36.306
0.750	36.341
0.751	36.377
0.752	36.412
0.753	36.448
0.754	36.483
0.755	36.518
0.756	36.554
0.757	36.589
0.758	36.625
0.759	36.660
0.760	36.695
0.761	36.731
