t(c)	theta_c(grad)
0.000	85.000
0.001	84.995
0.002	84.990
0.003	84.985
0.004	84.980
0.005	84.976
0.006	84.971
0.007	84.966
0.008	84.961
0.009	84.956
0.010	84.952
0.011	84.947
0.012	84.942
0.013	84.937
0.014	84.933
0.015	84.928
0.016	84.923
0.017	84.918
0.018	84.914
0.019	84.909
0.020	84.904
0.021	84.900
0.022	84.895
0.023	84.890
0.024	84.886
0.025	84.881
0.026	84.876
0.027	84.872
0.028	84.867
0.029	84.863
0.030	84.858
0.031	84.854
0.032	84.849
0.033	84.844
0.034	84.840
0.035	84.835
0.036	84.831
0.037	84.826
0.038	84.822
0.039	84.817
0.040	84.813
0.041	84.809
0.042	84.804
0.043	84.800
0.044	84.795
0.045	84.791
0.046	84.786
0.047	84.782
0.048	84.778
0.049	84.773
0.050	84.769
0.051	84.764
0.052	84.760
0.053	84.756
0.054	84.751
0.055	84.747
0.056	84.743
0.057	84.739
0.058	84.734
0.059	84.730
0.060	84.726
0.061	84.721
0.062	84.717
0.063	84.713
0.064	84.709
0.065	84.704
0.066	84.700
0.067	84.696
0.068	84.692
0.069	84.688
0.070	84.683
0.071	84.679
0.072	84.675
0.073	84.671
0.074	84.667
0.075	84.662
0.076	84.658
0.077	84.654
0.078	84.650
0.079	84.646
0.080	84.642
0.081	84.638
0.082	84.634
0.083	84.630
0.084	84.625
0.085	84.621
0.086	84.617
0.087	84.613
0.088	84.609
0.089	84.605
0.090	84.601
0.091	84.597
0.092	84.593
0.093	84.589
0.094	84.585
0.095	84.581
0.096	84.577
0.097	84.573
0.098	84.569
0.099	84.565
0.100	84.561
0.101	84.557
0.102	84.553
0.103	84.549
0.104	84.546
0.105	84.542
0.106	84.538
0.107	84.534
0.108	84.530
0.109	84.526
0.110	84.522
0.111	84.518
0.112	84.514
0.113	84.511
0.114	84.507
0.115	84.503
0.116	84.499
0.117	84.495
0.118	84.491
0.119	84.488
0.120	84.484
0.121	84.480
0.122	84.476
0.123	84.472
0.124	84.469
0.125	84.465
0.126	84.461
0.127	84.457
0.128	84.453
0.129	84.450
0.130	84.446
0.131	84.442
0.132	84.438
0.133	84.435
0.134	84.431
0.135	84.427
0.136	84.424
0.137	84.420
0.138	84.416
0.139	84.412
0.140	84.409
0.141	84.405
0.142	84.401
0.143	84.398
0.144	84.394
0.145	84.390
0.146	84.387
0.147	84.383
0.148	84.380
0.149	84.376
0.150	84.372
0.151	84.369
0.152	84.365
0.153	84.361
0.154	84.358
0.155	84.354
0.156	84.351
0.157	84.347
0.158	84.344
0.159	84.340
0.160	84.336
0.161	84.333
0.162	84.329
0.163	84.326
0.164	84.322
0.165	84.319
