t(c)	x(m)	y(m)	V(m/s)	theta_c(grad)	theta(grad)	alpha(grad)	omega_z(1/s)	M	Cxa	Cya_alpha	m(kg)	P(H)	g(m/s2)
0.000	0.00	0.00	10.000	85.000	85.000	0.000	0.0000	0.0294	0.3000	0.2500	1255.00	56000.0	9.8066
0.010	0.01	0.10	10.348	84.951	85.000	0.000	0.0000	0.0304	0.3000	0.2500	1254.80	56000.0	9.8066
0.020	0.02	0.20	10.697	84.903	85.000	0.000	0.0000	0.0314	0.3000	0.2500	1254.60	56000.0	9.8066
0.030	0.03	0.31	11.046	84.857	85.000	0.000	0.0000	0.0325	0.3000	0.2500	1254.40	56000.0	9.8066
0.040	0.04	0.42	11.394	84.811	85.000	0.000	0.0000	0.0335	0.3000	0.2500	1254.20	56000.0	9.8066
0.050	0.05	0.53	11.743	84.766	85.000	0.000	0.0000	0.0345	0.3000	0.2500	1254.00	56000.0	9.8066
0.060	0.06	0.65	12.092	84.723	85.000	0.000	0.0000	0.0355	0.3000	0.2500	1253.80	56000.0	9.8066
0.070	0.07	0.77	12.441	84.680	85.000	0.000	0.0000	0.0366	0.3000	0.2500	1253.60	56000.0	9.8066
0.080	0.08	0.89	12.790	84.638	85.000	0.000	0.0000	0.0376	0.3000	0.2500	1253.40	56000.0	9.8066
0.090	0.09	1.02	13.139	84.597	85.000	0.000	0.0000	0.0386	0.3000	0.2500	1253.20	56000.0	9.8066
0.100	0.11	1.15	13.488	84.557	85.000	0.000	0.0000	0.0396	0.3000	0.2500	1253.00	56000.0	9.8066
0.110	0.12	1.29	13.838	84.517	85.000	0.000	0.0000	0.0407	0.3000	0.2500	1252.80	56000.0	9.8066
0.120	0.13	1.42	14.187	84.478	85.000	0.000	0.0000	0.0417	0.3000	0.2500	1252.60	56000.0	9.8066
0.130	0.14	1.57	14.536	84.440	85.000	0.000	0.0000	0.0427	0.3000	0.2500	1252.40	56000.0	9.8066
0.140	0.16	1.71	14.886	84.403	85.000	0.000	0.0000	0.0437	0.3000	0.2500	1252.20	56000.0	9.8066
0.150	0.17	1.86	15.235	84.366	85.000	0.000	0.0000	0.0448	0.3000	0.2500	1252.00	56000.0	9.8066
0.160	0.19	2.01	15.585	84.330	85.000	0.000	0.0000	0.0458	0.3000	0.2500	1251.80	56000.0	9.8066
0.170	0.20	2.16	15.935	84.294	85.000	0.000	0.0000	0.0468	0.3000	0.2500	1251.60	56000.0	9.8066
0.180	0.22	2.32	16.284	84.259	85.000	0.000	0.0000	0.0479	0.3000	0.2500	1251.40	56000.0	9.8066
0.190	0.24	2.49	16.634	84.225	85.000	0.000	0.0000	0.0489	0.3000	0.2500	1251.20	56000.0	9.8066
0.200	0.25	2.65	16.984	84.191	85.000	0.000	0.0000	0.0499	0.3000	0.2500	1251.00	56000.0	9.8066
0.210	0.27	2.82	17.334	84.157	85.000	0.000	0.0000	0.0509	0.3000	0.2500	1250.80	56000.0	9.8066
0.220	0.29	2.99	17.684	84.124	85.000	0.000	0.0000	0.0520	0.3000	0.2500	1250.60	56000.0	9.8066
0.230	0.31	3.17	18.034	84.092	85.000	0.000	0.0000	0.0530	0.3000	0.2500	1250.40	56000.0	9.8066
0.240	0.32	3.35	18.384	84.060	85.000	0.000	0.0000	0.0540	0.3000	0.2500	1250.20	56000.0	9.8066
0.250	0.34	3.53	18.735	84.028	85.000	0.000	0.0000	0.0551	0.3000	0.2500	1250.00	56000.0	9.8066
0.260	0.36	3.72	19.085	83.997	85.000	0.000	0.0000	0.0561	0.3000	0.2500	1249.80	56000.0	9.8066
0.270	0.38	3.91	19.435	83.966	85.000	0.000	0.0000	0.0571	0.3000	0.2500	1249.60	56000.0	9.8066
0.280	0.40	4.10	19.786	83.936	85.000	0.000	0.0000	0.0581	0.3000	0.2500	1249.40	56000.0	9.8066
0.290	0.42	4.30	20.136	83.906	85.000	0.000	0.0000	0.0592	0.3000	0.2500	1249.20	56000.0	9.8066
0.300	0.45	4.50	20.487	83.876	85.000	0.000	0.0000	0.0602	0.3000	0.2500	1249.00	56000.0	9.8066
0.310	0.47	4.70	20.838	83.847	85.000	0.000	0.0000	0.0612	0.3000	0.2500	1248.80	56000.0	9.8066
0.320	0.49	4.91	21.189	83.818	85.000	0.000	0.0000	0.0623	0.3000	0.2500	1248.60	56000.0	9.8066
0.330	0.51	5.12	21.539	83.789	85.000	0.000	0.0000	0.0633	0.3000	0.2500	1248.40	56000.0	9.8066
0.340	0.54	5.33	21.890	83.761	85.000	0.000	0.0000	0.0643	0.3000	0.2500	1248.20	56000.0	9.8066
0.350	0.56	5.55	22.241	83.733	85.000	0.000	0.0000	0.0654	0.3000	0.2500	1248.00	56000.0	9.8066
0.360	0.58	5.77	22.592	83.706	85.000	0.000	0.0000	0.0664	0.3000	0.2500	1247.80	56000.0	9.8066
0.370	0.61	6.00	22.944	83.678	85.000	0.000	0.0000	0.0674	0.3000	0.2500	1247.60	56000.0	9.8066
0.380	0.63	6.22	23.295	83.651	85.000	0.000	0.0000	0.0685	0.3000	0.2500	1247.40	56000.0	9.8066
0.390	0.66	6.46	23.646	83.625	85.000	0.000	0.0000	0.0695	0.3000	0.2500	1247.20	56000.0	9.8066
0.400	0.69	6.69	23.997	83.598	85.000	0.000	0.0000	0.0705	0.3000	0.2500	1247.00	56000.0	9.8066
0.410	0.71	6.93	24.349	83.572	85.000	0.000	0.0000	0.0716	0.3000	0.2500	1246.80	56000.0	9.8066
0.420	0.74	7.17	24.700	83.546	85.000	0.000	0.0000	0.0726	0.3000	0.2500	1246.60	56000.0	9.8066
0.430	0.77	7.42	25.052	83.521	85.000	0.000	0.0000	0.0736	0.3000	0.2500	1246.40	56000.0	9.8066
0.440	0.80	7.67	25.404	83.495	85.000	0.000	0.0000	0.0747	0.3000	0.2500	1246.20	56000.0	9.8066
0.450	0.82	7.92	25.755	83.470	85.000	0.000	0.0000	0.0757	0.3000	0.2500	1246.00	56000.0	9.8066
0.460	0.85	8.17	26.107	83.446	85.000	0.000	0.0000	0.0767	0.3000	0.2500	1245.80	56000.0	9.8066
0.470	0.88	8.43	26.459	83.421	85.000	0.000	0.0000	0.0778	0.3000	0.2500	1245.60	56000.0	9.8066
0.480	0.91	8.70	26.811	83.397	85.000	0.000	0.0000	0.0788	0.3000	0.2500	1245.40	56000.0	9.8066
0.490	0.94	8.96	27.163	83.373	85.000	0.000	0.0000	0.0798	0.3000	0.2500	1245.20	56000.0	9.8066
0.500	0.98	9.23	27.515	83.349	85.000	0.000	0.0000	0.0809	0.3000	0.2500	1245.00	56000.0	9.8066
0.510	1.01	9.51	27.867	83.325	85.000	0.000	0.0000	0.0819	0.3000	0.2500	1244.80	56000.0	9.8066
0.520	1.04	9.78	28.219	83.302	85.000	0.000	0.0000	0.0829	0.3000	0.2500	1244.60	56000.0	9.8066
0.530	1.07	10.06	28.572	83.278	85.000	0.000	0.0000	0.0840	0.3000	0.2500	1244.40	56000.0	9.8066
0.540	1.11	10.35	28.924	83.255	85.000	0.000	0.0000	0.0850	0.3000	0.2500	1244.20	56000.0	9.8066
0.550	1.14	10.63	29.276	83.233	85.000	0.000	0.0000	0.0860	0.3000	0.2500	1244.00	56000.0	9.8066
0.560	1.18	10.92	29.629	83.210	85.000	0.000	0.0000	0.0871	0.3000	0.2500	1243.80	56000.0	9.8066
0.570	1.21	11.22	29.981	83.188	85.000	0.000	0.0000	0.0881	0.3000	0.2500	1243.60	56000.0	9.8066
0.580	1.25	11.52	30.334	83.165	85.000	0.000	0.0000	0.0892	0.3000	0.2500	1243.40	56000.0	9.8066
0.590	1.28	11.82	30.687	83.143	85.000	0.000	0.0000	0.0902	0.3000	0.2500	1243.20	56000.0	9.8066
0.600	1.32	12.12	31.039	83.121	85.000	0.000	0.0000	0.0912	0.3000	0.2500	1243.00	56000.0	9.8066
0.610	1.36	12.43	31.392	83.100	85.000	0.000	0.0000	0.0923	0.3000	0.2500	1242.80	56000.0	9.8066
0.620	1.39	12.74	31.745	83.078	85.000	0.000	0.0000	0.0933	0.3000	0.2500	1242.60	56000.0	9.8066
0.630	1.43	13.06	32.098	83.057	85.000	0.000	0.0000	0.0943	0.3000	0.2500	1242.40	56000.0	9.8066
0.640	1.47	13.38	32.451	83.036	85.000	0.000	0.0000	0.0954	0.3000	0.2500	1242.20	56000.0	9.8066
0.650	1.51	13.70	32.804	83.015	85.000	0.000	0.0000	0.0964	0.3000	0.2500	1242.00	56000.0	9.8066
0.660	1.55	14.02	33.157	82.994	85.000	0.000	0.0000	0.0975	0.3000	0.2500	1241.80	56000.0	9.8066
0.670	1.59	14.35	33.511	82.973	85.000	0.000	0.0000	0.0985	0.3000	0.2500	1241.60	56000.0	9.8066
0.680	1.63	14.68	33.864	82.953	85.000	0.000	0.0000	0.0995	0.3000	0.2500	1241.40	56000.0	9.8066
0.690	1.67	15.02	34.217	82.932	85.000	0.000	0.0000	0.1006	0.3000	0.2500	1241.20	56000.0	9.8066
0.700	1.71	15.36	34.571	82.912	85.000	0.000	0.0000	0.1016	0.3000	0.2500	1241.00	56000.0	9.8066
0.710	1.76	15.70	34.924	82.892	85.000	0.000	0.0000	0.1026	0.3000	0.2500	1240.80	56000.0	9.8066
0.720	1.80	16.05	35.278	82.872	85.000	0.000	0.0000	0.1037	0.3000	0.2500	1240.60	56000.0	9.8066
0.730	1.84	16.40	35.632	82.852	85.000	0.000	0.0000	0.1047	0.3000	0.2500	1240.40	56000.0	9.8066
0.740	1.89	16.75	35.985	82.833	85.000	0.000	0.0000	0.1058	0.3000	0.2500	1240.20	56000.0	9.8066
0.750	1.93	17.11	36.339	82.813	85.000	0.000	0.0000	0.1068	0.3000	0.2500	1240.00	56000.0	9.8066
0.760	1.98	17.47	36.693	82.794	85.000	0.000	0.0000	0.1078	0.3000	0.2500	1239.80	56000.0	9.8066
0.770	2.03	17.84	37.047	82.775	85.000	0.000	0.0000	0.1089	0.3000	0.2500	1239.60	56000.0	9.8066
0.780	2.07	18.20	37.401	82.756	85.000	0.000	0.0000	0.1099	0.3000	0.2500	1239.40	56000.0	9.8066
0.790	2.12	18.57	37.755	82.737	85.000	0.000	0.0000	0.1110	0.3000	0.2500	1239.20	56000.0	9.8066
0.800	2.17	18.95	38.109	82.718	85.000	0.000	0.0000	0.1120	0.3000	0.2500	1239.00	56000.0	9.8066
0.810	2.22	19.33	38.463	82.699	85.000	0.000	0.0000	0.1131	0.3000	0.2500	1238.80	56000.0	9.8066
0.820	2.26	19.71	38.818	82.681	85.000	0.000	0.0000	0.1141	0.3000	0.2500	1238.60	56000.0	9.8066
0.830	2.31	20.09	39.172	82.662	85.000	0.000	0.0000	0.1151	0.3000	0.2500	1238.40	56000.0	9.8066
0.840	2.36	20.48	39.526	82.644	85.000	0.000	0.0000	0.1162	0.3000	0.2500	1238.20	56000.0	9.8066
0.850	2.41	20.87	39.881	82.626	85.000	0.000	0.0000	0.1172	0.3000	0.2500	1238.00	56000.0	9.8066
0.860	2.47	21.27	40.235	82.608	85.000	0.000	0.0000	0.1183	0.3000	0.2500	1237.80	56000.0	9.8066
0.870	2.52	21.67	40.590	82.590	85.000	0.000	0.0000	0.1193	0.3000	0.2500	1237.60	56000.0	9.8066
0.880	2.57	22.07	40.945	82.572	85.000	0.000	0.0000	0.1204	0.3000	0.2500	1237.40	56000.0	9.8066
0.890	2.62	22.48	41.299	82.554	85.000	0.000	0.0000	0.1214	0.3000	0.2500	1237.20	56000.0	9.8066
0.900	2.68	22.89	41.654	82.537	85.000	0.000	0.0000	0.1224	0.3000	0.2500	1237.00	56000.0	9.8066
0.910	2.73	23.30	42.009	82.519	85.000	0.000	0.0000	0.1235	0.3000	0.2500	1236.80	56000.0	9.8066
0.920	2.78	23.72	42.364	82.502	85.000	0.000	0.0000	0.1245	0.3000	0.2500	1236.60	56000.0	9.8066
0.930	2.84	24.14	42.719	82.484	85.000	0.000	0.0000	0.1256	0.3000	0.2500	1236.40	56000.0	9.8066
0.940	2.90	24.56	43.074	82.467	85.000	0.000	0.0000	0.1266	0.3000	0.2500	1236.20	56000.0	9.8066
0.950	2.95	24.99	43.429	82.450	85.000	0.000	0.0000	0.1277	0.3000	0.2500	1236.00	56000.0	9.8066
0.960	3.01	25.42	43.785	82.433	85.000	0.000	0.0000	0.1287	0.3000	0.2500	1235.80	56000.0	9.8066
0.970	3.07	25.85	44.140	82.416	85.000	0.000	0.0000	0.1297	0.3000	0.2500	1235.60	56000.0	9.8066
0.980	3.13	26.29	44.495	82.399	85.000	0.000	0.0000	0.1308	0.3000	0.2500	1235.40	56000.0	9.8066
0.990	3.18	26.73	44.851	82.383	85.000	0.000	0.0000	0.1318	0.3000	0.2500	1235.20	56000.0	9.8066
1.000	3.24	27.17	45.206	82.366	85.000	0.000	0.0000	0.1329	0.3000	0.2500	1235.00	56000.0	9.8066
1.010	3.30	27.62	45.562	82.349	85.000	0.000	0.0000	0.1339	0.3000	0.2500	1234.80	56000.0	9.8066
1.020	3.36	28.07	45.917	82.333	85.000	0.000	0.0000	0.1350	0.3000	0.2500	1234.60	56000.0	9.8066
1.030	3.43	28.53	46.273	82.317	85.000	0.000	0.0000	0.1360	0.3000	0.2500	1234.40	56000.0	9.8066
1.040	3.49	28.99	46.629	82.300	85.000	0.000	0.0000	0.1371	0.3000	0.2500	1234.20	56000.0	9.8066
1.050	3.55	29.45	46.984	82.284	85.000	0.000	0.0000	0.1381	0.3000	0.2500	1234.00	56000.0	9.8066
1.060	3.61	29.91	47.340	82.268	85.000	0.000	0.0000	0.1392	0.3000	0.2500	1233.80	56000.0	9.8066
1.070	3.68	30.38	47.696	82.252	85.000	0.000	0.0000	0.1402	0.3000	0.2500	1233.60	56000.0	9.8066
1.080	3.74	30.86	48.052	82.236	85.000	0.000	0.0000	0.1413	0.3000	0.2500	1233.40	56000.0	9.8066
1.090	3.81	31.33	48.408	82.221	85.000	0.000	0.0000	0.1423	0.3000	0.2500	1233.20	56000.0	9.8066
1.100	3.87	31.81	48.764	82.205	85.000	0.000	0.0000	0.1434	0.3000	0.2500	1233.00	56000.0	9.8066
1.110	3.94	32.30	49.121	82.189	85.000	0.000	0.0000	0.1444	0.3000	0.2500	1232.80	56000.0	9.8066
1.120	4.00	32.78	49.477	82.174	85.000	0.000	0.0000	0.1454	0.3000	0.2500	1232.60	56000.0	9.8065
1.130	4.07	33.27	49.833	82.158	85.000	0.000	0.0000	0.1465	0.3000	0.2500	1232.40	56000.0	9.8065
1.140	4.14	33.77	50.190	82.143	85.000	0.000	0.0000	0.1475	0.3000	0.2500	1232.20	56000.0	9.8065
1.150	4.21	34.26	50.546	82.128	85.000	0.000	0.0000	0.1486	0.3000	0.2500	1232.00	56000.0	9.8065
1.160	4.28	34.76	50.903	82.112	85.000	0.000	0.0000	0.1496	0.3000	0.2500	1231.80	56000.0	9.8065
1.170	4.35	35.27	51.259	82.097	85.000	0.000	0.0000	0.1507	0.3000	0.2500	1231.60	56000.0	9.8065
1.180	4.42	35.78	51.616	82.082	85.000	0.000	0.0000	0.1517	0.3000	0.2500	1231.40	56000.0	9.8065
1.190	4.49	36.29	51.973	82.067	85.000	0.000	0.0000	0.1528	0.3000	0.2500	1231.20	56000.0	9.8065
1.200	4.56	36.80	52.329	82.052	85.000	0.000	0.0000	0.1538	0.3000	0.2500	1231.00	56000.0	9.8065
1.210	4.63	37.32	52.686	82.037	85.000	0.000	0.0000	0.1549	0.3000	0.2500	1230.80	56000.0	9.8065
1.220	4.71	37.84	53.043	82.023	85.000	0.000	0.0000	0.1559	0.3000	0.2500	1230.60	56000.0	9.8065
