x(m)	V(m/s)
0.00	10.000
0.09	13.485
0.22	16.977
0.39	20.477
0.61	23.985
0.89	27.499
1.21	31.021
1.59	34.549
2.03	38.085
2.52	41.627
3.08	45.177
3.69	48.733
4.37	52.295
5.11	55.864
5.92	59.440
6.79	63.021
7.74	66.610
8.75	70.204
9.83	73.804
10.98	77.411
12.21	81.023
13.50	84.642
14.88	88.266
16.32	91.896
17.85	95.531
19.45	99.172
21.12	102.819
22.88	106.471
24.72	110.128
26.63	113.791
28.63	117.459
30.71	121.132
32.87	124.809
35.12	128.492
37.44	132.180
39.86	135.873
42.36	139.570
44.94	143.272
47.62	146.978
50.38	150.689
53.23	154.405
56.16	158.125
59.19	161.849
62.31	165.577
65.52	169.309
68.81	173.045
72.21	176.786
75.69	180.530
79.27	184.278
82.94	188.030
86.70	191.783
90.56	195.535
94.52	199.285
98.57	203.032
102.71	206.778
106.96	210.520
111.30	214.258
115.73	217.992
120.27	221.722
124.90	225.447
129.63	229.166
134.46	232.878
139.39	236.585
144.41	240.284
149.54	243.975
154.77	247.658
160.09	251.333
165.52	254.998
171.04	258.654
176.67	262.299
182.39	265.933
188.22	269.556
194.15	273.167
200.18	276.761
206.30	280.337
212.53	283.894
218.86	287.432
225.29	290.951
231.82	294.448
238.45	297.924
245.18	301.379
252.02	304.810
258.95	308.220
265.97	311.607
273.10	314.970
280.33	318.310
287.66	321.626
295.08	324.916
302.61	328.182
310.23	331.422
317.95	334.635
325.76	337.823
333.68	340.997
341.69	344.158
349.79	347.305
358.00	350.438
366.30	353.558
374.69	356.664
383.19	359.756
391.78	362.836
400.46	365.903
409.25	368.957
418.13	372.006
427.10	375.051
436.17	378.094
445.34	381.133
454.61	384.169
463.97	387.202
473.43	390.234
482.99	393.262
492.65	396.289
502.40	399.313
512.25	402.335
522.20	405.354
532.25	408.370
542.39	411.382
552.64	414.392
562.98	417.399
573.43	420.404
583.97	423.406
594.61	426.407
605.35	429.405
616.19	432.401
627.13	435.391
638.17	438.376
649.31	441.356
660.55	444.331
671.88	447.300
683.32	450.265
694.86	453.225
706.50	456.180
718.24	459.131
730.08	462.077
742.02	465.022
754.07	467.965
766.21	470.907
778.45	473.849
790.80	476.790
803.24	479.730
815.79	482.670
828.44	485.610
841.19	488.551
854.05	491.491
867.00	494.432
880.06	497.374
893.23	500.316
906.49	503.260
919.86	506.205
933.33	509.151
946.90	512.099
960.58	515.049
974.37	518.002
988.25	520.956
1002.25	523.913
1016.34	526.872
1030.55	529.835
1044.85	532.801
1059.27	535.770
1073.79	538.742
1088.41	541.719
1103.14	544.699
1117.98	547.684
1132.93	550.673
1147.98	553.667
1163.14	556.666
1178.41	559.670
1193.79	562.679
1209.28	565.694
1224.87	568.715
1240.58	571.741
1256.39	574.774
1272.32	577.814
1288.35	580.860
1304.50	583.913
1320.75	586.974
1337.12	590.042
1353.60	593.118
1370.20	596.202
1386.90	599.294
1403.72	602.394
1420.65	605.504
1437.70	608.622
1454.86	611.749
1472.13	614.886
1489.52	618.033
1507.03	621.190
1524.65	624.357
1542.39	627.534
1560.24	630.723
1578.22	633.922
1596.31	637.132
1614.52	640.350
1632.85	643.578
1651.30	646.814
1669.86	650.061
1688.55	653.317
1707.36	656.584
1726.29	659.861
1745.34	663.148
1764.52	666.447
1783.81	669.756
1803.23	673.078
1822.77	676.410
1842.44	679.755
1862.23	683.112
1882.15	686.481
1902.19	689.863
1922.36	693.258
1942.66	696.667
1963.08	700.089
1983.63	703.525
2004.31	706.975
2025.12	710.439
2046.05	713.918
2067.12	717.412
2088.32	720.921
2109.65	724.445
2131.11	727.986
2152.71	731.543
2174.44	735.116
2196.30	738.705
2218.30	742.312
2240.43	745.936
2262.70	749.578
2285.10	753.237
2307.64	756.915
2330.32	760.611
2353.14	764.326
2376.10	768.061
2399.20	771.814
2422.44	775.588
2445.82	779.382
2469.35	783.196
2493.02	787.031
2516.83	790.887
2540.79	794.760
2564.89	798.649
2589.14	802.553
2613.54	806.472
2638.08	810.407
2662.77	814.358
2687.61	818.325
2712.61	822.309
2737.75	826.310
2763.04	830.328
2788.48	834.363
2814.08	838.416
2839.83	842.488
2865.73	846.577
2891.79	850.686
2918.00	854.813
2944.37	858.960
2970.89	863.126
2997.57	867.312
3024.41	871.518
3051.41	875.745
3078.57	879.992
3105.89	884.260
3133.38	888.550
3161.02	892.872
3188.83	897.221
3216.80	901.596
3244.94	905.999
3273.24	910.429
3301.71	914.887
3330.35	919.373
3359.16	923.887
3388.14	928.429
3417.30	933.000
3446.62	937.599
3476.12	942.228
3505.79	946.886
3535.64	951.573
3565.67	956.290
3595.88	961.037
3626.26	965.815
3656.83	970.623
3687.57	975.461
3718.50	980.331
3749.62	985.232
3780.91	990.164
3812.40	995.128
3844.07	1000.124
3875.93	1005.152
3907.98	1010.211
3940.22	1015.299
3972.66	1020.418
4005.29	1025.566
4038.11	1030.745
4071.12	1035.954
4104.34	1041.194
4137.75	1046.465
4171.36	1051.768
4205.17	1057.102
4239.18	1062.467
4273.39	1067.865
4307.81	1073.295
4342.44	1078.758
4377.26	1084.254
4412.30	1089.782
4447.55	1095.344
