x(m)	theta_c(grad)
0.00	85.000
0.09	84.510
0.22	84.112
0.39	83.772
0.61	83.474
0.89	83.208
1.21	82.967
1.59	82.745
2.03	82.539
2.52	82.348
3.08	82.168
3.69	81.999
4.37	81.838
5.11	81.686
5.92	81.540
6.79	81.401
7.74	81.268
8.75	81.140
9.83	81.016
10.98	80.898
12.21	80.783
13.50	80.672
14.88	80.564
16.32	80.460
17.85	80.358
19.45	80.260
21.12	80.164
22.88	80.071
24.72	79.980
26.63	79.891
28.63	79.804
30.71	79.720
32.87	79.637
35.12	79.556
37.44	79.477
39.86	79.399
42.36	79.323
44.94	79.248
47.62	79.175
50.38	79.103
53.23	79.033
56.16	78.964
59.19	78.896
62.31	78.829
65.52	78.763
68.81	78.698
72.21	78.635
75.69	78.572
79.27	78.510
82.94	78.450
86.70	78.390
90.56	78.331
94.52	78.273
98.57	78.216
102.71	78.159
106.96	78.103
111.30	78.048
115.73	77.994
120.27	77.940
124.90	77.887
129.63	77.835
134.46	77.784
139.39	77.732
144.41	77.682
149.54	77.632
154.77	77.583
160.09	77.534
165.52	77.486
171.04	77.438
176.67	77.391
182.39	77.344
188.22	77.298
194.15	77.252
200.18	77.207
206.30	77.162
212.53	77.117
218.86	77.073
225.29	77.029
231.82	76.986
238.45	76.943
245.18	76.900
252.02	76.858
258.95	76.816
265.97	76.775
273.10	76.734
280.33	76.693
287.66	76.652
295.08	76.612
302.61	76.572
310.23	76.532
317.95	76.492
325.76	76.453
333.68	76.414
341.69	76.376
349.79	76.337
358.00	76.299
366.30	76.261
374.69	76.223
383.19	76.186
391.78	76.149
400.46	76.111
409.25	76.075
418.13	76.038
427.10	76.002
436.17	75.965
445.34	75.929
454.61	75.894
463.97	75.858
473.43	75.823
482.99	75.787
492.65	75.752
502.40	75.717
512.25	75.683
522.20	75.648
532.25	75.614
542.39	75.580
552.64	75.546
562.98	75.512
573.43	75.478
583.97	75.445
594.61	75.411
605.35	75.378
616.19	75.345
627.13	75.312
638.17	75.280
649.31	75.247
660.55	75.215
671.88	75.182
683.32	75.150
694.86	75.118
706.50	75.087
718.24	75.055
730.08	75.023
742.02	74.992
754.07	74.961
766.21	74.930
778.45	74.899
790.80	74.868
803.24	74.837
815.79	74.806
828.44	74.776
841.19	74.746
854.05	74.715
867.00	74.685
880.06	74.655
893.23	74.625
906.49	74.596
919.86	74.566
933.33	74.537
946.90	74.507
960.58	74.478
974.37	74.449
988.25	74.420
1002.25	74.391
1016.34	74.362
1030.55	74.333
1044.85	74.305
1059.27	74.276
1073.79	74.248
1088.41	74.220
1103.14	74.191
1117.98	74.163
1132.93	74.135
1147.98	74.108
1163.14	74.080
1178.41	74.052
1193.79	74.025
1209.28	73.997
1224.87	73.970
1240.58	73.943
1256.39	73.915
1272.32	73.888
1288.35	73.861
1304.50	73.835
1320.75	73.808
1337.12	73.781
1353.60	73.755
1370.20	73.728
1386.90	73.702
1403.72	73.676
1420.65	73.649
1437.70	73.623
1454.86	73.597
1472.13	73.571
1489.52	73.546
1507.03	73.520
1524.65	73.494
1542.39	73.469
1560.24	73.443
1578.22	73.418
1596.31	73.393
1614.52	73.368
1632.85	73.343
1651.30	73.318
1669.86	73.293
1688.55	73.268
1707.36	73.243
1726.29	73.219
1745.34	73.194
1764.52	73.170
1783.81	73.145
1803.23	73.121
1822.77	73.097
1842.44	73.073
1862.23	73.049
1882.15	73.025
1902.19	73.001
1922.36	72.977
1942.66	72.953
1963.08	72.930
1983.63	72.906
2004.31	72.883
2025.12	72.860
2046.05	72.836
2067.12	72.813
2088.32	72.790
2109.65	72.767
2131.11	72.744
2152.71	72.721
2174.44	72.699
2196.30	72.676
2218.30	72.653
2240.43	72.631
2262.70	72.608
2285.10	72.586
2307.64	72.564
2330.32	72.542
2353.14	72.519
2376.10	72.497
2399.20	72.475
2422.44	72.454
2445.82	72.432
2469.35	72.410
2493.02	72.389
2516.83	72.367
2540.79	72.346
2564.89	72.324
2589.14	72.303
2613.54	72.282
2638.08	72.260
2662.77	72.239
2687.61	72.218
2712.61	72.198
2737.75	72.177
2763.04	72.156
2788.48	72.135
2814.08	72.115
2839.83	72.094
2865.73	72.074
2891.79	72.053
2918.00	72.033
2944.37	72.013
2970.89	71.993
2997.57	71.973
3024.41	71.953
3051.41	71.933
3078.57	71.913
3105.89	71.893
3133.38	71.874
3161.02	71.854
3188.83	71.834
3216.80	71.815
3244.94	71.796
3273.24	71.776
3301.71	71.757
3330.35	71.738
3359.16	71.719
3388.14	71.700
3417.30	71.681
3446.62	71.662
3476.12	71.643
3505.79	71.625
3535.64	71.606
3565.67	71.587
3595.88	71.569
3626.26	71.550
3656.83	71.532
3687.57	71.514
3718.50	71.496
3749.62	71.478
3780.91	71.459
3812.40	71.441
3844.07	71.424
3875.93	71.406
3907.98	71.388
3940.22	71.370
3972.66	71.353
4005.29	71.335
4038.11	71.318
4071.12	71.300
4104.34	71.283
4137.75	71.266
4171.36	71.249
4205.17	71.232
4239.18	71.215
4273.39	71.198
4307.81	71.181
4342.44	71.164
4377.26	71.147
4412.30	71.130
4447.55	71.114
