t(c)	y(m)
0.000	0.00
0.100	1.00
0.200	2.34
0.300	4.03
0.400	6.06
0.500	8.45
0.600	11.18
0.700	14.26
0.800	17.68
0.900	21.46
1.000	25.58
1.100	30.06
1.200	34.89
1.300	40.06
1.400	45.59
1.500	51.47
1.600	57.70
1.700	64.28
1.800	71.22
1.900	78.51
2.000	86.15
2.100	94.15
2.200	102.50
2.300	111.21
2.400	120.27
2.500	129.69
2.600	139.47
2.700	149.60
2.800	160.08
2.900	170.93
3.000	182.13
3.100	193.69
3.200	205.61
3.300	217.89
3.400	230.52
3.500	243.52
3.600	256.88
3.700	270.59
3.800	284.67
3.900	299.10
4.000	313.90
4.100	329.06
4.200	344.58
4.300	360.46
4.400	376.70
4.500	393.31
4.600	410.28
4.700	427.61
4.800	445.31
4.900	463.37
5.000	481.79
5.100	500.57
5.200	519.72
5.300	539.24
5.400	559.11
5.500	579.35
5.600	599.95
5.700	620.91
5.800	642.23
5.900	663.91
6.000	685.96
6.100	708.36
6.200	731.12
6.300	754.24
6.400	777.71
6.500	801.54
6.600	825.73
6.700	850.27
6.800	875.17
6.900	900.41
7.000	926.01
7.100	951.96
7.200	978.25
7.300	1004.90
7.400	1031.89
7.500	1059.22
7.600	1086.89
7.700	1114.91
7.800	1143.26
7.900	1171.95
8.000	1200.97
8.100	1230.32
8.200	1260.01
8.300	1290.02
8.400	1320.35
8.500	1351.01
8.600	1381.98
8.700	1413.28
8.800	1444.89
8.900	1476.81
9.000	1509.04
9.100	1541.58
9.200	1574.42
9.300	1607.56
9.400	1641.01
9.500	1674.76
9.600	1708.81
9.700	1743.15
9.800	1777.79
9.900	1812.73
10.000	1847.95
10.100	1883.47
10.200	1919.29
10.300	1955.39
10.400	1991.78
10.500	2028.46
10.600	2065.43
10.700	2102.69
10.800	2140.23
10.900	2178.07
11.000	2216.19
11.100	2254.60
11.200	2293.30
11.300	2332.28
11.400	2371.55
11.500	2411.11
11.600	2450.95
11.700	2491.08
11.800	2531.49
11.900	2572.19
12.000	2613.17
12.100	2654.44
12.200	2695.99
12.300	2737.82
12.400	2779.94
12.500	2822.33
12.600	2865.02
12.700	2907.98
12.800	2951.22
12.900	2994.74
13.000	3038.54
13.100	3082.63
13.200	3126.99
13.300	3171.62
13.400	3216.54
13.500	3261.73
13.600	3307.21
13.700	3352.95
13.800	3398.98
13.900	3445.28
14.000	3491.86
14.100	3538.72
14.200	3585.85
14.300	3633.26
14.400	3680.95
14.500	3728.92
14.600	3777.16
14.700	3825.67
14.800	3874.47
14.900	3923.54
15.000	3972.89
15.100	4022.52
15.200	4072.42
15.300	4122.60
15.400	4173.06
15.500	4223.80
15.600	4274.81
15.700	4326.11
15.800	4377.68
15.900	4429.53
16.000	4481.66
16.100	4534.07
16.200	4586.76
16.300	4639.73
16.400	4692.98
16.500	4746.51
16.600	4800.32
16.700	4854.42
16.800	4908.80
16.900	4963.46
17.000	5018.40
17.100	5073.63
17.200	5129.14
17.300	5184.94
17.400	5241.02
17.500	5297.39
17.600	5354.04
17.700	5410.99
17.800	5468.22
17.900	5525.74
18.000	5583.55
18.100	5641.65
18.200	5700.05
18.300	5758.73
18.400	5817.71
18.500	5876.98
18.600	5936.55
18.700	5996.41
18.800	6056.57
18.900	6117.03
19.000	6177.78
19.100	6238.84
19.200	6300.19
19.300	6361.85
19.400	6423.81
19.500	6486.07
19.600	6548.64
19.700	6611.51
19.800	6674.68
19.900	6738.17
20.000	6801.96
20.100	6866.06
20.200	6930.46
20.300	6995.18
20.400	7060.21
20.500	7125.56
20.600	7191.21
20.700	7257.19
20.800	7323.47
20.900	7390.08
21.000	7457.00
21.100	7524.25
21.200	7591.82
21.300	7659.70
21.400	7727.92
21.500	7796.45
21.600	7865.32
21.700	7934.51
21.800	8004.03
21.900	8073.89
22.000	8144.07
22.100	8214.59
22.200	8285.45
22.300	8356.64
22.400	8428.17
22.500	8500.04
22.600	8572.25
22.700	8644.81
22.800	8717.71
22.900	8790.96
23.000	8864.56
23.100	8938.51
23.200	9012.82
23.300	9087.47
23.400	9162.49
23.500	9237.86
23.600	9313.59
23.700	9389.69
23.800	9466.15
23.900	9542.97
24.000	9620.16
24.100	9697.71
24.200	9775.63
24.300	9853.93
24.400	9932.59
24.500	10011.63
24.600	10091.04
24.700	10170.83
24.800	10251.00
24.900	10331.55
25.000	10412.48
25.100	10493.79
25.200	10575.49
25.300	10657.57
25.400	10740.05
25.500	10822.91
25.600	10906.17
25.700	10989.82
25.800	11073.87
25.900	11158.31
26.000	11243.16
26.100	11328.41
26.200	11414.06
26.300	11500.13
26.400	11586.61
26.500	11673.50
26.600	11760.80
26.700	11848.53
26.800	11936.68
26.900	12025.25
27.000	12114.25
27.100	12203.67
27.200	12293.53
27.300	12383.83
27.400	12474.56
27.500	12565.74
27.600	12657.35
27.700	12749.42
27.800	12841.93
27.900	12934.90
28.000	13028.32
28.100	13122.19
28.200	13216.53
28.300	13311.33
28.400	13406.60
28.500	13502.34
28.600	13598.55
28.700	13695.23
28.800	13792.40
28.900	13890.04
29.000	13988.17
29.100	14086.78
29.200	14185.88
29.300	14285.48
29.400	14385.57
29.500	14486.15
29.600	14587.24
29.700	14688.83
29.800	14790.93
29.900	14893.54
30.000	14996.66
