x(m)	y(m)
0.00	0.00
0.09	1.00
0.22	2.34
0.39	4.03
0.61	6.06
0.89	8.45
1.21	11.18
1.59	14.26
2.03	17.68
2.52	21.46
3.08	25.58
3.69	30.06
4.37	34.89
5.11	40.06
5.92	45.59
6.79	51.47
7.74	57.70
8.75	64.28
9.83	71.22
10.98	78.51
12.21	86.15
13.50	94.15
14.88	102.50
16.32	111.21
17.85	120.27
19.45	129.69
21.12	139.47
22.88	149.60
24.72	160.08
26.63	170.93
28.63	182.13
30.71	193.69
32.87	205.61
35.12	217.89
37.44	230.52
39.86	243.52
42.36	256.88
44.94	270.59
47.62	284.67
50.38	299.10
53.23	313.90
56.16	329.06
59.19	344.58
62.31	360.46
65.52	376.70
68.81	393.31
72.21	410.28
75.69	427.61
79.27	445.31
82.94	463.37
86.70	481.79
90.56	500.57
94.52	519.72
98.57	539.24
102.71	559.11
106.96	579.35
111.30	599.95
115.73	620.91
120.27	642.23
124.90	663.91
129.63	685.96
134.46	708.36
139.39	731.12
144.41	754.24
149.54	777.71
154.77	801.54
160.09	825.73
165.52	850.27
171.04	875.17
176.67	900.41
182.39	926.01
188.22	951.96
194.15	978.25
200.18	1004.90
206.30	1031.89
212.53	1059.22
218.86	1086.89
225.29	1114.91
231.82	1143.26
238.45	1171.95
245.18	1200.97
252.02	1230.32
258.95	1260.01
265.97	1290.02
273.10	1320.35
280.33	1351.01
287.66	1381.98
295.08	1413.28
302.61	1444.89
310.23	1476.81
317.95	1509.04
325.76	1541.58
333.68	1574.42
341.69	1607.56
349.79	1641.01
358.00	1674.76
366.30	1708.81
374.69	1743.15
383.19	1777.79
391.78	1812.73
400.46	1847.95
409.25	1883.47
418.13	1919.29
427.10	1955.39
436.17	1991.78
445.34	2028.46
454.61	2065.43
463.97	2102.69
473.43	2140.23
482.99	2178.07
492.65	2216.19
502.40	2254.60
512.25	2293.30
522.20	2332.28
532.25	2371.55
542.39	2411.11
552.64	2450.95
562.98	2491.08
573.43	2531.49
583.97	2572.19
594.61	2613.17
605.35	2654.44
616.19	2695.99
627.13	2737.82
638.17	2779.94
649.31	2822.33
660.55	2865.02
671.88	2907.98
683.32	2951.22
694.86	2994.74
706.50	3038.54
718.24	3082.63
730.08	3126.99
742.02	3171.62
754.07	3216.54
766.21	3261.73
778.45	3307.21
790.80	3352.95
803.24	3398.98
815.79	3445.28
828.44	3491.86
841.19	3538.72
854.05	3585.85
867.00	3633.26
880.06	3680.95
893.23	3728.92
906.49	3777.16
919.86	3825.67
933.33	3874.47
946.90	3923.54
960.58	3972.89
974.37	4022.52
988.25	4072.42
1002.25	4122.60
1016.34	4173.06
1030.55	4223.80
1044.85	4274.81
1059.27	4326.11
1073.79	4377.68
1088.41	4429.53
1103.14	4481.66
1117.98	4534.07
1132.93	4586.76
1147.98	4639.73
1163.14	4692.98
1178.41	4746.51
1193.79	4800.32
1209.28	4854.42
1224.87	4908.80
1240.58	4963.46
1256.39	5018.40
1272.32	5073.63
1288.35	5129.14
1304.50	5184.94
1320.75	5241.02
1337.12	5297.39
1353.60	5354.04
1370.20	5410.99
1386.90	5468.22
1403.72	5525.74
1420.65	5583.55
1437.70	5641.65
1454.86	5700.05
1472.13	5758.73
1489.52	5817.71
1507.03	5876.98
1524.65	5936.55
1542.39	5996.41
1560.24	6056.57
1578.22	6117.03
1596.31	6177.78
1614.52	6238.84
1632.85	6300.19
1651.30	6361.85
1669.86	6423.81
1688.55	6486.07
1707.36	6548.64
1726.29	6611.51
1745.34	6674.68
1764.52	6738.17
1783.81	6801.96
1803.23	6866.06
1822.77	6930.46
1842.44	6995.18
1862.23	7060.21
1882.15	7125.56
1902.19	7191.21
1922.36	7257.19
1942.66	7323.47
1963.08	7390.08
1983.63	7457.00
2004.31	7524.25
2025.12	7591.82
2046.05	7659.70
2067.12	7727.92
2088.32	7796.45
2109.65	7865.32
2131.11	7934.51
2152.71	8004.03
2174.44	8073.89
2196.30	8144.07
2218.30	8214.59
2240.43	8285.45
2262.70	8356.64
2285.10	8428.17
2307.64	8500.04
2330.32	8572.25
2353.14	8644.81
2376.10	8717.71
2399.20	8790.96
2422.44	8864.56
2445.82	8938.51
2469.35	9012.82
2493.02	9087.47
2516.83	9162.49
2540.79	9237.86
2564.89	9313.59
2589.14	9389.69
2613.54	9466.15
2638.08	9542.97
2662.77	9620.16
2687.61	9697.71
2712.61	9775.63
2737.75	9853.93
2763.04	9932.59
2788.48	10011.63
2814.08	10091.04
2839.83	10170.83
2865.73	10251.00
2891.79	10331.55
2918.00	10412.48
2944.37	10493.79
2970.89	10575.49
2997.57	10657.57
3024.41	10740.05
3051.41	10822.91
3078.57	10906.17
3105.89	10989.82
3133.38	11073.87
3161.02	11158.31
3188.83	11243.16
3216.80	11328.41
3244.94	11414.06
3273.24	11500.13
3301.71	11586.61
3330.35	11673.50
3359.16	11760.80
3388.14	11848.53
3417.30	11936.68
3446.62	12025.25
3476.12	12114.25
3505.79	12203.67
3535.64	12293.53
3565.67	12383.83
3595.88	12474.56
3626.26	12565.74
3656.83	12657.35
3687.57	12749.42
3718.50	12841.93
3749.62	12934.90
3780.91	13028.32
3812.40	13122.19
3844.07	13216.53
3875.93	13311.33
3907.98	13406.60
3940.22	13502.34
3972.66	13598.55
4005.29	13695.23
4038.11	13792.40
4071.12	13890.04
4104.34	13988.17
4137.75	14086.78
4171.36	14185.88
4205.17	14285.48
4239.18	14385.57
4273.39	14486.15
4307.81	14587.24
4342.44	14688.83
4377.26	14790.93
4412.30	14893.54
4447.55	14996.66
