N	t(c)	m(kg)	P(H)	V(m/s)	M	Cxa	alpha(grad)	theta_c(grad)	Cya_alpha	omega_z(1/s)	theta(grad)	y(m)	x(m)	g(m/s2)	x_dotc(m/s)	y_dotc(m/s)	V_dot(m/s2)
1	0.000	1255.00	56000.0	10.000	0.0294	0.3000	0.00	85.00	0.2500	0.0000	85.00	0.00	0.00	9.8066	0.872	9.962	34.849
2	0.010	1254.80	56000.0	10.349	0.0304	0.3000	0.05	84.95	0.2500	0.0000	85.00	0.10	0.01	9.8066	0.910	10.308	34.856
3	0.020	1254.60	56000.0	10.697	0.0314	0.3000	0.09	84.91	0.2500	0.0000	85.00	0.21	0.02	9.8066	0.949	10.655	34.864
4	0.030	1254.40	56000.0	11.046	0.0325	0.3000	0.13	84.87	0.2500	0.0000	85.00	0.31	0.03	9.8066	0.988	11.002	34.871
5	0.040	1254.20	56000.0	11.395	0.0335	0.3000	0.17	84.83	0.2500	0.0000	85.00	0.43	0.04	9.8066	1.027	11.348	34.879
6	0.050	1254.00	56000.0	11.743	0.0345	0.3000	0.21	84.79	0.2500	0.0000	85.00	0.54	0.05	9.8066	1.066	11.695	34.886
7	0.060	1253.80	56000.0	12.092	0.0355	0.3000	0.24	84.76	0.2500	0.0000	85.00	0.66	0.06	9.8066	1.105	12.042	34.893
8	0.070	1253.60	56000.0	12.441	0.0366	0.3000	0.28	84.72	0.2500	0.0000	85.00	0.78	0.07	9.8066	1.144	12.389	34.900
9	0.080	1253.40	56000.0	12.790	0.0376	0.3000	0.31	84.69	0.2500	0.0000	85.00	0.91	0.08	9.8066	1.183	12.735	34.908
10	0.090	1253.20	56000.0	13.139	0.0386	0.3000	0.34	84.66	0.2500	0.0000	85.00	1.04	0.09	9.8066	1.222	13.082	34.915
11	0.100	1253.00	56000.0	13.489	0.0396	0.3000	0.36	84.64	0.2500	0.0000	85.00	1.17	0.11	9.8066	1.261	13.430	34.922
12	0.110	1252.80	56000.0	13.838	0.0407	0.3000	0.39	84.61	0.2500	0.0000	85.00	1.31	0.12	9.8066	1.300	13.777	34.929
13	0.120	1252.60	56000.0	14.187	0.0417	0.3000	0.41	84.59	0.2500	0.0000	85.00	1.45	0.13	9.8066	1.339	14.124	34.936
14	0.130	1252.40	56000.0	14.537	0.0427	0.3000	0.44	84.56	0.2500	0.0000	85.00	1.59	0.15	9.8066	1.378	14.471	34.943
15	0.140	1252.20	56000.0	14.886	0.0437	0.3000	0.46	84.54	0.2500	0.0000	85.00	1.73	0.16	9.8066	1.417	14.818	34.950
16	0.150	1252.00	56000.0	15.236	0.0448	0.3000	0.48	84.52	0.2500	0.0000	85.00	1.88	0.17	9.8066	1.456	15.166	34.957
17	0.160	1251.80	56000.0	15.585	0.0458	0.3000	0.50	84.50	0.2500	0.0000	85.00	2.04	0.19	9.8066	1.495	15.513	34.964
18	0.170	1251.60	56000.0	15.935	0.0468	0.3000	0.52	84.48	0.2500	0.0000	85.00	2.19	0.20	9.8066	1.533	15.861	34.971
