x(m)	V(m/s)
0.00	10.000
0.01	10.349
0.02	10.697
0.03	11.046
0.04	11.395
0.05	11.743
0.06	12.092
0.07	12.441
0.08	12.790
0.09	13.139
0.11	13.489
0.12	13.838
0.13	14.187
0.15	14.537
0.16	14.886
0.17	15.236
0.19	15.585
0.20	15.935
0.22	16.285
0.24	16.634
0.25	16.984
0.27	17.334
0.29	17.684
0.30	18.034
0.32	18.385
0.34	18.735
0.36	19.085
0.38	19.435
0.40	19.786
0.42	20.136
0.44	20.487
0.46	20.838
0.48	21.188
0.50	21.539
0.52	21.890
0.54	22.241
0.57	22.592
0.59	22.943
0.61	23.294
0.64	23.645
0.66	23.996
0.68	24.348
0.71	24.699
0.74	25.050
0.76	25.402
0.79	25.754
0.81	26.105
0.84	26.457
0.87	26.809
0.90	27.160
0.92	27.512
0.95	27.864
0.98	28.216
1.01	28.568
1.04	28.921
1.07	29.273
1.10	29.625
1.13	29.978
1.16	30.330
1.19	30.682
1.23	31.035
1.26	31.388
1.29	31.740
1.32	32.093
1.36	32.446
1.39	32.799
1.42	33.152
1.46	33.505
1.49	33.858
1.53	34.211
1.57	34.564
1.60	34.918
1.64	35.271
1.68	35.624
1.71	35.978
1.75	36.331
1.79	36.685
1.83	37.039
1.87	37.392
1.91	37.746
1.95	38.100
1.99	38.454
2.03	38.808
2.07	39.162
2.11	39.516
2.15	39.870
2.19	40.224
2.24	40.579
2.28	40.933
2.32	41.287
2.37	41.642
2.41	41.996
2.46	42.351
2.50	42.706
2.55	43.060
2.59	43.415
2.64	43.770
2.68	44.125
2.73	44.480
2.78	44.835
2.83	45.190
2.87	45.545
2.92	45.901
2.97	46.256
3.02	46.611
3.07	46.967
3.12	47.322
3.17	47.678
3.22	48.033
3.27	48.389
3.32	48.745
3.38	49.101
3.43	49.456
3.48	49.812
3.53	50.168
3.59	50.524
3.64	50.881
3.70	51.237
3.75	51.593
3.81	51.949
3.86	52.306
3.92	52.662
3.97	53.018
4.03	53.375
