t(c)	theta_c(grad)
0.000	85.000
0.010	84.953
0.020	84.908
0.030	84.867
0.040	84.828
0.050	84.791
0.060	84.757
0.070	84.724
0.080	84.694
0.090	84.665
0.100	84.637
0.110	84.611
0.120	84.586
0.130	84.562
0.140	84.539
0.150	84.518
0.160	84.497
0.170	84.478
0.180	84.459
0.190	84.441
0.200	84.423
0.210	84.407
0.220	84.391
0.230	84.376
0.240	84.361
0.250	84.347
0.260	84.333
0.270	84.320
0.280	84.307
0.290	84.295
0.300	84.283
0.310	84.272
0.320	84.261
0.330	84.250
0.340	84.239
0.350	84.229
0.360	84.220
0.370	84.210
0.380	84.201
0.390	84.192
0.400	84.184
0.410	84.176
0.420	84.167
0.430	84.160
0.440	84.152
0.450	84.145
0.460	84.137
0.470	84.130
0.480	84.123
0.490	84.117
0.500	84.110
0.510	84.104
0.520	84.098
0.530	84.092
0.540	84.086
0.550	84.080
0.560	84.075
0.570	84.069
0.580	84.064
0.590	84.059
0.600	84.054
0.610	84.049
0.620	84.044
0.630	84.039
0.640	84.034
0.650	84.030
0.660	84.026
0.670	84.021
0.680	84.017
0.690	84.013
0.700	84.009
0.710	84.005
0.720	84.001
0.730	83.997
0.740	83.993
0.750	83.990
0.760	83.986
0.770	83.983
0.780	83.979
0.790	83.976
0.800	83.972
0.810	83.969
0.820	83.966
0.830	83.963
0.840	83.960
0.850	83.957
0.860	83.954
0.870	83.951
0.880	83.948
0.890	83.945
0.900	83.942
0.910	83.940
0.920	83.937
0.930	83.934
0.940	83.932
0.950	83.929
0.960	83.927
0.970	83.924
0.980	83.922
0.990	83.920
1.000	83.917
1.010	83.915
1.020	83.913
1.030	83.911
1.040	83.909
1.050	83.906
1.060	83.904
1.070	83.902
1.080	83.900
1.090	83.898
1.100	83.896
1.110	83.894
1.120	83.892
1.130	83.890
1.140	83.889
1.150	83.887
1.160	83.885
1.170	83.883
1.180	83.881
1.190	83.880
1.200	83.878
1.210	83.876
1.220	83.875
1.230	83.873
1.240	83.872
1.250	83.870
1.260	83.868
1.270	83.867
1.280	83.865
1.290	83.864
1.300	83.862
1.310	83.861
1.320	83.860
1.330	83.858
1.340	83.857
1.350	83.855
1.360	83.854
1.370	83.853
1.380	83.851
1.390	83.850
1.400	83.849
1.410	83.848
1.420	83.846
1.430	83.845
1.440	83.844
1.450	83.843
1.460	83.841
1.470	83.840
1.480	83.839
1.490	83.838
1.500	83.837
1.510	83.836
1.520	83.835
1.530	83.834
1.540	83.833
1.550	83.831
1.560	83.830
1.570	83.829
1.580	83.828
1.590	83.827
1.600	83.826
1.610	83.825
1.620	83.824
1.630	83.824
1.640	83.823
1.650	83.822
1.660	83.821
1.670	83.820
1.680	83.819
1.690	83.818
1.700	83.817
1.710	83.816
1.720	83.815
1.730	83.815
1.740	83.814
1.750	83.813
1.760	83.812
1.770	83.811
1.780	83.811
1.790	83.810
1.800	83.809
1.810	83.808
1.820	83.807
1.830	83.807
1.840	83.806
1.850	83.805
1.860	83.805
1.870	83.804
1.880	83.803
1.890	83.802
1.900	83.802
1.910	83.801
1.920	83.800
1.930	83.800
1.940	83.799
1.950	83.798
1.960	83.798
1.970	83.797
1.980	83.796
1.990	83.796
2.000	83.795
2.010	83.795
2.020	83.794
2.030	83.793
2.040	83.793
2.050	83.792
2.060	83.792
2.070	83.791
2.080	83.790
2.090	83.790
2.100	83.789
2.110	83.789
2.120	83.788
2.130	83.788
2.140	83.787
2.150	83.787
2.160	83.786
2.170	83.786
2.180	83.785
2.190	83.785
2.200	83.784
2.210	83.784
2.220	83.783
2.230	83.783
2.240	83.782
2.250	83.782
2.260	83.781
2.270	83.781
2.280	83.780
2.290	83.780
2.300	83.780
2.310	83.779
2.320	83.779
2.330	83.778
2.340	83.778
2.350	83.777
2.360	83.777
2.370	83.777
2.380	83.776
2.390	83.776
2.400	83.775
2.410	83.775
2.420	83.775
2.430	83.774
2.440	83.774
2.450	83.773
2.460	83.773
2.470	83.773
2.480	83.772
2.490	83.772
2.500	83.772
2.510	83.771
2.520	83.771
2.530	83.771
2.540	83.770
2.550	83.770
2.560	83.770
2.570	83.769
2.580	83.769
2.590	83.769
2.600	83.768
2.610	83.768
2.620	83.768
2.630	83.767
2.640	83.767
2.650	83.767
2.660	83.766
2.670	83.766
2.680	83.766
2.690	83.765
2.700	83.765
2.710	83.765
2.720	83.765
2.730	83.764
2.740	83.764
2.750	83.764
2.760	83.764
2.770	83.763
2.780	83.763
2.790	83.763
2.800	83.762
2.810	83.762
2.820	83.762
2.830	83.762
2.840	83.761
2.850	83.761
2.860	83.761
2.870	83.761
2.880	83.761
2.890	83.760
