x(m)	theta_c(grad)
0.00	85.000
0.01	84.953
0.02	84.908
0.03	84.867
0.04	84.828
0.05	84.791
0.06	84.757
0.07	84.724
0.08	84.694
0.09	84.665
0.11	84.637
0.12	84.611
0.13	84.586
0.15	84.562
0.16	84.539
0.17	84.518
0.19	84.497
0.20	84.478
0.22	84.459
0.24	84.441
0.25	84.423
0.27	84.407
0.29	84.391
0.30	84.376
0.32	84.361
0.34	84.347
0.36	84.333
0.38	84.320
0.40	84.307
0.42	84.295
0.44	84.283
0.46	84.272
0.48	84.261
0.50	84.250
0.52	84.239
0.54	84.229
0.57	84.220
0.59	84.210
0.61	84.201
0.64	84.192
0.66	84.184
0.68	84.176
0.71	84.167
0.74	84.160
0.76	84.152
0.79	84.145
0.81	84.137
0.84	84.130
0.87	84.123
0.90	84.117
0.92	84.110
0.95	84.104
0.98	84.098
1.01	84.092
1.04	84.086
1.07	84.080
1.10	84.075
1.13	84.069
1.16	84.064
1.19	84.059
1.23	84.054
1.26	84.049
1.29	84.044
1.32	84.039
1.36	84.034
1.39	84.030
1.42	84.026
1.46	84.021
1.49	84.017
1.53	84.013
1.57	84.009
1.60	84.005
1.64	84.001
1.68	83.997
1.71	83.993
1.75	83.990
1.79	83.986
1.83	83.983
1.87	83.979
1.91	83.976
1.95	83.972
1.99	83.969
2.03	83.966
2.07	83.963
2.11	83.960
2.15	83.957
2.19	83.954
2.24	83.951
2.28	83.948
2.32	83.945
2.37	83.942
2.41	83.940
2.46	83.937
2.50	83.934
2.55	83.932
2.59	83.929
2.64	83.927
2.68	83.924
2.73	83.922
2.78	83.920
2.83	83.917
2.87	83.915
2.92	83.913
2.97	83.911
3.02	83.909
3.07	83.906
3.12	83.904
3.17	83.902
3.22	83.900
3.27	83.898
3.32	83.896
3.38	83.894
3.43	83.892
3.48	83.890
3.53	83.889
3.59	83.887
3.64	83.885
3.70	83.883
3.75	83.881
3.81	83.880
3.86	83.878
3.92	83.876
3.97	83.875
4.03	83.873
4.09	83.872
4.15	83.870
4.20	83.868
4.26	83.867
4.32	83.865
4.38	83.864
4.44	83.862
4.50	83.861
4.56	83.860
4.62	83.858
4.68	83.857
4.74	83.855
4.81	83.854
4.87	83.853
4.93	83.851
4.99	83.850
5.06	83.849
5.12	83.848
5.19	83.846
5.25	83.845
5.31	83.844
5.38	83.843
5.45	83.841
5.51	83.840
5.58	83.839
5.65	83.838
5.71	83.837
5.78	83.836
5.85	83.835
5.92	83.834
5.99	83.833
6.06	83.831
6.13	83.830
6.20	83.829
6.27	83.828
6.34	83.827
6.41	83.826
6.48	83.825
6.55	83.824
6.63	83.824
6.70	83.823
6.77	83.822
6.85	83.821
6.92	83.820
7.00	83.819
7.07	83.818
7.15	83.817
7.22	83.816
7.30	83.815
7.37	83.815
7.45	83.814
7.53	83.813
7.61	83.812
7.69	83.811
7.76	83.811
7.84	83.810
7.92	83.809
8.00	83.808
8.08	83.807
8.16	83.807
8.24	83.806
8.33	83.805
8.41	83.805
8.49	83.804
8.57	83.803
8.65	83.802
8.74	83.802
8.82	83.801
8.91	83.800
8.99	83.800
9.08	83.799
9.16	83.798
9.25	83.798
9.33	83.797
9.42	83.796
9.51	83.796
9.59	83.795
9.68	83.795
9.77	83.794
9.86	83.793
9.95	83.793
10.04	83.792
10.13	83.792
10.22	83.791
10.31	83.790
10.40	83.790
10.49	83.789
10.58	83.789
10.67	83.788
10.77	83.788
10.86	83.787
10.95	83.787
11.05	83.786
11.14	83.786
11.23	83.785
11.33	83.785
11.42	83.784
11.52	83.784
11.62	83.783
11.71	83.783
11.81	83.782
11.91	83.782
12.00	83.781
12.10	83.781
12.20	83.780
12.30	83.780
12.40	83.780
12.50	83.779
12.60	83.779
12.70	83.778
12.80	83.778
12.90	83.777
13.00	83.777
13.11	83.777
13.21	83.776
13.31	83.776
13.42	83.775
13.52	83.775
13.62	83.775
13.73	83.774
13.83	83.774
13.94	83.773
14.04	83.773
14.15	83.773
14.26	83.772
14.36	83.772
14.47	83.772
14.58	83.771
14.69	83.771
14.80	83.771
14.90	83.770
15.01	83.770
15.12	83.770
15.23	83.769
15.34	83.769
15.45	83.769
15.57	83.768
15.68	83.768
15.79	83.768
15.90	83.767
