t(c)	x(m)
0.000	0.00
0.010	0.01
0.020	0.02
0.030	0.03
0.040	0.04
0.050	0.05
0.060	0.06
0.070	0.07
0.080	0.08
0.090	0.09
0.100	0.11
0.110	0.12
0.120	0.13
0.130	0.15
0.140	0.16
0.150	0.17
0.160	0.19
0.170	0.20
0.180	0.22
0.190	0.24
0.200	0.25
0.210	0.27
0.220	0.29
0.230	0.30
0.240	0.32
0.250	0.34
0.260	0.36
0.270	0.38
0.280	0.40
0.290	0.42
0.300	0.44
0.310	0.46
0.320	0.48
0.330	0.50
0.340	0.52
0.350	0.54
0.360	0.57
0.370	0.59
0.380	0.61
0.390	0.64
0.400	0.66
0.410	0.68
0.420	0.71
0.430	0.74
0.440	0.76
0.450	0.79
0.460	0.81
0.470	0.84
0.480	0.87
0.490	0.90
0.500	0.92
0.510	0.95
0.520	0.98
0.530	1.01
0.540	1.04
0.550	1.07
0.560	1.10
0.570	1.13
0.580	1.16
0.590	1.19
0.600	1.23
0.610	1.26
0.620	1.29
0.630	1.32
0.640	1.36
0.650	1.39
0.660	1.42
0.670	1.46
0.680	1.49
0.690	1.53
0.700	1.57
0.710	1.60
0.720	1.64
0.730	1.68
0.740	1.71
0.750	1.75
0.760	1.79
0.770	1.83
0.780	1.87
0.790	1.91
0.800	1.95
0.810	1.99
0.820	2.03
0.830	2.07
0.840	2.11
0.850	2.15
0.860	2.19
0.870	2.24
0.880	2.28
0.890	2.32
0.900	2.37
0.910	2.41
0.920	2.46
0.930	2.50
0.940	2.55
0.950	2.59
0.960	2.64
0.970	2.68
0.980	2.73
0.990	2.78
1.000	2.83
1.010	2.87
1.020	2.92
1.030	2.97
1.040	3.02
1.050	3.07
1.060	3.12
1.070	3.17
1.080	3.22
1.090	3.27
1.100	3.32
1.110	3.38
1.120	3.43
1.130	3.48
1.140	3.53
1.150	3.59
1.160	3.64
1.170	3.70
1.180	3.75
1.190	3.81
1.200	3.86
1.210	3.92
1.220	3.97
1.230	4.03
1.240	4.09
1.250	4.15
1.260	4.20
1.270	4.26
1.280	4.32
1.290	4.38
1.300	4.44
