t(c)	y(m)
0.000	0.00
0.010	0.10
0.020	0.21
0.030	0.31
0.040	0.43
0.050	0.54
0.060	0.66
0.070	0.78
0.080	0.91
0.090	1.04
0.100	1.17
0.110	1.31
0.120	1.45
0.130	1.59
0.140	1.73
0.150	1.88
0.160	2.04
0.170	2.19
0.180	2.36
0.190	2.52
0.200	2.69
0.210	2.86
0.220	3.03
0.230	3.21
0.240	3.39
0.250	3.57
0.260	3.76
0.270	3.95
0.280	4.15
0.290	4.35
0.300	4.55
0.310	4.76
0.320	4.97
0.330	5.18
0.340	5.39
0.350	5.61
0.360	5.84
0.370	6.06
0.380	6.29
0.390	6.53
0.400	6.76
0.410	7.00
0.420	7.25
0.430	7.50
0.440	7.75
0.450	8.00
0.460	8.26
0.470	8.52
0.480	8.78
0.490	9.05
0.500	9.33
0.510	9.60
0.520	9.88
0.530	10.16
0.540	10.45
0.550	10.74
0.560	11.03
0.570	11.33
0.580	11.63
0.590	11.93
0.600	12.24
0.610	12.55
0.620	12.86
0.630	13.18
0.640	13.50
0.650	13.82
0.660	14.15
0.670	14.48
0.680	14.82
0.690	15.16
0.700	15.50
0.710	15.84
0.720	16.19
0.730	16.55
0.740	16.90
0.750	17.26
0.760	17.62
0.770	17.99
0.780	18.36
0.790	18.74
0.800	19.11
0.810	19.49
0.820	19.88
0.830	20.26
0.840	20.66
0.850	21.05
0.860	21.45
0.870	21.85
0.880	22.26
0.890	22.66
0.900	23.08
0.910	23.49
0.920	23.91
0.930	24.34
0.940	24.76
0.950	25.19
0.960	25.63
0.970	26.06
0.980	26.50
0.990	26.95
1.000	27.39
1.010	27.85
1.020	28.30
1.030	28.76
1.040	29.22
1.050	29.69
1.060	30.15
1.070	30.63
1.080	31.10
1.090	31.58
1.100	32.06
1.110	32.55
1.120	33.04
1.130	33.53
1.140	34.03
1.150	34.53
1.160	35.04
1.170	35.54
1.180	36.06
1.190	36.57
1.200	37.09
1.210	37.61
1.220	38.14
1.230	38.66
1.240	39.20
1.250	39.73
1.260	40.27
1.270	40.82
1.280	41.36
1.290	41.91
1.300	42.47
1.310	43.02
1.320	43.58
1.330	44.15
1.340	44.72
1.350	45.29
1.360	45.86
1.370	46.44
1.380	47.02
1.390	47.61
1.400	48.20
1.410	48.79
1.420	49.39
1.430	49.99
1.440	50.59
1.450	51.20
1.460	51.81
1.470	52.42
1.480	53.04
1.490	53.66
1.500	54.29
1.510	54.92
1.520	55.55
1.530	56.18
1.540	56.82
1.550	57.46
1.560	58.11
1.570	58.76
1.580	59.41
1.590	60.07
1.600	60.73
1.610	61.40
1.620	62.06
1.630	62.73
1.640	63.41
1.650	64.09
1.660	64.77
1.670	65.45
1.680	66.14
1.690	66.84
1.700	67.53
1.710	68.23
1.720	68.93
1.730	69.64
1.740	70.35
1.750	71.07
1.760	71.78
1.770	72.50
1.780	73.23
1.790	73.96
1.800	74.69
1.810	75.42
1.820	76.16
1.830	76.91
1.840	77.65
1.850	78.40
1.860	79.16
1.870	79.91
1.880	80.67
1.890	81.44
1.900	82.21
1.910	82.98
1.920	83.75
1.930	84.53
1.940	85.31
1.950	86.10
1.960	86.89
1.970	87.68
1.980	88.48
1.990	89.28
2.000	90.08
2.010	90.89
2.020	91.70
2.030	92.51
2.040	93.33
2.050	94.15
2.060	94.98
2.070	95.80
2.080	96.64
2.090	97.47
2.100	98.31
2.110	99.15
2.120	100.00
2.130	100.85
2.140	101.71
2.150	102.56
2.160	103.42
2.170	104.29
2.180	105.16
2.190	106.03
2.200	106.90
2.210	107.78
2.220	108.66
2.230	109.55
2.240	110.44
2.250	111.33
2.260	112.23
2.270	113.13
2.280	114.04
2.290	114.94
2.300	115.86
2.310	116.77
2.320	117.69
2.330	118.61
2.340	119.54
2.350	120.47
2.360	121.40
2.370	122.34
2.380	123.28
2.390	124.22
2.400	125.17
2.410	126.12
2.420	127.07
2.430	128.03
2.440	128.99
2.450	129.96
2.460	130.93
2.470	131.90
2.480	132.88
2.490	133.86
2.500	134.84
2.510	135.83
2.520	136.82
2.530	137.81
2.540	138.81
2.550	139.81
2.560	140.82
2.570	141.83
2.580	142.84
2.590	143.86
2.600	144.88
2.610	145.90
2.620	146.93
2.630	147.96
2.640	148.99
2.650	150.03
2.660	151.07
2.670	152.12
2.680	153.16
2.690	154.22
2.700	155.27
2.710	156.33
2.720	157.40
2.730	158.46
2.740	159.53
2.750	160.61
2.760	161.68
2.770	162.77
2.780	163.85
2.790	164.94
2.800	166.03
2.810	167.13
2.820	168.23
2.830	169.33
2.840	170.44
2.850	171.55
2.860	172.66
2.870	173.78
2.880	174.90
2.890	176.03
2.900	177.15
2.910	178.29
2.920	179.42
2.930	180.56
2.940	181.71
2.950	182.85
2.960	184.00
2.970	185.16
2.980	186.31
2.990	187.48
3.000	188.64
3.010	189.81
3.020	190.98
3.030	192.16
3.040	193.34
3.050	194.52
3.060	195.71
3.070	196.90
3.080	198.09
3.090	199.29
3.100	200.49
3.110	201.70
3.120	202.90
3.130	204.12
3.140	205.33
3.150	206.55
3.160	207.78
3.170	209.00
3.180	210.23
3.190	211.47
3.200	212.71
3.210	213.95
3.220	215.19
3.230	216.44
3.240	217.69
3.250	218.95
3.260	220.21
3.270	221.47
3.280	222.74
3.290	224.01
3.300	225.28
3.310	226.56
3.320	227.84
3.330	229.13
3.340	230.42
3.350	231.71
3.360	233.01
3.370	234.31
3.380	235.61
3.390	236.92
3.400	238.23
3.410	239.54
3.420	240.86
3.430	242.18
3.440	243.51
3.450	244.84
3.460	246.17
3.470	247.51
3.480	248.85
3.490	250.19
3.500	251.54
3.510	252.89
3.520	254.25
3.530	255.60
3.540	256.97
3.550	258.33
3.560	259.70
3.570	261.08
3.580	262.45
3.590	263.83
3.600	265.22
3.610	266.60
3.620	268.00
3.630	269.39
3.640	270.79
3.650	272.19
3.660	273.60
3.670	275.01
3.680	276.42
3.690	277.84
3.700	279.26
3.710	280.69
3.720	282.11
3.730	283.55
3.740	284.98
3.750	286.42
3.760	287.86
3.770	289.31
3.780	290.76
3.790	292.21
3.800	293.67
3.810	295.13
3.820	296.60
3.830	298.07
3.840	299.54
3.850	301.02
3.860	302.49
3.870	303.98
3.880	305.47
3.890	306.96
3.900	308.45
3.910	309.95
3.920	311.45
3.930	312.96
3.940	314.46
3.950	315.98
3.960	317.49
3.970	319.01
3.980	320.54
3.990	322.07
4.000	323.60
4.010	325.13
4.020	326.67
4.030	328.21
4.040	329.76
4.050	331.31
4.060	332.86
4.070	334.42
4.080	335.98
4.090	337.54
4.100	339.11
4.110	340.68
4.120	342.26
4.130	343.84
4.140	345.42
4.150	347.01
4.160	348.60
4.170	350.19
4.180	351.79
4.190	353.39
4.200	355.00
4.210	356.61
4.220	358.22
4.230	359.83
4.240	361.45
4.250	363.08
4.260	364.70
4.270	366.33
4.280	367.97
4.290	369.61
4.300	371.25
4.310	372.90
4.320	374.54
4.330	376.20
4.340	377.85
4.350	379.51
4.360	381.18
4.370	382.85
4.380	384.52
4.390	386.19
4.400	387.87
4.410	389.56
4.420	391.24
4.430	392.93
4.440	394.63
4.450	396.32
4.460	398.02
4.470	399.73
4.480	401.44
4.490	403.15
4.500	404.87
4.510	406.59
4.520	408.31
4.530	410.04
4.540	411.77
4.550	413.50
4.560	415.24
4.570	416.98
4.580	418.73
4.590	420.48
4.600	422.23
4.610	423.99
4.620	425.75
4.630	427.51
4.640	429.28
4.650	431.05
4.660	432.82
4.670	434.60
4.680	436.39
4.690	438.17
4.700	439.96
4.710	441.76
4.720	443.55
4.730	445.36
4.740	447.16
4.750	448.97
4.760	450.78
4.770	452.60
4.780	454.42
4.790	456.24
4.800	458.07
4.810	459.90
4.820	461.73
4.830	463.57
4.840	465.41
4.850	467.26
4.860	469.11
4.870	470.96
4.880	472.82
4.890	474.68
4.900	476.55
4.910	478.41
4.920	480.29
4.930	482.16
4.940	484.04
4.950	485.92
4.960	487.81
4.970	489.70
4.980	491.59
4.990	493.49
5.000	495.39
5.010	497.30
5.020	499.21
5.030	501.12
5.040	503.04
5.050	504.96
5.060	506.88
5.070	508.81
5.080	510.74
5.090	512.68
5.100	514.61
5.110	516.56
5.120	518.50
5.130	520.45
5.140	522.41
5.150	524.36
5.160	526.32
5.170	528.29
5.180	530.26
5.190	532.23
5.200	534.21
5.210	536.18
5.220	538.17
5.230	540.16
5.240	542.15
5.250	544.14
5.260	546.14
5.270	548.14
5.280	550.15
5.290	552.15
5.300	554.17
5.310	556.18
5.320	558.20
5.330	560.23
5.340	562.26
5.350	564.29
5.360	566.32
5.370	568.36
5.380	570.40
5.390	572.45
5.400	574.50
5.410	576.55
5.420	578.61
5.430	580.67
5.440	582.74
5.450	584.81
5.460	586.88
5.470	588.96
5.480	591.03
5.490	593.12
5.500	595.21
5.510	597.30
5.520	599.39
5.530	601.49
5.540	603.59
5.550	605.70
5.560	607.81
5.570	609.92
5.580	612.03
5.590	614.16
5.600	616.28
5.610	618.41
5.620	620.54
5.630	622.67
5.640	624.81
5.650	626.95
5.660	629.10
5.670	631.25
5.680	633.40
5.690	635.56
5.700	637.72
5.710	639.89
5.720	642.06
5.730	644.23
5.740	646.40
5.750	648.58
5.760	650.77
5.770	652.95
5.780	655.14
5.790	657.34
5.800	659.54
5.810	661.74
5.820	663.94
5.830	666.15
5.840	668.36
5.850	670.58
5.860	672.80
5.870	675.02
5.880	677.25
5.890	679.48
5.900	681.72
5.910	683.96
5.920	686.20
5.930	688.44
5.940	690.69
5.950	692.95
5.960	695.20
5.970	697.46
5.980	699.73
5.990	702.00
6.000	704.27
6.010	706.54
6.020	708.82
6.030	711.10
6.040	713.39
6.050	715.68
6.060	717.97
6.070	720.27
6.080	722.57
6.090	724.88
6.100	727.19
6.110	729.50
6.120	731.81
6.130	734.13
6.140	736.46
6.150	738.78
6.160	741.11
6.170	743.45
6.180	745.78
6.190	748.13
6.200	750.47
6.210	752.82
6.220	755.17
6.230	757.53
6.240	759.89
6.250	762.25
6.260	764.62
6.270	766.99
6.280	769.36
6.290	771.74
6.300	774.12
6.310	776.51
6.320	778.90
6.330	781.29
6.340	783.68
6.350	786.08
6.360	788.49
6.370	790.89
6.380	793.31
6.390	795.72
6.400	798.14
6.410	800.56
6.420	802.99
6.430	805.41
6.440	807.85
6.450	810.28
6.460	812.72
6.470	815.17
6.480	817.61
6.490	820.06
6.500	822.52
6.510	824.98
6.520	827.44
6.530	829.90
6.540	832.37
6.550	834.85
6.560	837.32
6.570	839.80
6.580	842.29
6.590	844.77
6.600	847.26
6.610	849.76
6.620	852.26
6.630	854.76
6.640	857.26
6.650	859.77
6.660	862.29
6.670	864.80
6.680	867.32
6.690	869.84
6.700	872.37
6.710	874.90
6.720	877.44
6.730	879.98
6.740	882.52
6.750	885.06
6.760	887.61
6.770	890.16
6.780	892.72
6.790	895.28
6.800	897.84
6.810	900.41
6.820	902.98
6.830	905.55
6.840	908.13
6.850	910.71
6.860	913.30
6.870	915.89
6.880	918.48
6.890	921.07
6.900	923.67
6.910	926.28
6.920	928.88
6.930	931.49
6.940	934.11
6.950	936.72
6.960	939.34
6.970	941.97
6.980	944.60
6.990	947.23
7.000	949.86
7.010	952.50
7.020	955.14
7.030	957.79
7.040	960.44
7.050	963.09
7.060	965.75
7.070	968.41
7.080	971.07
7.090	973.74
7.100	976.41
7.110	979.09
7.120	981.77
7.130	984.45
7.140	987.13
7.150	989.82
7.160	992.51
7.170	995.21
7.180	997.91
7.190	1000.61
7.200	1003.32
7.210	1006.03
7.220	1008.74
7.230	1011.46
7.240	1014.18
7.250	1016.91
7.260	1019.64
7.270	1022.37
7.280	1025.10
7.290	1027.84
7.300	1030.58
7.310	1033.33
7.320	1036.08
7.330	1038.83
7.340	1041.59
7.350	1044.35
7.360	1047.11
7.370	1049.88
7.380	1052.65
7.390	1055.42
7.400	1058.20
7.410	1060.98
7.420	1063.77
7.430	1066.55
7.440	1069.35
7.450	1072.14
7.460	1074.94
7.470	1077.74
7.480	1080.55
7.490	1083.36
7.500	1086.17
7.510	1088.99
7.520	1091.81
7.530	1094.63
7.540	1097.46
7.550	1100.29
7.560	1103.12
7.570	1105.96
7.580	1108.80
7.590	1111.64
7.600	1114.49
7.610	1117.34
7.620	1120.20
7.630	1123.05
7.640	1125.92
7.650	1128.78
7.660	1131.65
7.670	1134.52
7.680	1137.40
7.690	1140.28
7.700	1143.16
7.710	1146.05
7.720	1148.94
7.730	1151.83
7.740	1154.72
7.750	1157.62
7.760	1160.53
7.770	1163.43
7.780	1166.34
7.790	1169.26
7.800	1172.18
7.810	1175.10
7.820	1178.02
7.830	1180.95
7.840	1183.88
7.850	1186.81
7.860	1189.75
7.870	1192.69
7.880	1195.64
7.890	1198.58
7.900	1201.53
7.910	1204.49
7.920	1207.45
7.930	1210.41
7.940	1213.37
7.950	1216.34
7.960	1219.32
7.970	1222.29
7.980	1225.27
7.990	1228.25
8.000	1231.24
8.010	1234.23
8.020	1237.22
8.030	1240.21
8.040	1243.21
8.050	1246.22
8.060	1249.22
8.070	1252.23
8.080	1255.24
8.090	1258.26
8.100	1261.28
8.110	1264.30
8.120	1267.33
8.130	1270.36
8.140	1273.39
8.150	1276.43
8.160	1279.47
8.170	1282.51
8.180	1285.56
8.190	1288.61
8.200	1291.66
8.210	1294.72
8.220	1297.78
8.230	1300.84
8.240	1303.91
8.250	1306.98
8.260	1310.05
8.270	1313.13
8.280	1316.21
8.290	1319.29
8.300	1322.38
8.310	1325.47
8.320	1328.56
8.330	1331.66
8.340	1334.76
8.350	1337.86
8.360	1340.97
8.370	1344.08
8.380	1347.19
8.390	1350.31
8.400	1353.43
8.410	1356.55
8.420	1359.68
8.430	1362.81
8.440	1365.94
8.450	1369.07
8.460	1372.21
8.470	1375.36
8.480	1378.50
8.490	1381.65
8.500	1384.81
8.510	1387.96
8.520	1391.12
8.530	1394.28
8.540	1397.45
8.550	1400.62
8.560	1403.79
8.570	1406.97
8.580	1410.15
8.590	1413.33
8.600	1416.52
8.610	1419.71
8.620	1422.90
8.630	1426.09
8.640	1429.29
8.650	1432.49
8.660	1435.70
8.670	1438.91
8.680	1442.12
8.690	1445.33
8.700	1448.55
8.710	1451.77
8.720	1455.00
8.730	1458.23
8.740	1461.46
8.750	1464.69
8.760	1467.93
8.770	1471.17
8.780	1474.41
8.790	1477.66
8.800	1480.91
8.810	1484.17
8.820	1487.42
8.830	1490.68
8.840	1493.95
8.850	1497.21
8.860	1500.48
8.870	1503.76
8.880	1507.03
8.890	1510.31
8.900	1513.59
8.910	1516.88
8.920	1520.17
8.930	1523.46
8.940	1526.76
8.950	1530.05
8.960	1533.36
8.970	1536.66
8.980	1539.97
8.990	1543.28
9.000	1546.59
9.010	1549.91
9.020	1553.23
9.030	1556.56
9.040	1559.88
9.050	1563.21
9.060	1566.55
9.070	1569.88
9.080	1573.22
9.090	1576.56
9.100	1579.91
9.110	1583.26
9.120	1586.61
9.130	1589.97
9.140	1593.32
9.150	1596.69
9.160	1600.05
9.170	1603.42
9.180	1606.79
9.190	1610.16
9.200	1613.54
9.210	1616.92
9.220	1620.31
9.230	1623.69
9.240	1627.08
9.250	1630.47
9.260	1633.87
9.270	1637.27
9.280	1640.67
9.290	1644.08
9.300	1647.49
9.310	1650.90
9.320	1654.31
9.330	1657.73
9.340	1661.15
9.350	1664.58
9.360	1668.00
9.370	1671.43
9.380	1674.87
9.390	1678.30
9.400	1681.74
9.410	1685.19
9.420	1688.63
9.430	1692.08
9.440	1695.53
9.450	1698.99
9.460	1702.45
9.470	1705.91
9.480	1709.37
9.490	1712.84
9.500	1716.31
9.510	1719.78
9.520	1723.26
9.530	1726.74
9.540	1730.22
9.550	1733.71
9.560	1737.20
9.570	1740.69
9.580	1744.19
9.590	1747.69
9.600	1751.19
9.610	1754.69
9.620	1758.20
9.630	1761.71
9.640	1765.22
9.650	1768.74
9.660	1772.26
9.670	1775.78
9.680	1779.31
9.690	1782.84
9.700	1786.37
9.710	1789.91
9.720	1793.45
9.730	1796.99
9.740	1800.53
9.750	1804.08
9.760	1807.63
9.770	1811.18
9.780	1814.74
9.790	1818.30
9.800	1821.86
9.810	1825.43
9.820	1829.00
9.830	1832.57
9.840	1836.15
9.850	1839.72
9.860	1843.30
9.870	1846.89
9.880	1850.48
9.890	1854.07
9.900	1857.66
9.910	1861.26
9.920	1864.86
9.930	1868.46
9.940	1872.06
9.950	1875.67
9.960	1879.28
9.970	1882.90
9.980	1886.52
9.990	1890.14
10.000	1893.76
10.010	1897.39
10.020	1901.02
10.030	1904.65
10.040	1908.29
10.050	1911.93
10.060	1915.57
10.070	1919.21
10.080	1922.86
10.090	1926.51
10.100	1930.17
10.110	1933.82
10.120	1937.48
10.130	1941.15
10.140	1944.81
10.150	1948.48
10.160	1952.15
10.170	1955.83
10.180	1959.51
10.190	1963.19
10.200	1966.87
10.210	1970.56
10.220	1974.25
10.230	1977.94
10.240	1981.64
10.250	1985.34
10.260	1989.04
10.270	1992.75
10.280	1996.45
10.290	2000.17
10.300	2003.88
10.310	2007.60
10.320	2011.32
10.330	2015.04
10.340	2018.77
10.350	2022.50
10.360	2026.23
10.370	2029.96
10.380	2033.70
10.390	2037.44
10.400	2041.19
10.410	2044.94
10.420	2048.69
10.430	2052.44
10.440	2056.20
10.450	2059.96
10.460	2063.72
10.470	2067.49
10.480	2071.25
10.490	2075.03
10.500	2078.80
10.510	2082.58
10.520	2086.36
10.530	2090.14
10.540	2093.93
10.550	2097.72
10.560	2101.51
10.570	2105.31
10.580	2109.11
10.590	2112.91
10.600	2116.71
10.610	2120.52
10.620	2124.33
10.630	2128.14
10.640	2131.96
10.650	2135.78
10.660	2139.60
10.670	2143.43
10.680	2147.26
10.690	2151.09
10.700	2154.92
10.710	2158.76
10.720	2162.60
10.730	2166.45
10.740	2170.29
10.750	2174.14
10.760	2178.00
10.770	2181.85
10.780	2185.71
10.790	2189.57
10.800	2193.44
10.810	2197.31
10.820	2201.18
10.830	2205.05
10.840	2208.93
10.850	2212.81
10.860	2216.69
10.870	2220.58
10.880	2224.46
10.890	2228.36
10.900	2232.25
10.910	2236.15
10.920	2240.05
10.930	2243.95
10.940	2247.86
10.950	2251.77
10.960	2255.68
10.970	2259.60
10.980	2263.52
10.990	2267.44
11.000	2271.36
11.010	2275.29
11.020	2279.22
11.030	2283.16
11.040	2287.09
11.050	2291.03
11.060	2294.98
11.070	2298.92
11.080	2302.87
11.090	2306.82
11.100	2310.78
11.110	2314.73
11.120	2318.70
11.130	2322.66
11.140	2326.63
11.150	2330.60
11.160	2334.57
11.170	2338.54
11.180	2342.52
11.190	2346.51
11.200	2350.49
11.210	2354.48
11.220	2358.47
11.230	2362.46
11.240	2366.46
11.250	2370.46
11.260	2374.46
11.270	2378.47
11.280	2382.48
11.290	2386.49
11.300	2390.50
11.310	2394.52
11.320	2398.54
11.330	2402.56
11.340	2406.59
11.350	2410.62
11.360	2414.65
11.370	2418.69
11.380	2422.73
11.390	2426.77
11.400	2430.81
11.410	2434.86
11.420	2438.91
11.430	2442.97
11.440	2447.02
11.450	2451.08
11.460	2455.14
11.470	2459.21
11.480	2463.28
11.490	2467.35
11.500	2471.42
11.510	2475.50
11.520	2479.58
11.530	2483.66
11.540	2487.75
11.550	2491.84
11.560	2495.93
11.570	2500.03
11.580	2504.13
11.590	2508.23
11.600	2512.33
11.610	2516.44
11.620	2520.55
11.630	2524.66
11.640	2528.78
11.650	2532.90
11.660	2537.02
11.670	2541.15
11.680	2545.27
11.690	2549.40
11.700	2553.54
11.710	2557.68
11.720	2561.82
11.730	2565.96
11.740	2570.11
11.750	2574.25
11.760	2578.41
11.770	2582.56
11.780	2586.72
11.790	2590.88
11.800	2595.04
11.810	2599.21
11.820	2603.38
11.830	2607.55
11.840	2611.73
11.850	2615.91
11.860	2620.09
11.870	2624.27
11.880	2628.46
11.890	2632.65
11.900	2636.85
11.910	2641.04
11.920	2645.24
