x(m)	y(m)
0.00	0.00
0.01	0.10
0.02	0.21
0.03	0.31
0.04	0.43
0.05	0.54
0.06	0.66
0.07	0.78
0.08	0.91
0.09	1.04
0.11	1.17
0.12	1.31
0.13	1.45
0.15	1.59
0.16	1.73
0.17	1.88
0.19	2.04
0.20	2.19
0.22	2.36
0.24	2.52
0.25	2.69
0.27	2.86
0.29	3.03
0.30	3.21
0.32	3.39
0.34	3.57
0.36	3.76
0.38	3.95
0.40	4.15
0.42	4.35
0.44	4.55
0.46	4.76
0.48	4.97
0.50	5.18
0.52	5.39
0.54	5.61
0.57	5.84
0.59	6.06
0.61	6.29
0.64	6.53
0.66	6.76
0.68	7.00
0.71	7.25
0.74	7.50
0.76	7.75
0.79	8.00
0.81	8.26
0.84	8.52
0.87	8.78
0.90	9.05
0.92	9.33
0.95	9.60
0.98	9.88
1.01	10.16
1.04	10.45
1.07	10.74
1.10	11.03
1.13	11.33
1.16	11.63
1.19	11.93
1.23	12.24
1.26	12.55
1.29	12.86
1.32	13.18
1.36	13.50
1.39	13.82
1.42	14.15
1.46	14.48
1.49	14.82
1.53	15.16
1.57	15.50
1.60	15.84
1.64	16.19
1.68	16.55
1.71	16.90
1.75	17.26
1.79	17.62
1.83	17.99
1.87	18.36
1.91	18.74
1.95	19.11
1.99	19.49
2.03	19.88
2.07	20.26
2.11	20.66
2.15	21.05
2.19	21.45
2.24	21.85
2.28	22.26
2.32	22.66
2.37	23.08
2.41	23.49
2.46	23.91
2.50	24.34
2.55	24.76
2.59	25.19
2.64	25.63
2.68	26.06
2.73	26.50
2.78	26.95
2.83	27.39
2.87	27.85
2.92	28.30
2.97	28.76
3.02	29.22
3.07	29.69
3.12	30.15
3.17	30.63
3.22	31.10
3.27	31.58
3.32	32.06
3.38	32.55
3.43	33.04
3.48	33.53
3.53	34.03
3.59	34.53
3.64	35.04
3.70	35.54
3.75	36.06
3.81	36.57
3.86	37.09
3.92	37.61
3.97	38.14
4.03	38.66
4.09	39.20
4.15	39.73
4.20	40.27
4.26	40.82
4.32	41.36
4.38	41.91
4.44	42.47
4.50	43.02
4.56	43.58
4.62	44.15
4.68	44.72
4.74	45.29
4.81	45.86
4.87	46.44
4.93	47.02
4.99	47.61
5.06	48.20
5.12	48.79
5.19	49.39
5.25	49.99
5.31	50.59
5.38	51.20
5.45	51.81
5.51	52.42
5.58	53.04
5.65	53.66
5.71	54.29
5.78	54.92
5.85	55.55
5.92	56.18
5.99	56.82
6.06	57.46
6.13	58.11
6.20	58.76
6.27	59.41
6.34	60.07
6.41	60.73
6.48	61.40
6.55	62.06
6.63	62.73
6.70	63.41
6.77	64.09
6.85	64.77
6.92	65.45
7.00	66.14
7.07	66.84
7.15	67.53
7.22	68.23
7.30	68.93
7.37	69.64
7.45	70.35
7.53	71.07
7.61	71.78
7.69	72.50
7.76	73.23
7.84	73.96
7.92	74.69
8.00	75.42
8.08	76.16
8.16	76.91
8.24	77.65
8.33	78.40
8.41	79.16
8.49	79.91
8.57	80.67
8.65	81.44
8.74	82.21
8.82	82.98
8.91	83.75
8.99	84.53
9.08	85.31
9.16	86.10
9.25	86.89
9.33	87.68
9.42	88.48
9.51	89.28
9.59	90.08
9.68	90.89
9.77	91.70
9.86	92.51
9.95	93.33
10.04	94.15
10.13	94.98
10.22	95.80
10.31	96.64
10.40	97.47
10.49	98.31
10.58	99.15
10.67	100.00
10.77	100.85
10.86	101.71
10.95	102.56
11.05	103.42
11.14	104.29
11.23	105.16
11.33	106.03
11.42	106.90
11.52	107.78
11.62	108.66
11.71	109.55
11.81	110.44
11.91	111.33
12.00	112.23
12.10	113.13
12.20	114.04
12.30	114.94
12.40	115.86
12.50	116.77
12.60	117.69
12.70	118.61
12.80	119.54
12.90	120.47
13.00	121.40
13.11	122.34
13.21	123.28
13.31	124.22
13.42	125.17
13.52	126.12
13.62	127.07
13.73	128.03
13.83	128.99
13.94	129.96
14.04	130.93
14.15	131.90
14.26	132.88
14.36	133.86
14.47	134.84
14.58	135.83
14.69	136.82
14.80	137.81
14.90	138.81
15.01	139.81
15.12	140.82
15.23	141.83
15.34	142.84
15.45	143.86
15.57	144.88
15.68	145.90
15.79	146.93
15.90	147.96
16.02	148.99
16.13	150.03
16.24	151.07
16.36	152.12
16.47	153.16
16.59	154.22
16.70	155.27
16.82	156.33
16.93	157.40
17.05	158.46
17.17	159.53
17.28	160.61
17.40	161.68
17.52	162.77
17.64	163.85
17.76	164.94
17.88	166.03
18.00	167.13
18.12	168.23
18.24	169.33
18.36	170.44
18.48	171.55
18.60	172.66
18.72	173.78
18.85	174.90
18.97	176.03
19.09	177.15
19.22	178.29
19.34	179.42
19.47	180.56
19.59	181.71
19.72	182.85
19.84	184.00
19.97	185.16
20.09	186.31
20.22	187.48
20.35	188.64
20.48	189.81
20.61	190.98
20.73	192.16
20.86	193.34
20.99	194.52
21.12	195.71
21.25	196.90
21.38	198.09
21.51	199.29
21.65	200.49
21.78	201.70
21.91	202.90
22.04	204.12
22.18	205.33
22.31	206.55
22.44	207.78
22.58	209.00
22.71	210.23
22.85	211.47
22.98	212.71
23.12	213.95
23.25	215.19
23.39	216.44
23.53	217.69
23.67	218.95
23.80	220.21
23.94	221.47
24.08	222.74
24.22	224.01
24.36	225.28
24.50	226.56
24.64	227.84
24.78	229.13
24.92	230.42
25.06	231.71
25.20	233.01
25.35	234.31
25.49	235.61
25.63	236.92
25.78	238.23
25.92	239.54
26.06	240.86
26.21	242.18
26.35	243.51
26.50	244.84
26.65	246.17
26.79	247.51
26.94	248.85
27.09	250.19
27.23	251.54
27.38	252.89
27.53	254.25
27.68	255.60
27.83	256.97
27.98	258.33
28.13	259.70
28.28	261.08
28.43	262.45
28.58	263.83
