t(c)	V(m/s)
0.000	10.000
0.100	13.489
0.200	16.984
0.300	20.487
0.400	23.996
0.500	27.512
0.600	31.035
0.700	34.564
0.800	38.100
0.900	41.642
1.000	45.190
1.100	48.745
1.200	52.306
1.300	55.872
1.400	59.445
1.500	63.024
1.600	66.609
1.700	70.199
1.800	73.796
1.900	77.398
2.000	81.005
2.100	84.619
2.200	88.237
2.300	91.861
2.400	95.491
2.500	99.125
2.600	102.765
2.700	106.410
2.800	110.060
2.900	113.715
3.000	117.375
3.100	121.039
3.200	124.709
3.300	128.383
3.400	132.061
3.500	135.745
3.600	139.432
3.700	143.124
3.800	146.821
3.900	150.521
4.000	154.226
4.100	157.935
4.200	161.648
4.300	165.364
4.400	169.085
4.500	172.810
4.600	176.538
4.700	180.270
4.800	184.005
4.900	187.743
5.000	191.481
5.100	195.218
5.200	198.952
5.300	202.684
5.400	206.413
5.500	210.138
5.600	213.860
5.700	217.577
5.800	221.289
5.900	224.996
6.000	228.696
6.100	232.391
6.200	236.078
6.300	239.759
6.400	243.431
6.500	247.095
6.600	250.750
6.700	254.395
6.800	258.031
6.900	261.656
7.000	265.270
7.100	268.873
7.200	272.461
7.300	276.033
7.400	279.586
7.500	283.121
7.600	286.637
7.700	290.133
7.800	293.608
7.900	297.062
8.000	300.494
8.100	303.903
8.200	307.291
8.300	310.656
8.400	313.998
8.500	317.316
8.600	320.611
8.700	323.880
8.800	327.125
8.900	330.344
9.000	333.537
9.100	336.710
9.200	339.867
9.300	343.011
9.400	346.142
9.500	349.259
9.600	352.363
9.700	355.453
9.800	358.531
9.900	361.596
10.000	364.648
10.100	367.690
10.200	370.726
10.300	373.759
10.400	376.789
10.500	379.816
10.600	382.840
10.700	385.862
10.800	388.882
10.900	391.899
11.000	394.915
11.100	397.928
11.200	400.940
11.300	403.948
11.400	406.953
11.500	409.955
11.600	412.955
11.700	415.953
11.800	418.948
11.900	421.941
12.000	424.933
12.100	427.922
12.200	430.909
12.300	433.891
12.400	436.868
12.500	439.840
12.600	442.807
12.700	445.769
12.800	448.727
12.900	451.680
13.000	454.629
13.100	457.574
13.200	460.516
13.300	463.455
13.400	466.394
13.500	469.333
13.600	472.271
13.700	475.208
13.800	478.146
13.900	481.084
14.000	484.021
14.100	486.960
14.200	489.899
14.300	492.839
14.400	495.780
14.500	498.722
14.600	501.666
14.700	504.612
14.800	507.559
14.900	510.508
15.000	513.460
15.100	516.415
15.200	519.372
15.300	522.332
15.400	525.295
15.500	528.261
15.600	531.231
15.700	534.205
15.800	537.183
15.900	540.166
16.000	543.152
16.100	546.144
16.200	549.140
16.300	552.142
16.400	555.149
16.500	558.161
16.600	561.180
16.700	564.204
16.800	567.235
16.900	570.273
17.000	573.317
17.100	576.369
17.200	579.427
17.300	582.494
17.400	585.568
17.500	588.650
17.600	591.740
17.700	594.839
17.800	597.947
17.900	601.064
18.000	604.190
18.100	607.326
18.200	610.471
18.300	613.627
18.400	616.793
18.500	619.970
18.600	623.158
18.700	626.356
18.800	629.567
18.900	632.788
19.000	636.019
19.100	639.260
19.200	642.510
19.300	645.771
19.400	649.042
19.500	652.323
19.600	655.616
19.700	658.919
19.800	662.234
19.900	665.561
20.000	668.899
20.100	672.250
20.200	675.613
20.300	678.989
20.400	682.378
20.500	685.780
20.600	689.196
20.700	692.626
20.800	696.069
20.900	699.527
21.000	703.000
21.100	706.488
21.200	709.990
21.300	713.509
21.400	717.043
21.500	720.594
21.600	724.160
21.700	727.744
21.800	731.344
21.900	734.962
22.000	738.598
22.100	742.251
22.200	745.923
22.300	749.613
22.400	753.322
22.500	757.051
22.600	760.799
22.700	764.566
22.800	768.354
22.900	772.163
23.000	775.992
23.100	779.842
23.200	783.714
23.300	787.606
23.400	791.516
23.500	795.441
23.600	799.383
23.700	803.341
23.800	807.315
23.900	811.306
24.000	815.315
24.100	819.341
24.200	823.385
24.300	827.447
24.400	831.528
24.500	835.627
24.600	839.745
24.700	843.882
24.800	848.039
24.900	852.216
25.000	856.414
25.100	860.631
25.200	864.870
25.300	869.134
25.400	873.425
25.500	877.743
25.600	882.088
25.700	886.460
25.800	890.858
25.900	895.284
26.000	899.738
26.100	904.219
26.200	908.728
26.300	913.266
26.400	917.832
26.500	922.426
26.600	927.050
26.700	931.703
26.800	936.385
26.900	941.097
27.000	945.838
27.100	950.610
27.200	955.412
27.300	960.245
27.400	965.109
27.500	970.004
27.600	974.930
27.700	979.887
27.800	984.876
27.900	989.898
28.000	994.951
28.100	1000.038
28.200	1005.156
28.300	1010.305
28.400	1015.485
28.500	1020.695
28.600	1025.936
28.700	1031.207
28.800	1036.510
28.900	1041.845
29.000	1047.211
29.100	1052.610
29.200	1058.040
29.300	1063.503
29.400	1068.999
29.500	1074.528
29.600	1080.091
29.700	1085.687
29.800	1091.316
29.900	1096.980
30.000	1102.678
