t(c)	alpha(grad)
0.000	0.000
0.100	0.363
0.200	0.577
0.300	0.717
0.400	0.816
0.500	0.890
0.600	0.946
0.700	0.991
0.800	1.028
0.900	1.058
1.000	1.083
1.100	1.104
1.200	1.122
1.300	1.138
1.400	1.151
1.500	1.163
1.600	1.174
1.700	1.183
1.800	1.191
1.900	1.198
2.000	1.205
2.100	1.211
2.200	1.216
2.300	1.220
2.400	1.225
2.500	1.228
2.600	1.232
2.700	1.235
2.800	1.237
2.900	1.240
3.000	1.242
3.100	1.244
3.200	1.246
3.300	1.247
3.400	1.249
3.500	1.250
3.600	1.251
3.700	1.251
3.800	1.252
3.900	1.253
4.000	1.253
4.100	1.254
4.200	1.254
4.300	1.254
4.400	1.254
4.500	1.254
4.600	1.254
4.700	1.254
4.800	1.253
4.900	1.253
5.000	1.252
5.100	1.252
5.200	1.251
5.300	1.251
5.400	1.250
5.500	1.249
5.600	1.249
5.700	1.248
5.800	1.247
5.900	1.246
6.000	1.245
6.100	1.244
6.200	1.243
6.300	1.242
6.400	1.241
6.500	1.240
6.600	1.239
6.700	1.237
6.800	1.236
6.900	1.235
7.000	1.234
7.100	1.232
7.200	1.231
7.300	1.230
7.400	1.228
7.500	1.227
7.600	1.226
7.700	1.224
7.800	1.223
7.900	1.221
8.000	1.220
8.100	1.219
8.200	1.217
8.300	1.216
8.400	1.214
8.500	1.213
8.600	1.211
8.700	1.209
8.800	1.207
8.900	1.206
9.000	1.204
9.100	1.202
9.200	1.200
9.300	1.198
9.400	1.196
9.500	1.194
9.600	1.191
9.700	1.189
9.800	1.187
9.900	1.185
10.000	1.184
10.100	1.182
10.200	1.180
10.300	1.178
10.400	1.176
10.500	1.174
10.600	1.172
10.700	1.170
10.800	1.168
10.900	1.166
11.000	1.165
11.100	1.163
11.200	1.161
11.300	1.159
11.400	1.157
11.500	1.155
11.600	1.153
11.700	1.151
11.800	1.149
11.900	1.147
12.000	1.145
12.100	1.143
12.200	1.141
12.300	1.139
12.400	1.137
12.500	1.135
12.600	1.132
12.700	1.130
12.800	1.128
12.900	1.126
13.000	1.124
13.100	1.122
13.200	1.120
13.300	1.118
13.400	1.116
13.500	1.114
13.600	1.112
13.700	1.110
13.800	1.107
13.900	1.105
14.000	1.103
14.100	1.101
14.200	1.099
14.300	1.097
14.400	1.095
14.500	1.093
14.600	1.090
14.700	1.088
14.800	1.086
14.900	1.084
15.000	1.082
15.100	1.080
15.200	1.078
15.300	1.076
15.400	1.073
15.500	1.071
15.600	1.069
15.700	1.067
15.800	1.065
15.900	1.063
16.000	1.060
16.100	1.058
16.200	1.056
16.300	1.054
16.400	1.052
16.500	1.050
16.600	1.048
16.700	1.045
16.800	1.043
16.900	1.041
17.000	1.039
17.100	1.037
17.200	1.035
17.300	1.032
17.400	1.030
17.500	1.028
17.600	1.026
17.700	1.024
17.800	1.022
17.900	1.020
18.000	1.017
18.100	1.015
18.200	1.013
18.300	1.011
18.400	1.009
18.500	1.007
18.600	1.004
18.700	1.002
18.800	1.000
18.900	0.998
19.000	0.996
19.100	0.994
19.200	0.992
19.300	0.990
19.400	0.987
19.500	0.985
19.600	0.983
19.700	0.981
19.800	0.979
19.900	0.977
20.000	0.975
20.100	0.973
20.200	0.970
20.300	0.968
20.400	0.966
20.500	0.964
20.600	0.962
20.700	0.960
20.800	0.958
20.900	0.956
21.000	0.954
21.100	0.952
21.200	0.949
21.300	0.947
21.400	0.945
21.500	0.943
21.600	0.941
21.700	0.939
21.800	0.937
21.900	0.935
22.000	0.933
22.100	0.931
22.200	0.929
22.300	0.927
22.400	0.925
22.500	0.923
22.600	0.921
22.700	0.919
22.800	0.917
22.900	0.914
23.000	0.912
23.100	0.910
23.200	0.908
23.300	0.906
23.400	0.904
23.500	0.902
23.600	0.900
23.700	0.898
23.800	0.896
23.900	0.894
24.000	0.892
24.100	0.890
24.200	0.888
24.300	0.886
24.400	0.885
24.500	0.883
24.600	0.881
24.700	0.879
24.800	0.877
24.900	0.875
25.000	0.873
25.100	0.871
25.200	0.869
25.300	0.867
25.400	0.865
25.500	0.863
25.600	0.861
25.700	0.859
25.800	0.857
25.900	0.856
26.000	0.854
26.100	0.852
26.200	0.850
26.300	0.848
26.400	0.846
26.500	0.844
26.600	0.843
26.700	0.841
26.800	0.839
26.900	0.837
27.000	0.835
27.100	0.834
27.200	0.832
27.300	0.830
27.400	0.828
27.500	0.826
27.600	0.825
27.700	0.823
27.800	0.821
27.900	0.819
28.000	0.818
28.100	0.816
28.200	0.814
28.300	0.812
28.400	0.811
28.500	0.809
28.600	0.807
28.700	0.805
28.800	0.804
28.900	0.802
29.000	0.800
29.100	0.799
29.200	0.797
29.300	0.795
29.400	0.794
29.500	0.792
29.600	0.790
29.700	0.789
29.800	0.787
29.900	0.785
30.000	0.784
