t(c)	x(m)	y(m)	V(m/s)	theta_c(grad)	theta(grad)	alpha(grad)	omega_z(1/s)	M	Cxa	Cya_alpha	m(kg)	P(H)	g(m/s2)
0.000	0.00	0.00	10.000	85.000	85.000	0.000	0.0000	0.0294	0.3000	0.2500	1255.00	56000.0	9.8066
0.100	0.11	1.17	13.489	84.637	85.000	0.363	0.0000	0.0396	0.3000	0.2500	1253.00	56000.0	9.8066
0.200	0.25	2.69	16.984	84.423	85.000	0.577	0.0000	0.0499	0.3000	0.2500	1251.00	56000.0	9.8066
0.300	0.44	4.55	20.487	84.283	85.000	0.717	0.0000	0.0602	0.3000	0.2500	1249.00	56000.0	9.8066
0.400	0.66	6.76	23.996	84.184	85.000	0.816	0.0000	0.0705	0.3000	0.2500	1247.00	56000.0	9.8066
0.500	0.93	9.32	27.512	84.110	85.000	0.890	0.0000	0.0809	0.3000	0.2500	1245.00	56000.0	9.8066
0.600	1.23	12.24	31.035	84.054	85.000	0.946	0.0000	0.0912	0.3000	0.2500	1243.00	56000.0	9.8066
0.700	1.57	15.50	34.564	84.009	85.000	0.991	0.0000	0.1016	0.3000	0.2500	1241.00	56000.0	9.8066
0.800	1.95	19.11	38.100	83.972	85.000	1.028	0.0000	0.1120	0.3000	0.2500	1239.00	56000.0	9.8066
0.900	2.37	23.08	41.642	83.942	85.000	1.058	0.0000	0.1224	0.3000	0.2500	1237.00	56000.0	9.8066
1.000	2.83	27.39	45.190	83.917	85.000	1.083	0.0000	0.1328	0.3000	0.2500	1235.00	56000.0	9.8066
1.100	3.33	32.06	48.745	83.896	85.000	1.104	0.0000	0.1433	0.3000	0.2500	1233.00	56000.0	9.8066
1.200	3.87	37.09	52.306	83.878	85.000	1.122	0.0000	0.1538	0.3000	0.2500	1231.00	56000.0	9.8065
1.300	4.44	42.46	55.872	83.862	85.000	1.138	0.0000	0.1643	0.3000	0.2500	1229.00	56000.0	9.8065
1.400	5.06	48.20	59.445	83.849	85.000	1.151	0.0000	0.1748	0.3000	0.2500	1227.00	56000.0	9.8065
1.500	5.72	54.28	63.024	83.837	85.000	1.163	0.0000	0.1853	0.3000	0.2500	1225.00	56000.0	9.8065
1.600	6.41	60.73	66.609	83.826	85.000	1.174	0.0000	0.1959	0.3000	0.2500	1223.00	56000.0	9.8065
1.700	7.15	67.53	70.199	83.817	85.000	1.183	0.0000	0.2064	0.3000	0.2500	1221.00	56000.0	9.8064
1.800	7.93	74.69	73.796	83.809	85.000	1.191	0.0000	0.2170	0.3000	0.2500	1219.00	56000.0	9.8064
1.900	8.74	82.20	77.398	83.802	85.000	1.198	0.0000	0.2277	0.3000	0.2500	1217.00	56000.0	9.8064
2.000	9.60	90.08	81.005	83.795	85.000	1.205	0.0000	0.2383	0.3000	0.2500	1215.00	56000.0	9.8064
2.100	10.49	98.31	84.619	83.789	85.000	1.211	0.0000	0.2489	0.3000	0.2500	1213.00	56000.0	9.8063
2.200	11.43	106.90	88.237	83.784	85.000	1.216	0.0000	0.2596	0.3000	0.2500	1211.00	56000.0	9.8063
2.300	12.40	115.85	91.861	83.780	85.000	1.220	0.0000	0.2703	0.3000	0.2500	1209.00	56000.0	9.8063
2.400	13.42	125.16	95.491	83.775	85.000	1.225	0.0000	0.2810	0.3000	0.2500	1207.00	56000.0	9.8063
2.500	14.47	134.84	99.125	83.772	85.000	1.228	0.0000	0.2917	0.3000	0.2500	1205.00	56000.0	9.8062
2.600	15.57	144.87	102.765	83.768	85.000	1.232	0.0000	0.3025	0.3000	0.2500	1203.00	56000.0	9.8062
2.700	16.71	155.27	106.410	83.765	85.000	1.235	0.0000	0.3132	0.3000	0.2500	1201.00	56000.0	9.8062
2.800	17.88	166.03	110.060	83.763	85.000	1.237	0.0000	0.3240	0.3000	0.2500	1199.00	56000.0	9.8061
2.900	19.10	177.15	113.715	83.760	85.000	1.240	0.0000	0.3348	0.3000	0.2500	1197.00	56000.0	9.8061
3.000	20.35	188.64	117.375	83.758	85.000	1.242	0.0000	0.3457	0.3000	0.2500	1195.00	56000.0	9.8061
3.100	21.65	200.49	121.039	83.756	85.000	1.244	0.0000	0.3565	0.3000	0.2500	1193.00	56000.0	9.8060
3.200	22.99	212.70	124.709	83.754	85.000	1.246	0.0000	0.3674	0.3000	0.2500	1191.00	56000.0	9.8060
3.300	24.36	225.28	128.383	83.753	85.000	1.247	0.0000	0.3782	0.3000	0.2500	1189.00	56000.0	9.8060
3.400	25.78	238.23	132.061	83.751	85.000	1.249	0.0000	0.3891	0.3000	0.2500	1187.00	56000.0	9.8059
3.500	27.24	251.54	135.745	83.750	85.000	1.250	0.0000	0.4000	0.3000	0.2500	1185.00	56000.0	9.8059
3.600	28.74	265.21	139.432	83.749	85.000	1.251	0.0000	0.4110	0.3000	0.2500	1183.00	56000.0	9.8058
3.700	30.27	279.26	143.124	83.749	85.000	1.251	0.0000	0.4219	0.3000	0.2500	1181.00	56000.0	9.8058
3.800	31.85	293.67	146.821	83.748	85.000	1.252	0.0000	0.4329	0.3000	0.2500	1179.00	56000.0	9.8057
3.900	33.47	308.45	150.521	83.747	85.000	1.253	0.0000	0.4439	0.3000	0.2500	1177.00	56000.0	9.8057
