t(c)	x(m)	y(m)	V(m/s)	theta_c(grad)	theta(grad)	alpha(grad)	omega_z(1/s)	M	Cxa	Cya_alpha	m(kg)	P(H)	g(m/s2)
0.000	0.00	0.00	10.000	85.000	85.000	0.000	0.0000	0.0294	0.3000	0.2500	1255.00	56000.0	9.8066
0.010	0.01	0.10	10.349	84.952	85.000	0.000	0.0000	0.0304	0.3000	0.2500	1254.80	56000.0	9.8066
0.020	0.02	0.21	10.697	84.904	85.000	0.000	0.0000	0.0314	0.3000	0.2500	1254.60	56000.0	9.8066
0.030	0.03	0.31	11.046	84.858	85.000	0.000	0.0000	0.0325	0.3000	0.2500	1254.40	56000.0	9.8066
0.040	0.04	0.43	11.395	84.813	85.000	0.000	0.0000	0.0335	0.3000	0.2500	1254.20	56000.0	9.8066
0.050	0.05	0.54	11.743	84.769	85.000	0.000	0.0000	0.0345	0.3000	0.2500	1254.00	56000.0	9.8066
0.060	0.06	0.66	12.092	84.726	85.000	0.000	0.0000	0.0355	0.3000	0.2500	1253.80	56000.0	9.8066
0.070	0.07	0.78	12.441	84.684	85.000	0.000	0.0000	0.0366	0.3000	0.2500	1253.60	56000.0	9.8066
0.080	0.08	0.91	12.790	84.642	85.000	0.000	0.0000	0.0376	0.3000	0.2500	1253.40	56000.0	9.8066
0.090	0.09	1.04	13.139	84.602	85.000	0.000	0.0000	0.0386	0.3000	0.2500	1253.20	56000.0	9.8066
0.100	0.11	1.17	13.489	84.562	85.000	0.000	0.0000	0.0396	0.3000	0.2500	1253.00	56000.0	9.8066
0.110	0.12	1.31	13.838	84.523	85.000	0.000	0.0000	0.0407	0.3000	0.2500	1252.80	56000.0	9.8066
0.120	0.13	1.44	14.187	84.484	85.000	0.000	0.0000	0.0417	0.3000	0.2500	1252.60	56000.0	9.8066
0.130	0.15	1.59	14.537	84.446	85.000	0.000	0.0000	0.0427	0.3000	0.2500	1252.40	56000.0	9.8066
0.140	0.16	1.73	14.886	84.409	85.000	0.000	0.0000	0.0437	0.3000	0.2500	1252.20	56000.0	9.8066
0.150	0.18	1.88	15.236	84.373	85.000	0.000	0.0000	0.0448	0.3000	0.2500	1252.00	56000.0	9.8066
0.160	0.19	2.04	15.585	84.337	85.000	0.000	0.0000	0.0458	0.3000	0.2500	1251.80	56000.0	9.8066
0.170	0.21	2.19	15.935	84.302	85.000	0.000	0.0000	0.0468	0.3000	0.2500	1251.60	56000.0	9.8066
0.180	0.22	2.35	16.285	84.267	85.000	0.000	0.0000	0.0479	0.3000	0.2500	1251.40	56000.0	9.8066
0.190	0.24	2.52	16.635	84.233	85.000	0.000	0.0000	0.0489	0.3000	0.2500	1251.20	56000.0	9.8066
0.200	0.26	2.69	16.985	84.199	85.000	0.000	0.0000	0.0499	0.3000	0.2500	1251.00	56000.0	9.8066
0.210	0.27	2.86	17.335	84.166	85.000	0.000	0.0000	0.0509	0.3000	0.2500	1250.80	56000.0	9.8066
0.220	0.29	3.03	17.685	84.133	85.000	0.000	0.0000	0.0520	0.3000	0.2500	1250.60	56000.0	9.8066
0.230	0.31	3.21	18.035	84.101	85.000	0.000	0.0000	0.0530	0.3000	0.2500	1250.40	56000.0	9.8066
0.240	0.33	3.39	18.385	84.069	85.000	0.000	0.0000	0.0540	0.3000	0.2500	1250.20	56000.0	9.8066
