t(c)	theta(grad)
0.000	85.000
0.010	85.000
0.020	85.000
0.030	85.000
0.040	85.000
0.050	85.000
0.060	85.000
0.070	85.000
0.080	85.000
0.090	85.000
0.100	85.000
0.110	85.000
0.120	85.000
0.130	85.000
0.140	85.000
0.150	85.000
0.160	85.000
0.170	85.000
0.180	85.000
0.190	85.000
0.200	85.000
0.210	85.000
0.220	85.000
0.230	85.000
0.240	85.000
0.250	85.000
0.260	85.000
0.270	85.000
0.280	85.000
0.290	85.000
0.300	85.000
0.310	85.000
0.320	85.000
0.330	85.000
0.340	85.000
0.350	85.000
0.360	85.000
0.370	85.000
0.380	85.000
0.390	85.000
0.400	85.000
0.410	85.000
0.420	85.000
0.430	85.000
0.440	85.000
0.450	85.000
0.460	85.000
0.470	85.000
0.480	85.000
0.490	85.000
0.500	85.000
0.510	85.000
0.520	85.000
0.530	85.000
0.540	85.000
0.550	85.000
0.560	85.000
0.570	85.000
0.580	85.000
0.590	85.000
0.600	85.000
0.610	85.000
0.620	85.000
0.630	85.000
0.640	85.000
0.650	85.000
0.660	85.000
0.670	85.000
0.680	85.000
0.690	85.000
0.700	85.000
0.710	85.000
0.720	85.000
0.730	85.000
0.740	85.000
0.750	85.000
0.760	85.000
0.770	85.000
0.780	85.000
0.790	85.000
0.800	85.000
0.810	85.000
0.820	85.000
0.830	85.000
0.840	85.000
0.850	85.000
0.860	85.000
0.870	85.000
0.880	85.000
0.890	85.000
0.900	85.000
0.910	85.000
0.920	85.000
0.930	85.000
0.940	85.000
0.950	85.000
0.960	85.000
0.970	85.000
0.980	85.000
0.990	85.000
1.000	85.000
1.010	85.000
1.020	85.000
1.030	85.000
1.040	85.000
1.050	85.000
1.060	85.000
1.070	85.000
1.080	85.000
1.090	85.000
1.100	85.000
1.110	85.000
1.120	85.000
1.130	85.000
1.140	85.000
1.150	85.000
1.160	85.000
1.170	85.000
1.180	85.000
1.190	85.000
1.200	85.000
1.210	85.000
1.220	85.000
1.230	85.000
1.240	85.000
1.250	85.000
1.260	85.000
1.270	85.000
1.280	85.000
1.290	85.000
1.300	85.000
1.310	85.000
1.320	85.000
1.330	85.000
1.340	85.000
1.350	85.000
1.360	85.000
1.370	85.000
1.380	85.000
1.390	85.000
