t(c)	x(m)
0.000	0.00
0.010	0.01
0.020	0.02
0.030	0.03
0.040	0.04
0.050	0.05
0.060	0.06
0.070	0.07
0.080	0.08
0.090	0.09
0.100	0.11
0.110	0.12
0.120	0.13
0.130	0.15
0.140	0.16
0.150	0.18
0.160	0.19
0.170	0.21
0.180	0.22
0.190	0.24
0.200	0.26
0.210	0.27
0.220	0.29
0.230	0.31
0.240	0.33
0.250	0.35
0.260	0.37
0.270	0.39
0.280	0.41
0.290	0.43
0.300	0.45
0.310	0.47
0.320	0.50
0.330	0.52
0.340	0.54
0.350	0.57
0.360	0.59
0.370	0.62
0.380	0.64
0.390	0.67
0.400	0.69
0.410	0.72
0.420	0.75
0.430	0.78
0.440	0.80
0.450	0.83
0.460	0.86
0.470	0.89
0.480	0.92
0.490	0.95
0.500	0.99
0.510	1.02
0.520	1.05
0.530	1.08
0.540	1.12
0.550	1.15
0.560	1.19
0.570	1.22
0.580	1.26
0.590	1.29
0.600	1.33
0.610	1.37
0.620	1.41
0.630	1.44
0.640	1.48
0.650	1.52
0.660	1.56
0.670	1.60
0.680	1.64
0.690	1.69
0.700	1.73
0.710	1.77
0.720	1.81
0.730	1.86
0.740	1.90
0.750	1.95
0.760	1.99
0.770	2.04
0.780	2.09
0.790	2.13
0.800	2.18
0.810	2.23
0.820	2.28
0.830	2.33
0.840	2.38
0.850	2.43
0.860	2.48
0.870	2.53
0.880	2.59
0.890	2.64
0.900	2.69
0.910	2.75
0.920	2.80
0.930	2.86
0.940	2.91
0.950	2.97
0.960	3.03
0.970	3.08
0.980	3.14
0.990	3.20
1.000	3.26
1.010	3.32
1.020	3.38
1.030	3.44
1.040	3.51
1.050	3.57
1.060	3.63
1.070	3.70
1.080	3.76
1.090	3.83
1.100	3.89
1.110	3.96
1.120	4.02
1.130	4.09
1.140	4.16
1.150	4.23
1.160	4.30
1.170	4.37
1.180	4.44
1.190	4.51
1.200	4.58
1.210	4.65
1.220	4.73
1.230	4.80
1.240	4.88
1.250	4.95
1.260	5.03
1.270	5.10
1.280	5.18
1.290	5.26
1.300	5.33
