x(m)	y(m)
0.00	0.00
0.01	0.10
0.02	0.21
0.03	0.31
0.04	0.43
0.05	0.54
0.06	0.66
0.07	0.78
0.08	0.91
0.09	1.04
0.11	1.17
0.12	1.31
0.13	1.44
0.15	1.59
0.16	1.73
0.18	1.88
0.19	2.04
0.21	2.19
0.22	2.35
0.24	2.52
0.26	2.69
0.27	2.86
0.29	3.03
0.31	3.21
0.33	3.39
0.35	3.57
0.37	3.76
0.39	3.95
0.41	4.15
0.43	4.35
0.45	4.55
0.47	4.75
0.50	4.96
0.52	5.18
0.54	5.39
0.57	5.61
0.59	5.83
0.62	6.06
0.64	6.29
0.67	6.52
0.69	6.76
0.72	7.00
0.75	7.24
0.78	7.49
0.80	7.74
0.83	8.00
0.86	8.25
0.89	8.51
0.92	8.78
0.95	9.05
0.99	9.32
1.02	9.59
1.05	9.87
1.08	10.15
1.12	10.44
1.15	10.73
1.19	11.02
1.22	11.32
1.26	11.62
1.29	11.92
1.33	12.23
1.37	12.54
1.41	12.85
1.44	13.17
1.48	13.49
1.52	13.81
1.56	14.14
1.60	14.47
1.64	14.80
1.69	15.14
1.73	15.48
1.77	15.83
1.81	16.18
1.86	16.53
1.90	16.88
1.95	17.24
1.99	17.60
2.04	17.97
2.09	18.34
2.13	18.71
2.18	19.09
2.23	19.47
2.28	19.85
2.33	20.24
2.38	20.63
2.43	21.02
2.48	21.42
2.53	21.82
2.59	22.23
2.64	22.63
2.69	23.04
2.75	23.46
2.80	23.88
2.86	24.30
2.91	24.72
2.97	25.15
3.03	25.59
3.08	26.02
3.14	26.46
3.20	26.90
3.26	27.35
3.32	27.80
3.38	28.25
3.44	28.71
3.51	29.17
3.57	29.63
3.63	30.10
3.70	30.57
3.76	31.05
3.83	31.53
3.89	32.01
3.96	32.49
4.02	32.98
4.09	33.47
4.16	33.97
4.23	34.47
4.30	34.97
4.37	35.48
4.44	35.98
4.51	36.50
4.58	37.01
4.65	37.53
4.73	38.06
4.80	38.59
4.88	39.12
4.95	39.65
5.03	40.19
5.10	40.73
5.18	41.27
5.26	41.82
5.33	42.37
5.41	42.93
5.49	43.49
5.57	44.05
5.65	44.62
5.74	45.19
5.82	45.76
5.90	46.33
5.98	46.91
6.07	47.50
6.15	48.08
6.24	48.68
6.32	49.27
6.41	49.87
6.50	50.47
6.58	51.07
6.67	51.68
6.76	52.29
6.85	52.91
6.94	53.53
7.03	54.15
7.13	54.77
7.22	55.40
7.31	56.04
7.40	56.67
7.50	57.31
7.59	57.96
7.69	58.60
7.79	59.25
7.88	59.91
7.98	60.57
8.08	61.23
8.18	61.89
8.28	62.56
8.38	63.23
8.48	63.91
8.58	64.58
8.68	65.27
8.79	65.95
8.89	66.64
9.00	67.34
9.10	68.03
9.21	68.73
9.31	69.43
9.42	70.14
9.53	70.85
9.64	71.57
9.75	72.28
9.86	73.01
9.97	73.73
10.08	74.46
10.19	75.19
10.30	75.93
10.42	76.66
10.53	77.41
10.65	78.15
10.76	78.90
10.88	79.66
11.00	80.41
11.11	81.17
11.23	81.94
11.35	82.70
11.47	83.47
11.59	84.25
11.71	85.03
11.84	85.81
11.96	86.59
12.08	87.38
12.21	88.17
12.33	88.97
12.46	89.77
12.58	90.57
12.71	91.38
12.84	92.19
12.96	93.00
13.09	93.82
13.22	94.64
13.35	95.46
13.48	96.29
13.62	97.12
13.75	97.96
13.88	98.79
14.02	99.64
14.15	100.48
14.29	101.33
14.42	102.18
14.56	103.04
14.70	103.90
14.84	104.76
14.98	105.63
15.12	106.50
15.26	107.37
15.40	108.25
15.54	109.13
15.68	110.02
15.83	110.90
15.97	111.80
16.11	112.69
16.26	113.59
16.41	114.49
16.55	115.40
16.70	116.31
16.85	117.22
17.00	118.14
17.15	119.06
17.30	119.98
17.45	120.91
17.61	121.84
17.76	122.77
17.91	123.71
18.07	124.65
18.22	125.60
18.38	126.55
18.54	127.50
18.69	128.45
18.85	129.41
19.01	130.38
19.17	131.34
19.33	132.31
19.49	133.29
19.66	134.26
19.82	135.24
19.98	136.23
20.15	137.22
20.31	138.21
20.48	139.20
20.64	140.20
20.81	141.20
20.98	142.21
21.15	143.22
21.32	144.23
21.49	145.25
21.66	146.27
21.83	147.29
22.00	148.32
22.18	149.35
22.35	150.39
22.53	151.42
22.70	152.46
22.88	153.51
23.06	154.56
23.24	155.61
23.41	156.67
23.59	157.73
23.78	158.79
23.96	159.86
24.14	160.93
24.32	162.00
24.50	163.08
24.69	164.16
24.87	165.24
25.06	166.33
25.25	167.42
25.43	168.52
25.62	169.62
25.81	170.72
26.00	171.82
26.19	172.93
26.38	174.05
26.58	175.16
26.77	176.28
26.96	177.41
27.16	178.54
27.35	179.67
27.55	180.80
27.75	181.94
27.94	183.08
28.14	184.23
28.34	185.38
28.54	186.53
28.74	187.68
28.94	188.84
29.15	190.01
29.35	191.17
29.55	192.34
29.76	193.52
29.96	194.70
30.17	195.88
30.38	197.06
30.59	198.25
30.80	199.44
31.00	200.64
31.22	201.84
31.43	203.04
31.64	204.25
31.85	205.46
32.07	206.67
32.28	207.89
32.50	209.11
32.71	210.33
32.93	211.56
33.15	212.79
33.36	214.03
33.58	215.27
33.80	216.51
34.02	217.76
34.25	219.01
34.47	220.26
34.69	221.52
34.92	222.78
35.14	224.04
35.37	225.31
35.59	226.58
35.82	227.85
36.05	229.13
36.28	230.41
36.51	231.70
36.74	232.99
36.97	234.28
37.20	235.58
37.44	236.88
37.67	238.18
37.91	239.49
38.14	240.80
38.38	242.11
38.62	243.43
38.85	244.75
39.09	246.08
39.33	247.41
39.57	248.74
39.82	250.08
40.06	251.42
40.30	252.76
40.54	254.11
40.79	255.46
41.03	256.81
41.28	258.17
41.53	259.53
41.78	260.89
42.03	262.26
