N	t(c)	m(kg)	P(H)	V(m/s)	M	Cxa	alpha(grad)	theta_c(grad)	Cya_alpha	omega_z(1/s)	theta(grad)	y(m)	x(m)	g(m/s2)	x_dotc(m/s)	y_dotc(m/s)	V_dot(m/s2)
1	0.000	1255.00	56000.0	10.000	0.0294	0.3000	0.00	85.00	0.2500	0.0000	85.00	0.00	0.00	9.8066	0.872	9.962	34.849
2	0.100	1253.00	56000.0	13.489	0.0396	0.3000	0.00	84.56	0.2500	0.0000	85.00	1.17	0.11	9.8066	1.280	13.428	34.924
3	0.200	1251.00	56000.0	16.985	0.0499	0.3000	0.00	84.19	0.2500	0.0000	85.00	2.69	0.26	9.8066	1.719	16.898	34.998
4	0.300	1249.00	56000.0	20.488	0.0602	0.3000	0.00	83.88	0.2500	0.0000	85.00	4.55	0.45	9.8066	2.186	20.371	35.071
5	0.400	1247.00	56000.0	23.999	0.0705	0.3000	0.00	83.60	0.2500	0.0000	85.00	6.76	0.70	9.8066	2.676	23.849	35.143
6	0.500	1245.00	56000.0	27.517	0.0809	0.3000	0.00	83.35	0.2500	0.0000	85.00	9.32	0.99	9.8066	3.187	27.332	35.213
7	0.600	1243.00	56000.0	31.042	0.0912	0.3000	0.00	83.12	0.2500	0.0000	85.00	12.23	1.34	9.8066	3.717	30.818	35.283
8	0.700	1241.00	56000.0	34.573	0.1016	0.3000	0.00	82.91	0.2500	0.0000	85.00	15.48	1.74	9.8066	4.265	34.309	35.352
9	0.800	1239.00	56000.0	38.112	0.1120	0.3000	0.00	82.72	0.2500	0.0000	85.00	19.09	2.19	9.8066	4.829	37.805	35.421
10	0.900	1237.00	56000.0	41.658	0.1224	0.3000	0.00	82.54	0.2500	0.0000	85.00	23.04	2.70	9.8066	5.409	41.305	35.488
11	1.000	1235.00	56000.0	45.210	0.1329	0.3000	0.00	82.37	0.2500	0.0000	85.00	27.35	3.27	9.8066	6.003	44.809	35.554
12	1.100	1233.00	56000.0	48.768	0.1434	0.3000	0.00	82.21	0.2500	0.0000	85.00	32.00	3.90	9.8066	6.612	48.318	35.620
13	1.200	1231.00	56000.0	52.334	0.1539	0.3000	0.00	82.06	0.2500	0.0000	85.00	37.01	4.60	9.8065	7.233	51.831	35.685
14	1.300	1229.00	56000.0	55.905	0.1644	0.3000	0.00	81.91	0.2500	0.0000	85.00	42.37	5.35	9.8065	7.866	55.349	35.749
15	1.400	1227.00	56000.0	59.483	0.1749	0.3000	0.00	81.77	0.2500	0.0000	85.00	48.08	6.17	9.8065	8.512	58.871	35.812
16	1.500	1225.00	56000.0	63.068	0.1854	0.3000	0.00	81.64	0.2500	0.0000	85.00	54.14	7.06	9.8065	9.169	62.398	35.875
17	1.600	1223.00	56000.0	66.658	0.1960	0.3000	0.00	81.51	0.2500	0.0000	85.00	60.56	8.01	9.8065	9.837	65.928	35.937
18	1.700	1221.00	56000.0	70.255	0.2066	0.3000	0.00	81.39	0.2500	0.0000	85.00	67.33	9.02	9.8064	10.516	69.464	35.998
19	1.800	1219.00	56000.0	73.858	0.2172	0.3000	0.00	81.27	0.2500	0.0000	85.00	74.45	10.11	9.8064	11.205	73.003	36.058
20	1.900	1217.00	56000.0	77.467	0.2279	0.3000	0.00	81.16	0.2500	0.0000	85.00	81.93	11.26	9.8064	11.904	76.546	36.117
21	2.000	1215.00	56000.0	81.081	0.2385	0.3000	0.00	81.05	0.2500	0.0000	85.00	89.76	12.49	9.8064	12.613	80.094	36.176
22	2.100	1213.00	56000.0	84.702	0.2492	0.3000	0.00	80.94	0.2500	0.0000	85.00	97.95	13.79	9.8063	13.331	83.646	36.234
23	2.200	1211.00	56000.0	88.328	0.2599	0.3000	0.00	80.84	0.2500	0.0000	85.00	106.49	15.16	9.8063	14.058	87.202	36.291
24	2.300	1209.00	56000.0	91.960	0.2706	0.3000	0.00	80.74	0.2500	0.0000	85.00	115.39	16.60	9.8063	14.794	90.762	36.347
25	2.400	1207.00	56000.0	95.597	0.2813	0.3000	0.00	80.65	0.2500	0.0000	85.00	124.64	18.12	9.8063	15.539	94.326	36.403
26	2.500	1205.00	56000.0	99.240	0.2921	0.3000	0.00	80.55	0.2500	0.0000	85.00	134.25	19.71	9.8062	16.293	97.894	36.457
27	2.600	1203.00	56000.0	102.889	0.3028	0.3000	0.00	80.46	0.2500	0.0000	85.00	144.22	21.38	9.8062	17.054	101.466	36.511
28	2.700	1201.00	56000.0	106.543	0.3136	0.3000	0.00	80.37	0.2500	0.0000	85.00	154.55	23.12	9.8062	17.823	105.041	36.565
29	2.800	1199.00	56000.0	110.202	0.3244	0.3000	0.00	80.28	0.2500	0.0000	85.00	165.23	24.94	9.8061	18.601	108.621	36.617
30	2.900	1197.00	56000.0	113.866	0.3353	0.3000	0.00	80.20	0.2500	0.0000	85.00	176.27	26.84	9.8061	19.386	112.204	36.669
31	3.000	1195.00	56000.0	117.535	0.3461	0.3000	0.00	80.11	0.2500	0.0000	85.00	187.67	28.82	9.8061	20.178	115.790	36.720
32	3.100	1193.00	56000.0	121.210	0.3570	0.3000	0.00	80.03	0.2500	0.0000	85.00	199.43	30.88	9.8060	20.978	119.381	36.770
33	3.200	1191.00	56000.0	124.889	0.3679	0.3000	0.00	79.95	0.2500	0.0000	85.00	211.55	33.02	9.8060	21.785	122.974	36.819
34	3.300	1189.00	56000.0	128.574	0.3788	0.3000	0.00	79.88	0.2500	0.0000	85.00	224.02	35.23	9.8060	22.600	126.572	36.868
35	3.400	1187.00	56000.0	132.263	0.3897	0.3000	0.00	79.80	0.2500	0.0000	85.00	236.86	37.54	9.8059	23.421	130.173	36.915
36	3.500	1185.00	56000.0	135.957	0.4007	0.3000	0.00	79.73	0.2500	0.0000	85.00	250.06	39.92	9.8059	24.249	133.777	36.962
37	3.600	1183.00	56000.0	139.655	0.4116	0.3000	0.00	79.65	0.2500	0.0000	85.00	263.62	42.39	9.8058	25.084	137.384	37.009
38	3.700	1181.00	56000.0	143.358	0.4226	0.3000	0.00	79.58	0.2500	0.0000	85.00	277.54	44.94	9.8058	25.925	140.995	37.054
39	3.800	1179.00	56000.0	147.066	0.4336	0.3000	0.00	79.51	0.2500	0.0000	85.00	291.82	47.57	9.8057	26.773	144.609	37.099
40	3.900	1177.00	56000.0	150.778	0.4446	0.3000	0.00	79.44	0.2500	0.0000	85.00	306.46	50.29	9.8057	27.627	148.225	37.143
41	4.000	1175.00	56000.0	154.495	0.4557	0.3000	0.00	79.37	0.2500	0.0000	85.00	321.46	53.10	9.8057	28.487	151.845	37.186
42	4.100	1173.00	56000.0	158.215	0.4667	0.3000	0.00	79.31	0.2500	0.0000	85.00	336.83	55.99	9.8056	29.353	155.468	37.229
43	4.200	1171.00	56000.0	161.940	0.4778	0.3000	0.00	79.24	0.2500	0.0000	85.00	352.55	58.97	9.8056	30.226	159.094	37.270
44	4.300	1169.00	56000.0	165.669	0.4889	0.3000	0.00	79.18	0.2500	0.0000	85.00	368.64	62.04	9.8055	31.104	162.723	37.311
45	4.400	1167.00	56000.0	169.402	0.5000	0.3000	0.00	79.12	0.2500	0.0000	85.00	385.10	65.19	9.8055	31.989	166.355	37.352
46	4.500	1165.00	56000.0	173.140	0.5111	0.3000	0.00	79.05	0.2500	0.0000	85.00	401.92	68.43	9.8054	32.879	169.989	37.391
47	4.600	1163.00	56000.0	176.881	0.5223	0.3000	0.00	78.99	0.2500	0.0000	85.00	419.10	71.77	9.8054	33.774	173.626	37.430
48	4.700	1161.00	56000.0	180.625	0.5334	0.3000	0.00	78.93	0.2500	0.0000	85.00	436.64	75.19	9.8053	34.676	177.266	37.468
49	4.800	1159.00	56000.0	184.374	0.5446	0.3000	0.00	78.87	0.2500	0.0000	85.00	454.55	78.70	9.8052	35.582	180.908	37.505
50	4.900	1157.00	56000.0	188.125	0.5558	0.3058	0.00	78.81	0.2500	0.0000	85.00	472.82	82.31	9.8052	36.494	184.552	37.518
51	5.000	1155.00	56000.0	191.876	0.5670	0.3170	0.00	78.76	0.2500	0.0000	85.00	491.46	86.00	9.8051	37.411	188.194	37.504
52	5.100	1153.00	56000.0	195.626	0.5782	0.3282	0.00	78.70	0.2500	0.0000	85.00	510.46	89.79	9.8051	38.332	191.834	37.487
53	5.200	1151.00	56000.0	199.373	0.5894	0.3394	0.00	78.64	0.2500	0.0000	85.00	529.83	93.67	9.8050	39.257	195.470	37.465
54	5.300	1149.00	56000.0	203.119	0.6006	0.3506	0.00	78.59	0.2500	0.0000	85.00	549.56	97.64	9.8050	40.186	199.104	37.438
55	5.400	1147.00	56000.0	206.861	0.6118	0.3618	0.00	78.53	0.2500	0.0000	85.00	569.65	101.70	9.8049	41.118	202.733	37.406
56	5.500	1145.00	56000.0	210.600	0.6230	0.3730	0.00	78.48	0.2500	0.0000	85.00	590.10	105.86	9.8048	42.055	206.358	37.370
57	5.600	1143.00	56000.0	214.334	0.6342	0.3842	0.00	78.43	0.2500	0.0000	85.00	610.92	110.12	9.8048	42.994	209.978	37.329
58	5.700	1141.00	56000.0	218.065	0.6454	0.3954	0.00	78.38	0.2500	0.0000	85.00	632.10	114.46	9.8047	43.937	213.593	37.283
59	5.800	1139.00	56000.0	221.791	0.6566	0.4066	0.00	78.32	0.2500	0.0000	85.00	653.64	118.90	9.8046	44.884	217.202	37.232
60	5.900	1137.00	56000.0	225.511	0.6678	0.4178	0.00	78.27	0.2500	0.0000	85.00	675.54	123.44	9.8046	45.833	220.804	37.176
61	6.000	1135.00	56000.0	229.226	0.6790	0.4290	0.00	78.22	0.2500	0.0000	85.00	697.80	128.07	9.8045	46.785	224.400	37.115
62	6.100	1133.00	56000.0	232.934	0.6901	0.4401	0.00	78.17	0.2500	0.0000	85.00	720.42	132.80	9.8044	47.740	227.989	37.049
63	6.200	1131.00	56000.0	236.635	0.7013	0.4513	0.00	78.12	0.2500	0.0000	85.00	743.40	137.62	9.8044	48.697	231.570	36.977
64	6.300	1129.00	56000.0	240.329	0.7124	0.4624	0.00	78.08	0.2500	0.0000	85.00	766.73	142.54	9.8043	49.656	235.143	36.901
65	6.400	1127.00	56000.0	244.015	0.7235	0.4735	0.00	78.03	0.2500	0.0000	85.00	790.42	147.55	9.8042	50.618	238.707	36.819
66	6.500	1125.00	56000.0	247.693	0.7347	0.4847	0.00	77.98	0.2500	0.0000	85.00	814.47	152.66	9.8041	51.582	242.262	36.733
67	6.600	1123.00	56000.0	251.361	0.7457	0.4957	0.00	77.93	0.2500	0.0000	85.00	838.88	157.87	9.8041	52.547	245.807	36.641
68	6.700	1121.00	56000.0	255.020	0.7568	0.5068	0.00	77.89	0.2500	0.0000	85.00	863.63	163.17	9.8040	53.515	249.342	36.544
69	6.800	1119.00	56000.0	258.670	0.7679	0.5179	0.00	77.84	0.2500	0.0000	85.00	888.74	168.57	9.8039	54.483	252.867	36.441
70	6.900	1117.00	56000.0	262.308	0.7789	0.5289	0.00	77.80	0.2500	0.0000	85.00	914.21	174.07	9.8038	55.453	256.380	36.334
71	7.000	1115.00	56000.0	265.936	0.7899	0.5399	0.00	77.75	0.2500	0.0000	85.00	940.02	179.66	9.8038	56.425	259.881	36.221
72	7.100	1113.00	56000.0	269.552	0.8009	0.5513	0.00	77.71	0.2496	0.0000	85.00	966.18	185.35	9.8037	57.397	263.370	36.099
73	7.200	1111.00	56000.0	273.153	0.8118	0.5678	0.00	77.66	0.2441	0.0000	85.00	992.69	191.14	9.8036	58.369	266.844	35.929
74	7.300	1109.00	56000.0	276.737	0.8227	0.5841	0.00	77.62	0.2386	0.0000	85.00	1019.55	197.03	9.8035	59.341	270.300	35.751
75	7.400	1107.00	56000.0	280.303	0.8336	0.6004	0.00	77.57	0.2332	0.0000	85.00	1046.75	203.01	9.8034	60.313	273.738	35.567
76	7.500	1105.00	56000.0	283.850	0.8444	0.6166	0.00	77.53	0.2278	0.0000	85.00	1074.30	209.09	9.8033	61.284	277.156	35.376
77	7.600	1103.00	56000.0	287.378	0.8552	0.6328	0.00	77.49	0.2224	0.0000	85.00	1102.19	215.27	9.8033	62.254	280.554	35.178
78	7.700	1101.00	56000.0	290.885	0.8659	0.6489	0.00	77.45	0.2170	0.0000	85.00	1130.41	221.54	9.8032	63.223	283.932	34.973
79	7.800	1099.00	56000.0	294.372	0.8766	0.6649	0.00	77.41	0.2117	0.0000	85.00	1158.97	227.91	9.8031	64.190	287.288	34.762
80	7.900	1097.00	56000.0	297.837	0.8872	0.6808	0.00	77.36	0.2064	0.0000	85.00	1187.87	234.38	9.8030	65.156	290.623	34.544
81	8.000	1095.00	56000.0	301.280	0.8978	0.6966	0.00	77.32	0.2011	0.0000	85.00	1217.10	240.94	9.8029	66.120	293.935	34.320
82	8.100	1093.00	56000.0	304.701	0.9083	0.7116	0.00	77.28	0.2083	0.0000	85.00	1246.66	247.60	9.8028	67.082	297.225	34.098
83	8.200	1091.00	56000.0	308.100	0.9187	0.7262	0.00	77.24	0.2187	0.0000	85.00	1276.54	254.36	9.8027	68.042	300.493	33.874
84	8.300	1089.00	56000.0	311.476	0.9291	0.7407	0.00	77.20	0.2291	0.0000	85.00	1306.75	261.21	9.8026	69.000	303.737	33.643
85	8.400	1087.00	56000.0	314.828	0.9394	0.7552	0.00	77.16	0.2394	0.0000	85.00	1337.29	268.16	9.8025	69.956	306.957	33.408
86	8.500	1085.00	56000.0	318.157	0.9497	0.7696	0.00	77.12	0.2497	0.0000	85.00	1368.15	275.20	9.8024	70.910	310.154	33.167
87	8.600	1083.00	56000.0	321.461	0.9599	0.7839	0.00	77.08	0.2599	0.0000	85.00	1399.32	282.34	9.8023	71.860	313.326	32.921
88	8.700	1081.00	56000.0	324.741	0.9701	0.7981	0.00	77.04	0.2701	0.0000	85.00	1430.81	289.58	9.8022	72.808	316.473	32.670
