t(c)	V(m/s)
0.000	10.000
0.100	13.489
0.200	16.985
0.300	20.488
0.400	23.999
0.500	27.517
0.600	31.042
0.700	34.573
0.800	38.112
0.900	41.658
1.000	45.210
1.100	48.768
1.200	52.334
1.300	55.905
1.400	59.483
1.500	63.068
1.600	66.658
1.700	70.255
1.800	73.858
1.900	77.467
2.000	81.081
2.100	84.702
2.200	88.328
2.300	91.960
2.400	95.597
2.500	99.240
2.600	102.889
2.700	106.543
2.800	110.202
2.900	113.866
3.000	117.535
3.100	121.210
3.200	124.889
3.300	128.574
3.400	132.263
3.500	135.957
3.600	139.655
3.700	143.358
3.800	147.066
3.900	150.778
4.000	154.495
4.100	158.215
4.200	161.940
4.300	165.669
4.400	169.402
4.500	173.140
4.600	176.881
4.700	180.625
4.800	184.374
4.900	188.125
5.000	191.876
5.100	195.626
5.200	199.373
5.300	203.119
5.400	206.861
5.500	210.600
5.600	214.334
5.700	218.065
5.800	221.791
5.900	225.511
6.000	229.226
6.100	232.934
6.200	236.635
6.300	240.329
6.400	244.015
6.500	247.693
6.600	251.361
6.700	255.020
6.800	258.670
6.900	262.308
7.000	265.936
7.100	269.552
7.200	273.153
7.300	276.737
7.400	280.303
7.500	283.850
7.600	287.378
7.700	290.885
7.800	294.372
7.900	297.837
8.000	301.280
8.100	304.701
8.200	308.100
8.300	311.476
8.400	314.828
8.500	318.157
8.600	321.461
8.700	324.741
8.800	327.995
8.900	331.223
9.000	334.426
9.100	337.608
9.200	340.778
9.300	343.933
9.400	347.076
9.500	350.204
9.600	353.319
9.700	356.421
9.800	359.510
9.900	362.586
10.000	365.649
10.100	368.703
10.200	371.752
10.300	374.799
10.400	377.842
10.500	380.882
10.600	383.919
10.700	386.954
10.800	389.987
10.900	393.017
11.000	396.045
11.100	399.072
11.200	402.095
11.300	405.115
11.400	408.132
11.500	411.146
11.600	414.158
11.700	417.167
11.800	420.174
11.900	423.178
12.000	426.181
12.100	429.181
12.200	432.178
12.300	435.169
12.400	438.155
12.500	441.136
12.600	444.112
12.700	447.083
12.800	450.049
12.900	453.011
13.000	455.968
13.100	458.920
13.200	461.870
13.300	464.818
13.400	467.765
13.500	470.711
13.600	473.657
13.700	476.602
13.800	479.547
13.900	482.491
14.000	485.436
14.100	488.381
14.200	491.326
14.300	494.273
14.400	497.219
14.500	500.167
14.600	503.117
14.700	506.067
14.800	509.019
14.900	511.974
15.000	514.930
15.100	517.888
15.200	520.849
15.300	523.813
15.400	526.779
15.500	529.748
15.600	532.721
15.700	535.698
15.800	538.678
15.900	541.662
16.000	544.650
16.100	547.643
16.200	550.640
16.300	553.642
16.400	556.649
16.500	559.662
16.600	562.680
16.700	565.704
16.800	568.734
16.900	571.770
17.000	574.812
17.100	577.861
17.200	580.918
17.300	583.981
17.400	587.052
17.500	590.130
17.600	593.217
17.700	596.311
17.800	599.414
17.900	602.526
18.000	605.647
18.100	608.776
18.200	611.916
18.300	615.065
18.400	618.224
18.500	621.393
18.600	624.572
18.700	627.763
18.800	630.964
18.900	634.176
19.000	637.397
19.100	640.627
19.200	643.867
19.300	647.116
19.400	650.375
19.500	653.644
19.600	656.923
19.700	660.213
19.800	663.514
19.900	666.826
20.000	670.150
20.100	673.485
20.200	676.832
20.300	680.191
20.400	683.562
20.500	686.947
20.600	690.344
20.700	693.754
20.800	697.178
20.900	700.616
21.000	704.068
21.100	707.534
21.200	711.015
21.300	714.511
21.400	718.022
21.500	721.548
21.600	725.090
21.700	728.649
21.800	732.223
21.900	735.815
22.000	739.423
22.100	743.049
22.200	746.692
22.300	750.353
22.400	754.032
22.500	757.730
22.600	761.446
22.700	765.182
22.800	768.937
22.900	772.712
23.000	776.507
23.100	780.323
23.200	784.159
23.300	788.016
23.400	791.892
23.500	795.782
23.600	799.688
23.700	803.610
23.800	807.547
23.900	811.500
24.000	815.470
24.100	819.456
24.200	823.459
24.300	827.480
24.400	831.517
24.500	835.573
24.600	839.647
24.700	843.739
24.800	847.849
24.900	851.979
25.000	856.128
25.100	860.297
25.200	864.485
25.300	868.694
25.400	872.923
25.500	877.173
25.600	881.444
25.700	885.741
25.800	890.067
25.900	894.420
26.000	898.800
26.100	903.206
26.200	907.641
26.300	912.103
26.400	916.592
26.500	921.110
26.600	925.656
26.700	930.231
26.800	934.834
26.900	939.467
27.000	944.129
27.100	948.820
27.200	953.541
27.300	958.292
27.400	963.073
27.500	967.884
27.600	972.727
27.700	977.600
27.800	982.504
27.900	987.440
28.000	992.407
28.100	997.407
28.200	1002.438
28.300	1007.501
28.400	1012.593
28.500	1017.715
28.600	1022.867
28.700	1028.050
28.800	1033.262
28.900	1038.506
29.000	1043.781
29.100	1049.086
29.200	1054.424
29.300	1059.793
29.400	1065.194
29.500	1070.628
29.600	1076.094
29.700	1081.593
29.800	1087.126
29.900	1092.691
30.000	1098.290
