x(m)	V(m/s)
0.00	10.000
0.11	13.489
0.26	16.985
0.45	20.488
0.70	23.999
0.99	27.517
1.34	31.042
1.74	34.573
2.19	38.112
2.70	41.658
3.27	45.210
3.90	48.768
4.60	52.334
5.35	55.905
6.17	59.483
7.06	63.068
8.01	66.658
9.02	70.255
10.11	73.858
11.26	77.467
12.49	81.081
13.79	84.702
15.16	88.328
16.60	91.960
18.12	95.597
19.71	99.240
21.38	102.889
23.12	106.543
24.94	110.202
26.84	113.866
28.82	117.535
30.88	121.210
33.02	124.889
35.23	128.574
37.54	132.263
39.92	135.957
42.39	139.655
44.94	143.358
47.57	147.066
50.29	150.778
53.10	154.495
55.99	158.215
58.97	161.940
62.04	165.669
65.19	169.402
68.43	173.140
71.77	176.881
75.19	180.625
78.70	184.374
82.31	188.125
86.00	191.876
89.79	195.626
93.67	199.373
97.64	203.119
101.70	206.861
105.86	210.600
110.12	214.334
114.46	218.065
118.90	221.791
123.44	225.511
128.07	229.226
132.80	232.934
137.62	236.635
142.54	240.329
147.55	244.015
152.66	247.693
157.87	251.361
163.17	255.020
168.57	258.670
174.07	262.308
179.66	265.936
185.35	269.552
191.14	273.153
197.03	276.737
203.01	280.303
209.09	283.850
215.27	287.378
221.54	290.885
227.91	294.372
234.38	297.837
240.94	301.280
247.60	304.701
254.36	308.100
261.21	311.476
268.16	314.828
275.20	318.157
282.34	321.461
289.58	324.741
296.90	327.995
304.33	331.223
311.84	334.426
319.45	337.608
327.16	340.778
334.96	343.933
342.85	347.076
350.83	350.204
358.91	353.319
367.08	356.421
375.35	359.510
383.71	362.586
392.16	365.649
400.70	368.703
409.34	371.752
418.07	374.799
426.90	377.842
435.82	380.882
444.83	383.919
453.94	386.954
463.14	389.987
472.43	393.017
481.82	396.045
491.31	399.072
500.89	402.095
510.56	405.115
520.34	408.132
530.20	411.146
540.16	414.158
550.22	417.167
560.37	420.174
570.62	423.178
580.97	426.181
591.41	429.181
601.95	432.178
612.59	435.169
623.32	438.155
634.15	441.136
645.07	444.112
656.09	447.083
667.21	450.049
678.43	453.011
689.74	455.968
701.15	458.920
712.66	461.870
724.27	464.818
735.97	467.765
747.77	470.711
759.67	473.657
771.67	476.602
783.77	479.547
795.96	482.491
808.25	485.436
820.65	488.381
833.14	491.326
845.73	494.273
858.42	497.219
871.21	500.167
884.10	503.117
897.09	506.067
910.18	509.019
923.37	511.974
936.67	514.930
950.06	517.888
963.55	520.849
977.15	523.813
990.85	526.779
1004.65	529.748
1018.55	532.721
1032.56	535.698
1046.67	538.678
1060.88	541.662
1075.19	544.650
1089.61	547.643
1104.14	550.640
1118.76	553.642
1133.50	556.649
1148.33	559.662
1163.28	562.680
1178.33	565.704
1193.48	568.734
1208.74	571.770
1224.11	574.812
1239.58	577.861
1255.16	580.918
1270.85	583.981
1286.65	587.052
1302.56	590.130
1318.57	593.217
1334.70	596.311
1350.93	599.414
1367.27	602.526
1383.73	605.647
1400.29	608.776
1416.97	611.916
1433.76	615.065
1450.66	618.224
1467.67	621.393
1484.80	624.572
1502.04	627.763
1519.39	630.964
1536.86	634.176
1554.44	637.397
1572.14	640.627
1589.95	643.867
1607.88	647.116
1625.93	650.375
1644.09	653.644
1662.37	656.923
1680.77	660.213
1699.29	663.514
1717.93	666.826
1736.68	670.150
1755.56	673.485
1774.55	676.832
1793.67	680.191
1812.91	683.562
1832.27	686.947
1851.75	690.344
1871.36	693.754
1891.08	697.178
1910.94	700.616
1930.91	704.068
1951.02	707.534
1971.25	711.015
1991.60	714.511
2012.08	718.022
2032.69	721.548
2053.43	725.090
2074.29	728.649
2095.29	732.223
2116.41	735.815
2137.67	739.423
2159.06	743.049
2180.57	746.692
2202.23	750.353
2224.01	754.032
2245.93	757.730
2267.98	761.446
2290.17	765.182
2312.50	768.937
2334.96	772.712
2357.56	776.507
2380.30	780.323
2403.18	784.159
2426.19	788.016
2449.35	791.892
2472.65	795.782
2496.09	799.688
2519.67	803.610
2543.40	807.547
2567.27	811.500
2591.29	815.470
2615.45	819.456
2639.75	823.459
2664.21	827.480
2688.81	831.517
2713.55	835.573
2738.45	839.647
2763.49	843.739
2788.69	847.849
2814.03	851.979
2839.53	856.128
2865.18	860.297
2890.98	864.485
2916.94	868.694
2943.05	872.923
2969.31	877.173
2995.73	881.444
3022.31	885.741
3049.05	890.067
3075.94	894.420
3102.99	898.800
3130.21	903.206
3157.58	907.641
3185.12	912.103
3212.83	916.592
3240.69	921.110
3268.73	925.656
3296.93	930.231
3325.30	934.834
3353.83	939.467
3382.54	944.129
3411.42	948.820
3440.47	953.541
3469.69	958.292
3499.09	963.073
3528.66	967.884
3558.41	972.727
3588.34	977.600
3618.44	982.504
3648.73	987.440
3679.19	992.407
3709.84	997.407
3740.67	1002.438
3771.69	1007.501
3802.89	1012.593
3834.27	1017.715
3865.85	1022.867
3897.61	1028.050
3929.57	1033.262
3961.71	1038.506
3994.05	1043.781
4026.58	1049.086
4059.30	1054.424
4092.22	1059.793
4125.34	1065.194
4158.65	1070.628
4192.16	1076.094
4225.88	1081.593
4259.79	1087.126
4293.91	1092.691
4328.23	1098.290
