t(c)	theta_c(grad)
0.000	85.000
0.100	84.556
0.200	84.190
0.300	83.876
0.400	83.599
0.500	83.350
0.600	83.123
0.700	82.914
0.800	82.720
0.900	82.539
1.000	82.369
1.100	82.208
1.200	82.056
1.300	81.911
1.400	81.773
1.500	81.640
1.600	81.513
1.700	81.391
1.800	81.274
1.900	81.160
2.000	81.051
2.100	80.945
2.200	80.842
2.300	80.742
2.400	80.645
2.500	80.551
2.600	80.459
2.700	80.370
2.800	80.283
2.900	80.198
3.000	80.115
3.100	80.033
3.200	79.954
3.300	79.876
3.400	79.800
3.500	79.726
3.600	79.653
3.700	79.581
3.800	79.511
3.900	79.442
4.000	79.375
4.100	79.308
4.200	79.243
4.300	79.179
4.400	79.115
4.500	79.053
4.600	78.992
4.700	78.932
4.800	78.873
4.900	78.814
5.000	78.757
5.100	78.700
5.200	78.644
5.300	78.589
5.400	78.535
5.500	78.481
5.600	78.428
5.700	78.376
5.800	78.324
5.900	78.273
6.000	78.223
6.100	78.173
6.200	78.124
6.300	78.076
6.400	78.028
6.500	77.980
6.600	77.933
6.700	77.887
6.800	77.841
6.900	77.795
7.000	77.750
7.100	77.706
7.200	77.661
7.300	77.618
7.400	77.574
7.500	77.532
7.600	77.489
7.700	77.447
7.800	77.405
7.900	77.364
8.000	77.323
8.100	77.282
8.200	77.241
8.300	77.201
8.400	77.161
8.500	77.122
8.600	77.083
8.700	77.044
8.800	77.005
8.900	76.967
9.000	76.929
9.100	76.891
9.200	76.853
9.300	76.816
9.400	76.779
9.500	76.742
9.600	76.705
9.700	76.669
9.800	76.633
9.900	76.597
10.000	76.561
10.100	76.525
10.200	76.490
10.300	76.455
10.400	76.420
10.500	76.385
10.600	76.350
10.700	76.316
10.800	76.282
10.900	76.248
11.000	76.214
11.100	76.180
11.200	76.146
11.300	76.113
11.400	76.080
11.500	76.047
11.600	76.014
11.700	75.981
11.800	75.949
11.900	75.916
12.000	75.884
12.100	75.852
12.200	75.820
12.300	75.789
12.400	75.757
12.500	75.726
12.600	75.694
12.700	75.663
12.800	75.632
12.900	75.601
13.000	75.570
13.100	75.540
13.200	75.509
13.300	75.479
13.400	75.449
13.500	75.419
13.600	75.389
13.700	75.359
13.800	75.329
13.900	75.300
14.000	75.270
14.100	75.241
14.200	75.212
14.300	75.182
14.400	75.154
14.500	75.125
14.600	75.096
14.700	75.067
14.800	75.039
14.900	75.010
15.000	74.982
15.100	74.954
15.200	74.926
15.300	74.898
15.400	74.870
15.500	74.842
15.600	74.815
15.700	74.787
15.800	74.760
15.900	74.732
16.000	74.705
16.100	74.678
16.200	74.651
16.300	74.624
16.400	74.597
16.500	74.570
16.600	74.544
16.700	74.517
16.800	74.491
16.900	74.465
17.000	74.438
17.100	74.412
17.200	74.386
17.300	74.360
17.400	74.334
17.500	74.309
17.600	74.283
17.700	74.257
17.800	74.232
17.900	74.206
18.000	74.181
18.100	74.156
18.200	74.131
18.300	74.106
18.400	74.081
18.500	74.056
18.600	74.031
18.700	74.007
18.800	73.982
18.900	73.958
19.000	73.933
19.100	73.909
19.200	73.885
19.300	73.861
19.400	73.837
19.500	73.813
19.600	73.789
19.700	73.765
19.800	73.741
19.900	73.718
20.000	73.694
20.100	73.671
20.200	73.647
20.300	73.624
20.400	73.601
20.500	73.578
20.600	73.555
20.700	73.532
20.800	73.509
20.900	73.486
21.000	73.463
21.100	73.441
21.200	73.418
21.300	73.396
21.400	73.373
21.500	73.351
21.600	73.329
21.700	73.307
21.800	73.285
21.900	73.263
22.000	73.241
22.100	73.219
22.200	73.197
22.300	73.176
22.400	73.154
22.500	73.133
22.600	73.111
22.700	73.090
22.800	73.068
22.900	73.047
23.000	73.026
23.100	73.005
23.200	72.984
23.300	72.963
23.400	72.943
23.500	72.922
23.600	72.901
23.700	72.881
23.800	72.860
23.900	72.840
24.000	72.819
24.100	72.799
24.200	72.779
24.300	72.759
24.400	72.739
24.500	72.719
24.600	72.699
24.700	72.679
24.800	72.660
24.900	72.640
25.000	72.620
25.100	72.601
25.200	72.581
25.300	72.562
25.400	72.543
25.500	72.524
25.600	72.504
25.700	72.485
25.800	72.466
25.900	72.447
26.000	72.429
26.100	72.410
26.200	72.391
26.300	72.372
26.400	72.354
26.500	72.335
26.600	72.317
26.700	72.299
26.800	72.280
26.900	72.262
27.000	72.244
27.100	72.226
27.200	72.208
27.300	72.190
27.400	72.172
27.500	72.155
27.600	72.137
27.700	72.119
27.800	72.102
27.900	72.084
28.000	72.067
28.100	72.050
28.200	72.032
28.300	72.015
28.400	71.998
28.500	71.981
28.600	71.964
28.700	71.947
28.800	71.930
28.900	71.914
29.000	71.897
29.100	71.880
29.200	71.864
29.300	71.847
29.400	71.831
29.500	71.815
29.600	71.798
29.700	71.782
29.800	71.766
29.900	71.750
30.000	71.734
