x(m)	theta_c(grad)
0.00	85.000
0.11	84.556
0.26	84.190
0.45	83.876
0.70	83.599
0.99	83.350
1.34	83.123
1.74	82.914
2.19	82.720
2.70	82.539
3.27	82.369
3.90	82.208
4.60	82.056
5.35	81.911
6.17	81.773
7.06	81.640
8.01	81.513
9.02	81.391
10.11	81.274
11.26	81.160
12.49	81.051
13.79	80.945
15.16	80.842
16.60	80.742
18.12	80.645
19.71	80.551
21.38	80.459
23.12	80.370
24.94	80.283
26.84	80.198
28.82	80.115
30.88	80.033
33.02	79.954
35.23	79.876
37.54	79.800
39.92	79.726
42.39	79.653
44.94	79.581
47.57	79.511
50.29	79.442
53.10	79.375
55.99	79.308
58.97	79.243
62.04	79.179
65.19	79.115
68.43	79.053
71.77	78.992
75.19	78.932
78.70	78.873
82.31	78.814
86.00	78.757
89.79	78.700
93.67	78.644
97.64	78.589
101.70	78.535
105.86	78.481
110.12	78.428
114.46	78.376
118.90	78.324
123.44	78.273
128.07	78.223
132.80	78.173
137.62	78.124
142.54	78.076
147.55	78.028
152.66	77.980
157.87	77.933
163.17	77.887
168.57	77.841
174.07	77.795
179.66	77.750
185.35	77.706
191.14	77.661
197.03	77.618
203.01	77.574
209.09	77.532
215.27	77.489
221.54	77.447
227.91	77.405
234.38	77.364
240.94	77.323
247.60	77.282
254.36	77.241
261.21	77.201
268.16	77.161
275.20	77.122
282.34	77.083
289.58	77.044
296.90	77.005
304.33	76.967
311.84	76.929
319.45	76.891
327.16	76.853
334.96	76.816
342.85	76.779
350.83	76.742
358.91	76.705
367.08	76.669
375.35	76.633
383.71	76.597
392.16	76.561
400.70	76.525
409.34	76.490
418.07	76.455
426.90	76.420
435.82	76.385
444.83	76.350
453.94	76.316
463.14	76.282
472.43	76.248
481.82	76.214
491.31	76.180
500.89	76.146
510.56	76.113
520.34	76.080
530.20	76.047
540.16	76.014
550.22	75.981
560.37	75.949
570.62	75.916
580.97	75.884
591.41	75.852
601.95	75.820
612.59	75.789
623.32	75.757
634.15	75.726
645.07	75.694
656.09	75.663
667.21	75.632
678.43	75.601
689.74	75.570
701.15	75.540
712.66	75.509
724.27	75.479
735.97	75.449
747.77	75.419
759.67	75.389
771.67	75.359
783.77	75.329
795.96	75.300
808.25	75.270
820.65	75.241
833.14	75.212
845.73	75.182
858.42	75.154
871.21	75.125
884.10	75.096
897.09	75.067
910.18	75.039
923.37	75.010
936.67	74.982
950.06	74.954
963.55	74.926
977.15	74.898
990.85	74.870
1004.65	74.842
1018.55	74.815
1032.56	74.787
1046.67	74.760
1060.88	74.732
1075.19	74.705
1089.61	74.678
1104.14	74.651
1118.76	74.624
1133.50	74.597
1148.33	74.570
1163.28	74.544
1178.33	74.517
1193.48	74.491
1208.74	74.465
1224.11	74.438
1239.58	74.412
1255.16	74.386
1270.85	74.360
1286.65	74.334
1302.56	74.309
1318.57	74.283
1334.70	74.257
1350.93	74.232
1367.27	74.206
1383.73	74.181
1400.29	74.156
1416.97	74.131
1433.76	74.106
1450.66	74.081
1467.67	74.056
1484.80	74.031
1502.04	74.007
1519.39	73.982
1536.86	73.958
1554.44	73.933
1572.14	73.909
1589.95	73.885
1607.88	73.861
1625.93	73.837
1644.09	73.813
1662.37	73.789
1680.77	73.765
1699.29	73.741
1717.93	73.718
1736.68	73.694
1755.56	73.671
1774.55	73.647
1793.67	73.624
1812.91	73.601
1832.27	73.578
1851.75	73.555
1871.36	73.532
1891.08	73.509
1910.94	73.486
1930.91	73.463
1951.02	73.441
1971.25	73.418
1991.60	73.396
2012.08	73.373
2032.69	73.351
2053.43	73.329
2074.29	73.307
2095.29	73.285
2116.41	73.263
2137.67	73.241
2159.06	73.219
2180.57	73.197
2202.23	73.176
2224.01	73.154
2245.93	73.133
2267.98	73.111
2290.17	73.090
2312.50	73.068
2334.96	73.047
2357.56	73.026
2380.30	73.005
2403.18	72.984
2426.19	72.963
2449.35	72.943
2472.65	72.922
2496.09	72.901
2519.67	72.881
2543.40	72.860
2567.27	72.840
2591.29	72.819
2615.45	72.799
2639.75	72.779
2664.21	72.759
2688.81	72.739
2713.55	72.719
2738.45	72.699
2763.49	72.679
2788.69	72.660
2814.03	72.640
2839.53	72.620
2865.18	72.601
2890.98	72.581
2916.94	72.562
2943.05	72.543
2969.31	72.524
2995.73	72.504
3022.31	72.485
3049.05	72.466
3075.94	72.447
3102.99	72.429
3130.21	72.410
3157.58	72.391
3185.12	72.372
3212.83	72.354
3240.69	72.335
3268.73	72.317
3296.93	72.299
3325.30	72.280
3353.83	72.262
3382.54	72.244
3411.42	72.226
3440.47	72.208
3469.69	72.190
3499.09	72.172
3528.66	72.155
3558.41	72.137
3588.34	72.119
3618.44	72.102
3648.73	72.084
3679.19	72.067
3709.84	72.050
3740.67	72.032
3771.69	72.015
3802.89	71.998
3834.27	71.981
3865.85	71.964
3897.61	71.947
3929.57	71.930
3961.71	71.914
3994.05	71.897
4026.58	71.880
4059.30	71.864
4092.22	71.847
4125.34	71.831
4158.65	71.815
4192.16	71.798
4225.88	71.782
4259.79	71.766
4293.91	71.750
4328.23	71.734
