t(c)	y(m)
0.000	0.00
0.100	1.17
0.200	2.69
0.300	4.55
0.400	6.76
0.500	9.32
0.600	12.23
0.700	15.48
0.800	19.09
0.900	23.04
1.000	27.35
1.100	32.00
1.200	37.01
1.300	42.37
1.400	48.08
1.500	54.14
1.600	60.56
1.700	67.33
1.800	74.45
1.900	81.93
2.000	89.76
2.100	97.95
2.200	106.49
2.300	115.39
2.400	124.64
2.500	134.25
2.600	144.22
2.700	154.55
2.800	165.23
2.900	176.27
3.000	187.67
3.100	199.43
3.200	211.55
3.300	224.02
3.400	236.86
3.500	250.06
3.600	263.62
3.700	277.54
3.800	291.82
3.900	306.46
4.000	321.46
4.100	336.83
4.200	352.55
4.300	368.64
4.400	385.10
4.500	401.92
4.600	419.10
4.700	436.64
4.800	454.55
4.900	472.82
5.000	491.46
5.100	510.46
5.200	529.83
5.300	549.56
5.400	569.65
5.500	590.10
5.600	610.92
5.700	632.10
5.800	653.64
5.900	675.54
6.000	697.80
6.100	720.42
6.200	743.40
6.300	766.73
6.400	790.42
6.500	814.47
6.600	838.88
6.700	863.63
6.800	888.74
6.900	914.21
7.000	940.02
7.100	966.18
7.200	992.69
7.300	1019.55
7.400	1046.75
7.500	1074.30
7.600	1102.19
7.700	1130.41
7.800	1158.97
7.900	1187.87
8.000	1217.10
8.100	1246.66
8.200	1276.54
8.300	1306.75
8.400	1337.29
8.500	1368.15
8.600	1399.32
8.700	1430.81
8.800	1462.61
8.900	1494.73
9.000	1527.15
9.100	1559.88
9.200	1592.91
9.300	1626.25
9.400	1659.89
9.500	1693.83
9.600	1728.06
9.700	1762.60
9.800	1797.43
9.900	1832.55
10.000	1867.97
10.100	1903.68
10.200	1939.68
10.300	1975.97
10.400	2012.55
10.500	2049.43
10.600	2086.59
10.700	2124.04
10.800	2161.78
10.900	2199.81
11.000	2238.13
11.100	2276.74
11.200	2315.64
11.300	2354.82
11.400	2394.29
11.500	2434.05
11.600	2474.09
11.700	2514.42
11.800	2555.04
11.900	2595.94
12.000	2637.13
12.100	2678.61
12.200	2720.37
12.300	2762.41
12.400	2804.74
12.500	2847.35
12.600	2890.24
12.700	2933.41
12.800	2976.87
12.900	3020.61
13.000	3064.63
13.100	3108.93
13.200	3153.50
13.300	3198.36
13.400	3243.50
13.500	3288.91
13.600	3334.61
13.700	3380.58
13.800	3426.83
13.900	3473.36
14.000	3520.17
14.100	3567.26
14.200	3614.63
14.300	3662.27
14.400	3710.19
14.500	3758.39
14.600	3806.87
14.700	3855.63
14.800	3904.67
14.900	3953.98
15.000	4003.58
15.100	4053.45
15.200	4103.61
15.300	4154.04
15.400	4204.75
15.500	4255.74
15.600	4307.01
15.700	4358.57
15.800	4410.40
15.900	4462.51
16.000	4514.91
16.100	4567.58
16.200	4620.54
16.300	4673.78
16.400	4727.31
16.500	4781.12
16.600	4835.21
16.700	4889.58
16.800	4944.24
16.900	4999.19
17.000	5054.42
17.100	5109.93
17.200	5165.74
17.300	5221.83
17.400	5278.21
17.500	5334.88
17.600	5391.84
17.700	5449.09
17.800	5506.63
17.900	5564.46
18.000	5622.58
18.100	5681.00
18.200	5739.71
18.300	5798.72
18.400	5858.02
18.500	5917.62
18.600	5977.52
18.700	6037.72
18.800	6098.21
18.900	6159.01
19.000	6220.11
19.100	6281.51
19.200	6343.21
19.300	6405.22
19.400	6467.54
19.500	6530.16
19.600	6593.08
19.700	6656.32
19.800	6719.86
19.900	6783.71
20.000	6847.88
20.100	6912.35
20.200	6977.14
20.300	7042.24
20.400	7107.66
20.500	7173.39
20.600	7239.44
20.700	7305.81
20.800	7372.50
20.900	7439.51
21.000	7506.84
21.100	7574.50
21.200	7642.48
21.300	7710.79
21.400	7779.43
21.500	7848.39
21.600	7917.69
21.700	7987.31
21.800	8057.27
21.900	8127.57
22.000	8198.20
22.100	8269.17
22.200	8340.48
22.300	8412.14
22.400	8484.13
22.500	8556.47
22.600	8629.16
22.700	8702.19
22.800	8775.58
22.900	8849.31
23.000	8923.40
23.100	8997.85
23.200	9072.65
23.300	9147.81
23.400	9223.34
23.500	9299.23
23.600	9375.48
23.700	9452.09
23.800	9529.08
23.900	9606.43
24.000	9684.15
24.100	9762.25
24.200	9840.71
24.300	9919.56
24.400	9998.77
24.500	10078.37
24.600	10158.34
24.700	10238.70
24.800	10319.44
24.900	10400.56
25.000	10482.07
25.100	10563.97
25.200	10646.26
25.300	10728.94
25.400	10812.01
25.500	10895.48
25.600	10979.35
25.700	11063.62
25.800	11148.29
25.900	11233.36
26.000	11318.84
26.100	11404.73
26.200	11491.04
26.300	11577.76
26.400	11664.89
26.500	11752.45
26.600	11840.43
26.700	11928.83
26.800	12017.67
26.900	12106.93
27.000	12196.63
27.100	12286.76
27.200	12377.33
27.300	12468.35
27.400	12559.81
27.500	12651.71
27.600	12744.07
27.700	12836.88
27.800	12930.15
27.900	13023.87
28.000	13118.06
28.100	13212.71
28.200	13307.83
28.300	13403.42
28.400	13499.48
28.500	13596.02
28.600	13693.04
28.700	13790.54
28.800	13888.53
28.900	13987.01
29.000	14085.97
29.100	14185.43
29.200	14285.38
29.300	14385.84
29.400	14486.79
29.500	14588.25
29.600	14690.22
29.700	14792.70
29.800	14895.70
29.900	14999.21
30.000	15103.24
