N	t(c)	m(kg)	P(H)	V(m/s)	M	Cxa	alpha(grad)	theta_c(grad)	Cya_alpha	omega_z(1/s)	theta(grad)	y(m)	x(m)	g(m/s2)
1	0.000	1255.00	56000.0	10.000	0.0294	0.3000	0.00	85.00	0.2500	0.0000	85.00	0.00	0.00	9.8066
2	0.100	1253.00	56000.0	13.489	0.0396	0.3000	0.36	84.64	0.2500	0.0000	85.00	1.17	0.11	9.8066
3	0.200	1251.00	56000.0	16.984	0.0499	0.3000	0.58	84.42	0.2500	0.0000	85.00	2.69	0.25	9.8066
4	0.300	1249.00	56000.0	20.487	0.0602	0.3000	0.72	84.28	0.2500	0.0000	85.00	4.55	0.44	9.8066
5	0.400	1247.00	56000.0	23.996	0.0705	0.3000	0.82	84.18	0.2500	0.0000	85.00	6.76	0.66	9.8066
6	0.500	1245.00	56000.0	27.512	0.0809	0.3000	0.89	84.11	0.2500	0.0000	85.00	9.33	0.92	9.8066
7	0.600	1243.00	56000.0	31.035	0.0912	0.3000	0.95	84.05	0.2500	0.0000	85.00	12.24	1.23	9.8066
8	0.700	1241.00	56000.0	34.564	0.1016	0.3000	0.99	84.01	0.2500	0.0000	85.00	15.50	1.57	9.8066
9	0.800	1239.00	56000.0	38.100	0.1120	0.3000	1.03	83.97	0.2500	0.0000	85.00	19.11	1.95	9.8066
10	0.900	1237.00	56000.0	41.642	0.1224	0.3000	1.06	83.94	0.2500	0.0000	85.00	23.08	2.37	9.8066
11	1.000	1235.00	56000.0	45.190	0.1328	0.3000	1.08	83.92	0.2500	0.0000	85.00	27.39	2.83	9.8066
12	1.100	1233.00	56000.0	48.745	0.1433	0.3000	1.10	83.90	0.2500	0.0000	85.00	32.06	3.32	9.8066
13	1.200	1231.00	56000.0	52.306	0.1538	0.3000	1.12	83.88	0.2500	0.0000	85.00	37.09	3.86	9.8065
14	1.300	1229.00	56000.0	55.872	0.1643	0.3000	1.14	83.86	0.2500	0.0000	85.00	42.47	4.44	9.8065
15	1.400	1227.00	56000.0	59.445	0.1748	0.3000	1.15	83.85	0.2500	0.0000	85.00	48.20	5.06	9.8065
16	1.500	1225.00	56000.0	63.024	0.1853	0.3000	1.16	83.84	0.2500	0.0000	85.00	54.29	5.71	9.8065
17	1.600	1223.00	56000.0	66.609	0.1959	0.3000	1.17	83.83	0.2500	0.0000	85.00	60.73	6.41	9.8065
18	1.700	1221.00	56000.0	70.199	0.2064	0.3000	1.18	83.82	0.2500	0.0000	85.00	67.53	7.15	9.8064
19	1.800	1219.00	56000.0	73.796	0.2170	0.3000	1.19	83.81	0.2500	0.0000	85.00	74.69	7.92	9.8064
20	1.900	1217.00	56000.0	77.398	0.2277	0.3000	1.20	83.80	0.2500	0.0000	85.00	82.21	8.74	9.8064
21	2.000	1215.00	56000.0	81.005	0.2383	0.3000	1.20	83.80	0.2500	0.0000	85.00	90.08	9.59	9.8064
22	2.100	1213.00	56000.0	84.619	0.2489	0.3000	1.21	83.79	0.2500	0.0000	85.00	98.31	10.49	9.8063
23	2.200	1211.00	56000.0	88.237	0.2596	0.3000	1.22	83.78	0.2500	0.0000	85.00	106.90	11.42	9.8063
24	2.300	1209.00	56000.0	91.861	0.2703	0.3000	1.22	83.78	0.2500	0.0000	85.00	115.86	12.40	9.8063
25	2.400	1207.00	56000.0	95.491	0.2810	0.3000	1.22	83.78	0.2500	0.0000	85.00	125.17	13.42	9.8063
26	2.500	1205.00	56000.0	99.125	0.2917	0.3000	1.23	83.77	0.2500	0.0000	85.00	134.84	14.47	9.8062
27	2.600	1203.00	56000.0	102.765	0.3025	0.3000	1.23	83.77	0.2500	0.0000	85.00	144.88	15.57	9.8062
28	2.700	1201.00	56000.0	106.410	0.3132	0.3000	1.23	83.77	0.2500	0.0000	85.00	155.27	16.70	9.8062
29	2.800	1199.00	56000.0	110.060	0.3240	0.3000	1.24	83.76	0.2500	0.0000	85.00	166.03	17.88	9.8061
30	2.900	1197.00	56000.0	113.715	0.3348	0.3000	1.24	83.76	0.2500	0.0000	85.00	177.15	19.09	9.8061
31	3.000	1195.00	56000.0	117.375	0.3457	0.3000	1.24	83.76	0.2500	0.0000	85.00	188.64	20.35	9.8061
32	3.100	1193.00	56000.0	121.039	0.3565	0.3000	1.24	83.76	0.2500	0.0000	85.00	200.49	21.65	9.8060
33	3.200	1191.00	56000.0	124.709	0.3674	0.3000	1.25	83.75	0.2500	0.0000	85.00	212.71	22.98	9.8060
34	3.300	1189.00	56000.0	128.383	0.3782	0.3000	1.25	83.75	0.2500	0.0000	85.00	225.28	24.36	9.8060
35	3.400	1187.00	56000.0	132.062	0.3891	0.3000	1.25	83.75	0.2500	0.0000	85.00	238.23	25.78	9.8059
36	3.500	1185.00	56000.0	135.745	0.4000	0.3000	1.25	83.75	0.2500	0.0000	85.00	251.54	27.23	9.8059
37	3.600	1183.00	56000.0	139.432	0.4110	0.3000	1.25	83.75	0.2500	0.0000	85.00	265.22	28.73	9.8058
38	3.700	1181.00	56000.0	143.124	0.4219	0.3000	1.25	83.75	0.2500	0.0000	85.00	279.26	30.27	9.8058
39	3.800	1179.00	56000.0	146.821	0.4329	0.3000	1.25	83.75	0.2500	0.0000	85.00	293.67	31.85	9.8057
40	3.900	1177.00	56000.0	150.521	0.4439	0.3000	1.25	83.75	0.2500	0.0000	85.00	308.45	33.47	9.8057
41	4.000	1175.00	56000.0	154.226	0.4549	0.3000	1.25	83.75	0.2500	0.0000	85.00	323.60	35.13	9.8057
42	4.100	1173.00	56000.0	157.935	0.4659	0.3000	1.25	83.75	0.2500	0.0000	85.00	339.11	36.83	9.8056
43	4.200	1171.00	56000.0	161.648	0.4769	0.3000	1.25	83.75	0.2500	0.0000	85.00	355.00	38.57	9.8056
