t(c)	V(m/s)
0.000	10.000
0.100	13.489
0.200	16.984
0.300	20.487
0.400	23.996
0.500	27.512
0.600	31.035
0.700	34.564
0.800	38.100
0.900	41.642
1.000	45.190
1.100	48.745
1.200	52.306
1.300	55.872
1.400	59.445
1.500	63.024
1.600	66.609
1.700	70.199
1.800	73.796
1.900	77.398
2.000	81.005
2.100	84.619
2.200	88.237
2.300	91.861
2.400	95.491
2.500	99.125
2.600	102.765
2.700	106.410
2.800	110.060
2.900	113.715
3.000	117.375
3.100	121.039
3.200	124.709
3.300	128.383
3.400	132.062
3.500	135.745
3.600	139.432
3.700	143.124
3.800	146.821
3.900	150.521
4.000	154.226
4.100	157.935
4.200	161.648
4.300	165.365
4.400	169.085
4.500	172.810
4.600	176.538
4.700	180.270
4.800	184.005
4.900	187.744
5.000	191.482
5.100	195.219
5.200	198.953
5.300	202.685
5.400	206.414
5.500	210.139
5.600	213.861
5.700	217.578
5.800	221.290
5.900	224.997
6.000	228.698
6.100	232.392
6.200	236.080
6.300	239.760
6.400	243.432
6.500	247.096
6.600	250.751
6.700	254.397
6.800	258.033
6.900	261.658
7.000	265.272
7.100	268.875
7.200	272.463
7.300	276.035
7.400	279.589
7.500	283.124
7.600	286.639
7.700	290.135
7.800	293.610
7.900	297.064
8.000	300.496
8.100	303.906
8.200	307.294
8.300	310.659
8.400	314.001
8.500	317.319
8.600	320.614
8.700	323.883
8.800	327.128
8.900	330.347
9.000	333.541
9.100	336.712
9.200	339.869
9.300	343.014
9.400	346.144
9.500	349.262
9.600	352.365
9.700	355.456
9.800	358.533
9.900	361.598
10.000	364.650
10.100	367.691
10.200	370.727
10.300	373.760
10.400	376.790
10.500	379.817
10.600	382.841
10.700	385.863
10.800	388.883
10.900	391.900
11.000	394.916
11.100	397.929
11.200	400.940
11.300	403.949
11.400	406.954
11.500	409.956
11.600	412.956
11.700	415.954
11.800	418.949
11.900	421.942
12.000	424.934
12.100	427.923
12.200	430.910
12.300	433.892
12.400	436.869
12.500	439.841
12.600	442.808
12.700	445.770
12.800	448.728
12.900	451.681
13.000	454.630
13.100	457.575
13.200	460.516
13.300	463.456
13.400	466.395
13.500	469.334
13.600	472.271
13.700	475.209
13.800	478.147
13.900	481.084
14.000	484.022
14.100	486.961
14.200	489.900
14.300	492.840
14.400	495.781
14.500	498.723
14.600	501.667
14.700	504.612
14.800	507.560
14.900	510.509
15.000	513.461
15.100	516.415
15.200	519.372
15.300	522.332
15.400	525.295
15.500	528.262
15.600	531.232
15.700	534.206
15.800	537.184
15.900	540.166
16.000	543.153
16.100	546.144
16.200	549.141
16.300	552.142
16.400	555.149
16.500	558.162
16.600	561.180
16.700	564.205
16.800	567.236
16.900	570.273
17.000	573.318
17.100	576.369
17.200	579.428
17.300	582.494
17.400	585.568
17.500	588.650
17.600	591.740
17.700	594.839
17.800	597.947
17.900	601.064
18.000	604.190
18.100	607.326
18.200	610.472
18.300	613.627
18.400	616.793
18.500	619.970
18.600	623.158
18.700	626.357
18.800	629.567
18.900	632.788
19.000	636.020
19.100	639.260
19.200	642.511
19.300	645.771
19.400	649.042
19.500	652.324
19.600	655.616
19.700	658.920
19.800	662.235
19.900	665.561
20.000	668.900
20.100	672.251
20.200	675.614
20.300	678.990
20.400	682.378
20.500	685.781
20.600	689.196
20.700	692.626
20.800	696.069
20.900	699.527
21.000	703.000
21.100	706.488
21.200	709.991
21.300	713.509
21.400	717.043
21.500	720.594
21.600	724.161
21.700	727.744
21.800	731.345
21.900	734.963
22.000	738.598
22.100	742.251
22.200	745.923
22.300	749.613
22.400	753.323
22.500	757.051
22.600	760.799
22.700	764.566
22.800	768.354
22.900	772.163
23.000	775.992
23.100	779.842
23.200	783.714
23.300	787.607
23.400	791.517
23.500	795.442
23.600	799.384
23.700	803.341
23.800	807.316
23.900	811.307
24.000	815.316
24.100	819.342
24.200	823.386
24.300	827.448
24.400	831.528
24.500	835.628
24.600	839.746
24.700	843.883
24.800	848.040
24.900	852.217
25.000	856.414
25.100	860.632
25.200	864.871
25.300	869.132
25.400	873.424
25.500	877.742
25.600	882.086
25.700	886.458
25.800	890.856
25.900	895.282
26.000	899.736
26.100	904.217
26.200	908.726
26.300	913.264
26.400	917.830
26.500	922.424
26.600	927.048
26.700	931.701
26.800	936.383
26.900	941.095
27.000	945.837
27.100	950.609
27.200	955.411
27.300	960.244
27.400	965.107
27.500	970.002
27.600	974.928
27.700	979.885
27.800	984.875
27.900	989.896
28.000	994.950
28.100	1000.036
28.200	1005.155
28.300	1010.304
28.400	1015.484
28.500	1020.694
28.600	1025.934
28.700	1031.206
28.800	1036.509
28.900	1041.844
29.000	1047.210
29.100	1052.609
29.200	1058.039
29.300	1063.502
29.400	1068.998
29.500	1074.527
29.600	1080.090
29.700	1085.686
29.800	1091.315
29.900	1096.979
30.000	1102.677
