x(m)	V(m/s)
0.00	10.000
0.11	13.489
0.25	16.984
0.44	20.487
0.66	23.996
0.92	27.512
1.23	31.035
1.57	34.564
1.95	38.100
2.37	41.642
2.83	45.190
3.32	48.745
3.86	52.306
4.44	55.872
5.06	59.445
5.71	63.024
6.41	66.609
7.15	70.199
7.92	73.796
8.74	77.398
9.59	81.005
10.49	84.619
11.42	88.237
12.40	91.861
13.42	95.491
14.47	99.125
15.57	102.765
16.70	106.410
17.88	110.060
19.09	113.715
20.35	117.375
21.65	121.039
22.98	124.709
24.36	128.383
25.78	132.062
27.23	135.745
28.73	139.432
30.27	143.124
31.85	146.821
33.47	150.521
35.13	154.226
36.83	157.935
38.57	161.648
40.35	165.365
42.17	169.085
44.03	172.810
45.94	176.538
47.88	180.270
49.86	184.005
51.89	187.744
53.95	191.482
56.06	195.219
58.21	198.953
60.39	202.685
62.62	206.414
64.89	210.139
67.19	213.861
69.54	217.578
71.93	221.290
74.36	224.997
76.83	228.698
79.33	232.392
81.88	236.080
84.47	239.760
87.09	243.432
89.76	247.096
92.47	250.751
95.21	254.397
97.99	258.033
100.82	261.658
103.68	265.272
106.58	268.875
109.51	272.463
112.49	276.035
115.51	279.589
118.56	283.124
121.65	286.639
124.77	290.135
127.94	293.610
131.14	297.064
134.38	300.496
137.65	303.906
140.96	307.294
144.31	310.659
147.69	314.001
151.10	317.319
154.56	320.614
158.04	323.883
161.56	327.128
165.12	330.347
168.70	333.541
172.32	336.712
175.98	339.869
179.67	343.014
183.38	346.144
187.14	349.262
190.92	352.365
194.74	355.456
198.59	358.533
202.47	361.598
206.38	364.650
210.32	367.691
214.30	370.727
218.30	373.760
222.34	376.790
226.41	379.817
230.51	382.841
234.64	385.863
238.81	388.883
243.00	391.900
247.23	394.916
251.48	397.929
255.77	400.940
260.09	403.949
264.44	406.954
268.82	409.956
273.23	412.956
277.67	415.954
282.14	418.949
286.64	421.942
291.18	424.934
295.74	427.923
300.33	430.910
304.96	433.892
309.61	436.869
314.30	439.841
319.01	442.808
323.76	445.770
328.54	448.728
333.34	451.681
338.18	454.630
343.04	457.575
347.94	460.516
352.86	463.456
357.81	466.395
362.80	469.334
367.81	472.271
372.85	475.209
377.93	478.147
383.03	481.084
388.16	484.022
393.32	486.961
398.51	489.900
403.73	492.840
408.98	495.781
414.26	498.723
419.57	501.667
424.90	504.612
430.27	507.560
435.67	510.509
441.09	513.461
446.55	516.415
452.03	519.372
457.55	522.332
463.09	525.295
468.66	528.262
474.26	531.232
479.89	534.206
485.55	537.184
491.24	540.166
496.96	543.153
502.71	546.144
508.49	549.141
514.30	552.142
520.14	555.149
526.01	558.162
531.90	561.180
537.83	564.205
543.79	567.236
549.77	570.273
555.79	573.318
561.84	576.369
567.91	579.428
574.02	582.494
580.16	585.568
586.32	588.650
592.52	591.740
598.75	594.839
605.01	597.947
611.29	601.064
617.61	604.190
623.96	607.326
630.34	610.472
636.75	613.627
643.19	616.793
649.66	619.970
656.17	623.158
662.70	626.357
669.27	629.567
675.86	632.788
682.49	636.020
689.15	639.260
695.84	642.511
702.56	645.771
709.32	649.042
716.10	652.324
722.92	655.616
729.77	658.920
736.65	662.235
743.57	665.561
750.52	668.900
757.49	672.251
764.50	675.614
771.55	678.990
778.62	682.378
785.73	685.781
792.88	689.196
800.05	692.626
807.26	696.069
814.50	699.527
821.78	703.000
829.08	706.488
836.43	709.991
843.80	713.509
851.21	717.043
858.66	720.594
866.14	724.161
873.65	727.744
881.20	731.345
888.78	734.963
896.39	738.598
904.05	742.251
911.73	745.923
919.46	749.613
927.21	753.323
935.01	757.051
942.84	760.799
950.70	764.566
958.60	768.354
966.54	772.163
974.52	775.992
982.53	779.842
990.58	783.714
998.67	787.607
1006.79	791.517
1014.95	795.442
1023.15	799.384
1031.38	803.341
1039.66	807.316
1047.97	811.307
1056.32	815.316
1064.71	819.342
1073.14	823.386
1081.61	827.448
1090.11	831.528
1098.66	835.628
1107.24	839.746
1115.86	843.883
1124.53	848.040
1133.23	852.217
1141.97	856.414
1150.76	860.632
1159.58	864.871
1168.44	869.132
1177.35	873.424
1186.29	877.742
1195.28	882.086
1204.31	886.458
1213.38	890.856
1222.49	895.282
1231.65	899.736
1240.85	904.217
1250.09	908.726
1259.37	913.264
1268.70	917.830
1278.07	922.424
1287.48	927.048
1296.94	931.701
1306.45	936.383
1315.99	941.095
1325.59	945.837
1335.23	950.609
1344.91	955.411
1354.64	960.244
1364.42	965.107
1374.24	970.002
1384.11	974.928
1394.03	979.885
1404.00	984.875
1414.01	989.896
1424.07	994.950
1434.18	1000.036
1444.34	1005.155
1454.54	1010.304
1464.80	1015.484
1475.10	1020.694
1485.46	1025.934
1495.87	1031.206
1506.32	1036.509
1516.83	1041.844
1527.39	1047.210
1538.00	1052.609
1548.66	1058.039
1559.37	1063.502
1570.13	1068.998
1580.95	1074.527
1591.82	1080.090
1602.74	1085.686
1613.72	1091.315
1624.75	1096.979
1635.84	1102.677
