t(c)	theta_c(grad)
0.000	85.000
0.100	84.637
0.200	84.423
0.300	84.283
0.400	84.184
0.500	84.110
0.600	84.054
0.700	84.009
0.800	83.972
0.900	83.942
1.000	83.917
1.100	83.896
1.200	83.878
1.300	83.862
1.400	83.849
1.500	83.837
1.600	83.826
1.700	83.817
1.800	83.809
1.900	83.802
2.000	83.795
2.100	83.789
2.200	83.784
2.300	83.780
2.400	83.775
2.500	83.772
2.600	83.768
2.700	83.765
2.800	83.762
2.900	83.760
3.000	83.758
3.100	83.756
3.200	83.754
3.300	83.753
3.400	83.751
3.500	83.750
3.600	83.749
3.700	83.749
3.800	83.748
3.900	83.747
4.000	83.747
4.100	83.746
4.200	83.746
4.300	83.746
4.400	83.746
4.500	83.746
4.600	83.746
4.700	83.746
4.800	83.747
4.900	83.747
5.000	83.748
5.100	83.748
5.200	83.749
5.300	83.749
5.400	83.750
5.500	83.751
5.600	83.751
5.700	83.752
5.800	83.753
5.900	83.754
6.000	83.755
6.100	83.756
6.200	83.757
6.300	83.758
6.400	83.759
6.500	83.760
6.600	83.761
6.700	83.763
6.800	83.764
6.900	83.765
7.000	83.766
7.100	83.768
7.200	83.769
7.300	83.770
7.400	83.772
7.500	83.773
7.600	83.774
7.700	83.776
7.800	83.777
7.900	83.779
8.000	83.780
8.100	83.781
8.200	83.783
8.300	83.784
8.400	83.786
8.500	83.787
8.600	83.789
8.700	83.791
8.800	83.793
8.900	83.794
9.000	83.796
9.100	83.798
9.200	83.800
9.300	83.802
9.400	83.804
9.500	83.806
9.600	83.809
9.700	83.811
9.800	83.813
9.900	83.815
10.000	83.816
10.100	83.818
10.200	83.820
10.300	83.822
10.400	83.824
10.500	83.826
10.600	83.828
10.700	83.830
10.800	83.832
10.900	83.833
11.000	83.835
11.100	83.837
11.200	83.839
11.300	83.841
11.400	83.843
11.500	83.845
11.600	83.847
11.700	83.849
11.800	83.851
11.900	83.853
12.000	83.855
12.100	83.857
12.200	83.859
12.300	83.861
12.400	83.863
12.500	83.865
12.600	83.868
12.700	83.870
12.800	83.872
12.900	83.874
13.000	83.876
13.100	83.878
13.200	83.880
13.300	83.882
13.400	83.884
13.500	83.886
13.600	83.888
13.700	83.890
13.800	83.893
13.900	83.895
14.000	83.897
14.100	83.899
14.200	83.901
14.300	83.903
14.400	83.905
14.500	83.907
14.600	83.910
14.700	83.912
14.800	83.914
14.900	83.916
15.000	83.918
15.100	83.920
15.200	83.922
15.300	83.924
15.400	83.927
15.500	83.929
15.600	83.931
15.700	83.933
15.800	83.935
15.900	83.937
16.000	83.940
16.100	83.942
16.200	83.944
16.300	83.946
16.400	83.948
16.500	83.950
16.600	83.952
16.700	83.955
16.800	83.957
16.900	83.959
17.000	83.961
17.100	83.963
17.200	83.965
17.300	83.968
17.400	83.970
17.500	83.972
17.600	83.974
17.700	83.976
17.800	83.978
17.900	83.980
18.000	83.983
18.100	83.985
18.200	83.987
18.300	83.989
18.400	83.991
18.500	83.993
18.600	83.996
18.700	83.998
18.800	84.000
18.900	84.002
19.000	84.004
19.100	84.006
19.200	84.008
19.300	84.010
19.400	84.013
19.500	84.015
19.600	84.017
19.700	84.019
19.800	84.021
19.900	84.023
20.000	84.025
20.100	84.027
20.200	84.030
20.300	84.032
20.400	84.034
20.500	84.036
20.600	84.038
20.700	84.040
20.800	84.042
20.900	84.044
21.000	84.046
21.100	84.048
21.200	84.051
21.300	84.053
21.400	84.055
21.500	84.057
21.600	84.059
21.700	84.061
21.800	84.063
21.900	84.065
22.000	84.067
22.100	84.069
22.200	84.071
22.300	84.073
22.400	84.075
22.500	84.077
22.600	84.079
22.700	84.081
22.800	84.083
22.900	84.086
23.000	84.088
23.100	84.090
23.200	84.092
23.300	84.094
23.400	84.096
23.500	84.098
23.600	84.100
23.700	84.102
23.800	84.104
23.900	84.106
24.000	84.108
24.100	84.110
24.200	84.112
24.300	84.114
24.400	84.115
24.500	84.117
24.600	84.119
24.700	84.121
24.800	84.123
24.900	84.125
25.000	84.127
25.100	84.129
25.200	84.131
25.300	84.133
25.400	84.135
25.500	84.137
25.600	84.139
25.700	84.141
25.800	84.143
25.900	84.144
26.000	84.146
26.100	84.148
26.200	84.150
26.300	84.152
26.400	84.154
26.500	84.156
26.600	84.157
26.700	84.159
26.800	84.161
26.900	84.163
27.000	84.165
27.100	84.166
27.200	84.168
27.300	84.170
27.400	84.172
27.500	84.174
27.600	84.175
27.700	84.177
27.800	84.179
27.900	84.181
28.000	84.182
28.100	84.184
28.200	84.186
28.300	84.188
28.400	84.189
28.500	84.191
28.600	84.193
28.700	84.195
28.800	84.196
28.900	84.198
29.000	84.200
29.100	84.201
29.200	84.203
29.300	84.205
29.400	84.206
29.500	84.208
29.600	84.210
29.700	84.211
29.800	84.213
29.900	84.215
30.000	84.216
