t(c)	y(m)
0.000	0.00
0.100	1.17
0.200	2.69
0.300	4.55
0.400	6.76
0.500	9.33
0.600	12.24
0.700	15.50
0.800	19.11
0.900	23.08
1.000	27.39
1.100	32.06
1.200	37.09
1.300	42.47
1.400	48.20
1.500	54.29
1.600	60.73
1.700	67.53
1.800	74.69
1.900	82.21
2.000	90.08
2.100	98.31
2.200	106.90
2.300	115.86
2.400	125.17
2.500	134.84
2.600	144.88
2.700	155.27
2.800	166.03
2.900	177.15
3.000	188.64
3.100	200.49
3.200	212.71
3.300	225.28
3.400	238.23
3.500	251.54
3.600	265.22
3.700	279.26
3.800	293.67
3.900	308.45
4.000	323.60
4.100	339.11
4.200	355.00
4.300	371.25
4.400	387.87
4.500	404.87
4.600	422.23
4.700	439.96
4.800	458.07
4.900	476.55
5.000	495.39
5.100	514.61
5.200	534.21
5.300	554.17
5.400	574.50
5.500	595.21
5.600	616.28
5.700	637.72
5.800	659.54
5.900	681.72
6.000	704.27
6.100	727.19
6.200	750.47
6.300	774.12
6.400	798.14
6.500	822.52
6.600	847.26
6.700	872.37
6.800	897.84
6.900	923.67
7.000	949.86
7.100	976.41
7.200	1003.32
7.300	1030.58
7.400	1058.20
7.500	1086.17
7.600	1114.49
7.700	1143.16
7.800	1172.18
7.900	1201.54
8.000	1231.24
8.100	1261.28
8.200	1291.66
8.300	1322.38
8.400	1353.43
8.500	1384.81
8.600	1416.52
8.700	1448.55
8.800	1480.91
8.900	1513.59
9.000	1546.59
9.100	1579.91
9.200	1613.54
9.300	1647.49
9.400	1681.74
9.500	1716.31
9.600	1751.19
9.700	1786.37
9.800	1821.86
9.900	1857.66
10.000	1893.76
10.100	1930.17
10.200	1966.87
10.300	2003.88
10.400	2041.19
10.500	2078.80
10.600	2116.71
10.700	2154.92
10.800	2193.44
10.900	2232.25
11.000	2271.36
11.100	2310.78
11.200	2350.49
11.300	2390.50
11.400	2430.81
11.500	2471.42
11.600	2512.33
11.700	2553.54
11.800	2595.04
11.900	2636.85
12.000	2678.95
12.100	2721.34
12.200	2764.04
12.300	2807.03
12.400	2850.32
12.500	2893.91
12.600	2937.79
12.700	2981.96
12.800	3026.43
12.900	3071.19
13.000	3116.25
13.100	3161.60
13.200	3207.24
13.300	3253.18
13.400	3299.41
13.500	3345.93
13.600	3392.74
13.700	3439.84
13.800	3487.24
13.900	3534.93
14.000	3582.91
14.100	3631.19
14.200	3679.75
14.300	3728.61
14.400	3777.76
14.500	3827.21
14.600	3876.94
14.700	3926.97
14.800	3977.30
14.900	4027.91
15.000	4078.82
15.100	4130.03
15.200	4181.53
15.300	4233.32
15.400	4285.41
15.500	4337.79
15.600	4390.47
15.700	4443.44
15.800	4496.71
15.900	4550.27
16.000	4604.14
16.100	4658.30
16.200	4712.76
16.300	4767.51
16.400	4822.57
16.500	4877.92
16.600	4933.58
16.700	4989.54
16.800	5045.79
16.900	5102.35
17.000	5159.22
17.100	5216.38
17.200	5273.85
17.300	5331.62
17.400	5389.70
17.500	5448.09
17.600	5506.78
17.700	5565.78
17.800	5625.09
17.900	5684.71
18.000	5744.64
18.100	5804.89
18.200	5865.44
18.300	5926.31
18.400	5987.49
18.500	6048.99
18.600	6110.81
18.700	6172.94
18.800	6235.39
18.900	6298.16
19.000	6361.26
19.100	6424.67
19.200	6488.41
19.300	6552.47
19.400	6616.86
19.500	6681.57
19.600	6746.61
19.700	6811.98
19.800	6877.68
19.900	6943.71
20.000	7010.07
20.100	7076.76
20.200	7143.79
20.300	7211.15
20.400	7278.85
20.500	7346.89
20.600	7415.27
20.700	7483.98
20.800	7553.04
20.900	7622.45
21.000	7692.19
21.100	7762.29
21.200	7832.73
21.300	7903.52
21.400	7974.67
21.500	8046.16
21.600	8118.01
21.700	8190.22
21.800	8262.78
21.900	8335.70
22.000	8408.98
22.100	8482.63
22.200	8556.64
22.300	8631.02
22.400	8705.76
22.500	8780.88
22.600	8856.36
22.700	8932.23
22.800	9008.46
22.900	9085.08
23.000	9162.07
23.100	9239.45
23.200	9317.21
23.300	9395.36
23.400	9473.90
23.500	9552.83
23.600	9632.15
23.700	9711.86
23.800	9791.96
23.900	9872.47
24.000	9953.37
24.100	10034.67
24.200	10116.37
24.300	10198.48
24.400	10280.99
24.500	10363.91
24.600	10447.23
24.700	10530.97
24.800	10615.12
24.900	10699.69
25.000	10784.67
25.100	10870.08
25.200	10955.90
25.300	11042.14
25.400	11128.81
25.500	11215.91
25.600	11303.45
25.700	11391.41
25.800	11479.81
25.900	11568.65
26.000	11657.93
26.100	11747.66
26.200	11837.84
26.300	11928.46
26.400	12019.54
26.500	12111.07
26.600	12203.07
26.700	12295.52
26.800	12388.44
26.900	12481.83
27.000	12575.68
27.100	12670.02
27.200	12764.82
27.300	12860.11
27.400	12955.88
27.500	13052.13
27.600	13148.88
27.700	13246.11
27.800	13343.85
27.900	13442.07
28.000	13540.81
28.100	13640.04
28.200	13739.78
28.300	13840.04
28.400	13940.81
28.500	14042.09
28.600	14143.90
28.700	14246.23
28.800	14349.08
28.900	14452.47
29.000	14556.39
29.100	14660.84
29.200	14765.83
29.300	14871.37
29.400	14977.45
29.500	15084.07
29.600	15191.25
29.700	15298.99
29.800	15407.29
29.900	15516.14
30.000	15625.57
