x(m)	y(m)
0.00	0.00
0.11	1.17
0.25	2.69
0.44	4.55
0.66	6.76
0.92	9.33
1.23	12.24
1.57	15.50
1.95	19.11
2.37	23.08
2.83	27.39
3.32	32.06
3.86	37.09
4.44	42.47
5.06	48.20
5.71	54.29
6.41	60.73
7.15	67.53
7.92	74.69
8.74	82.21
9.59	90.08
10.49	98.31
11.42	106.90
12.40	115.86
13.42	125.17
14.47	134.84
15.57	144.88
16.70	155.27
17.88	166.03
19.09	177.15
20.35	188.64
21.65	200.49
22.98	212.71
24.36	225.28
25.78	238.23
27.23	251.54
28.73	265.22
30.27	279.26
31.85	293.67
33.47	308.45
35.13	323.60
36.83	339.11
38.57	355.00
40.35	371.25
42.17	387.87
44.03	404.87
45.94	422.23
47.88	439.96
49.86	458.07
51.89	476.55
53.95	495.39
56.06	514.61
58.21	534.21
60.39	554.17
62.62	574.50
64.89	595.21
67.19	616.28
69.54	637.72
71.93	659.54
74.36	681.72
76.83	704.27
79.33	727.19
81.88	750.47
84.47	774.12
87.09	798.14
89.76	822.52
92.47	847.26
95.21	872.37
97.99	897.84
100.82	923.67
103.68	949.86
106.58	976.41
109.51	1003.32
112.49	1030.58
115.51	1058.20
118.56	1086.17
121.65	1114.49
124.77	1143.16
127.94	1172.18
131.14	1201.54
134.38	1231.24
137.65	1261.28
140.96	1291.66
144.31	1322.38
147.69	1353.43
151.10	1384.81
154.56	1416.52
158.04	1448.55
161.56	1480.91
165.12	1513.59
168.70	1546.59
172.32	1579.91
175.98	1613.54
179.67	1647.49
183.38	1681.74
187.14	1716.31
190.92	1751.19
194.74	1786.37
198.59	1821.86
202.47	1857.66
206.38	1893.76
210.32	1930.17
214.30	1966.87
218.30	2003.88
222.34	2041.19
226.41	2078.80
230.51	2116.71
234.64	2154.92
238.81	2193.44
243.00	2232.25
247.23	2271.36
251.48	2310.78
255.77	2350.49
260.09	2390.50
264.44	2430.81
268.82	2471.42
273.23	2512.33
277.67	2553.54
282.14	2595.04
286.64	2636.85
291.18	2678.95
295.74	2721.34
300.33	2764.04
304.96	2807.03
309.61	2850.32
314.30	2893.91
319.01	2937.79
323.76	2981.96
328.54	3026.43
333.34	3071.19
338.18	3116.25
343.04	3161.60
347.94	3207.24
352.86	3253.18
357.81	3299.41
362.80	3345.93
367.81	3392.74
372.85	3439.84
377.93	3487.24
383.03	3534.93
388.16	3582.91
393.32	3631.19
398.51	3679.75
403.73	3728.61
408.98	3777.76
414.26	3827.21
419.57	3876.94
424.90	3926.97
430.27	3977.30
435.67	4027.91
441.09	4078.82
446.55	4130.03
452.03	4181.53
457.55	4233.32
463.09	4285.41
468.66	4337.79
474.26	4390.47
479.89	4443.44
485.55	4496.71
491.24	4550.27
496.96	4604.14
502.71	4658.30
508.49	4712.76
514.30	4767.51
520.14	4822.57
526.01	4877.92
531.90	4933.58
537.83	4989.54
543.79	5045.79
549.77	5102.35
555.79	5159.22
561.84	5216.38
567.91	5273.85
574.02	5331.62
580.16	5389.70
586.32	5448.09
592.52	5506.78
598.75	5565.78
605.01	5625.09
611.29	5684.71
617.61	5744.64
623.96	5804.89
630.34	5865.44
636.75	5926.31
643.19	5987.49
649.66	6048.99
656.17	6110.81
662.70	6172.94
669.27	6235.39
675.86	6298.16
682.49	6361.26
689.15	6424.67
695.84	6488.41
702.56	6552.47
709.32	6616.86
716.10	6681.57
722.92	6746.61
729.77	6811.98
736.65	6877.68
743.57	6943.71
750.52	7010.07
757.49	7076.76
764.50	7143.79
771.55	7211.15
778.62	7278.85
785.73	7346.89
792.88	7415.27
800.05	7483.98
807.26	7553.04
814.50	7622.45
821.78	7692.19
829.08	7762.29
836.43	7832.73
843.80	7903.52
851.21	7974.67
858.66	8046.16
866.14	8118.01
873.65	8190.22
881.20	8262.78
888.78	8335.70
896.39	8408.98
904.05	8482.63
911.73	8556.64
919.46	8631.02
927.21	8705.76
935.01	8780.88
942.84	8856.36
950.70	8932.23
958.60	9008.46
966.54	9085.08
974.52	9162.07
982.53	9239.45
990.58	9317.21
998.67	9395.36
1006.79	9473.90
1014.95	9552.83
1023.15	9632.15
1031.38	9711.86
1039.66	9791.96
1047.97	9872.47
1056.32	9953.37
1064.71	10034.67
1073.14	10116.37
1081.61	10198.48
1090.11	10280.99
1098.66	10363.91
1107.24	10447.23
1115.86	10530.97
1124.53	10615.12
1133.23	10699.69
1141.97	10784.67
1150.76	10870.08
1159.58	10955.90
1168.44	11042.14
1177.35	11128.81
1186.29	11215.91
1195.28	11303.45
1204.31	11391.41
1213.38	11479.81
1222.49	11568.65
1231.65	11657.93
1240.85	11747.66
1250.09	11837.84
1259.37	11928.46
1268.70	12019.54
1278.07	12111.07
1287.48	12203.07
1296.94	12295.52
1306.45	12388.44
1315.99	12481.83
1325.59	12575.68
1335.23	12670.02
1344.91	12764.82
1354.64	12860.11
1364.42	12955.88
1374.24	13052.13
1384.11	13148.88
1394.03	13246.11
1404.00	13343.85
1414.01	13442.07
1424.07	13540.81
1434.18	13640.04
1444.34	13739.78
1454.54	13840.04
1464.80	13940.81
1475.10	14042.09
1485.46	14143.90
1495.87	14246.23
1506.32	14349.08
1516.83	14452.47
1527.39	14556.39
1538.00	14660.84
1548.66	14765.83
1559.37	14871.37
1570.13	14977.45
1580.95	15084.07
1591.82	15191.25
1602.74	15298.99
1613.72	15407.29
1624.75	15516.14
1635.84	15625.57
