N	t(c)	m(kg)	P(H)	V(m/s)	M	Cxa	alpha(grad)	theta_c(grad)	Cya_alpha	omega_z(1/s)	theta(grad)	y(m)	x(m)	g(m/s2)
1	0.000	1255.00	56000.0	10.000	0.0294	0.3000	0.00	85.00	0.2500	0.0000	85.00	0.00	0.00	9.8066
2	0.100	1253.00	56000.0	13.489	0.0396	0.3000	0.00	84.56	0.2500	0.0000	85.00	1.17	0.11	9.8066
3	0.200	1251.00	56000.0	16.985	0.0499	0.3000	0.00	84.20	0.2500	0.0000	85.00	2.69	0.26	9.8066
4	0.300	1249.00	56000.0	20.488	0.0602	0.3000	0.00	83.89	0.2500	0.0000	85.00	4.55	0.45	9.8066
5	0.400	1247.00	56000.0	23.999	0.0705	0.3000	0.00	83.61	0.2500	0.0000	85.00	6.76	0.69	9.8066
6	0.500	1245.00	56000.0	27.517	0.0809	0.3000	0.00	83.36	0.2500	0.0000	85.00	9.32	0.99	9.8066
7	0.600	1243.00	56000.0	31.041	0.0912	0.3000	0.00	83.14	0.2500	0.0000	85.00	12.23	1.33	9.8066
8	0.700	1241.00	56000.0	34.573	0.1016	0.3000	0.00	82.93	0.2500	0.0000	85.00	15.48	1.73	9.8066
9	0.800	1239.00	56000.0	38.112	0.1120	0.3000	0.00	82.74	0.2500	0.0000	85.00	19.09	2.18	9.8066
10	0.900	1237.00	56000.0	41.657	0.1224	0.3000	0.00	82.56	0.2500	0.0000	85.00	23.04	2.69	9.8066
11	1.000	1235.00	56000.0	45.209	0.1329	0.3000	0.00	82.39	0.2500	0.0000	85.00	27.35	3.26	9.8066
12	1.100	1233.00	56000.0	48.768	0.1434	0.3000	0.00	82.23	0.2500	0.0000	85.00	32.01	3.89	9.8066
13	1.200	1231.00	56000.0	52.333	0.1539	0.3000	0.00	82.08	0.2500	0.0000	85.00	37.01	4.58	9.8065
14	1.300	1229.00	56000.0	55.905	0.1644	0.3000	0.00	81.93	0.2500	0.0000	85.00	42.37	5.33	9.8065
15	1.400	1227.00	56000.0	59.483	0.1749	0.3000	0.00	81.79	0.2500	0.0000	85.00	48.08	6.15	9.8065
16	1.500	1225.00	56000.0	63.067	0.1854	0.3000	0.00	81.66	0.2500	0.0000	85.00	54.15	7.03	9.8065
17	1.600	1223.00	56000.0	66.658	0.1960	0.3000	0.00	81.53	0.2500	0.0000	85.00	60.57	7.98	9.8065
18	1.700	1221.00	56000.0	70.254	0.2066	0.3000	0.00	81.41	0.2500	0.0000	85.00	67.34	9.00	9.8064
19	1.800	1219.00	56000.0	73.857	0.2172	0.3000	0.00	81.30	0.2500	0.0000	85.00	74.46	10.08	9.8064
