t(c)	V(m/s)
0.000	10.000
0.100	13.489
0.200	16.985
0.300	20.488
0.400	23.999
0.500	27.517
0.600	31.041
0.700	34.573
0.800	38.112
0.900	41.657
1.000	45.209
1.100	48.768
1.200	52.333
1.300	55.905
1.400	59.483
1.500	63.067
1.600	66.658
1.700	70.254
1.800	73.857
1.900	77.466
2.000	81.080
2.100	84.701
2.200	88.327
2.300	91.959
2.400	95.596
2.500	99.239
2.600	102.888
2.700	106.541
2.800	110.200
2.900	113.865
3.000	117.534
3.100	121.208
3.200	124.888
3.300	128.572
3.400	132.261
3.500	135.955
3.600	139.653
3.700	143.356
3.800	147.064
3.900	150.776
4.000	154.492
4.100	158.213
4.200	161.938
4.300	165.667
4.400	169.400
4.500	173.137
4.600	176.878
4.700	180.623
4.800	184.371
4.900	188.123
5.000	191.874
5.100	195.624
5.200	199.371
5.300	203.116
5.400	206.858
5.500	210.597
5.600	214.332
5.700	218.063
5.800	221.788
5.900	225.509
6.000	229.223
6.100	232.931
6.200	236.632
6.300	240.326
6.400	244.012
6.500	247.690
6.600	251.358
6.700	255.018
6.800	258.667
6.900	262.306
7.000	265.933
7.100	269.549
7.200	273.151
7.300	276.735
7.400	280.300
7.500	283.848
7.600	287.375
7.700	290.883
7.800	294.369
7.900	297.835
8.000	301.278
8.100	304.699
8.200	308.097
8.300	311.473
8.400	314.825
8.500	318.154
8.600	321.458
8.700	324.738
8.800	327.992
8.900	331.221
9.000	334.423
9.100	337.606
9.200	340.775
9.300	343.931
9.400	347.073
9.500	350.202
9.600	353.317
9.700	356.418
9.800	359.507
9.900	362.583
10.000	365.646
10.100	368.699
10.200	371.749
10.300	374.795
10.400	377.838
10.500	380.878
10.600	383.915
10.700	386.950
10.800	389.982
10.900	393.013
11.000	396.041
11.100	399.067
11.200	402.090
11.300	405.110
11.400	408.127
11.500	411.142
11.600	414.153
11.700	417.162
11.800	420.169
11.900	423.173
12.000	426.175
12.100	429.176
12.200	432.173
12.300	435.164
12.400	438.150
12.500	441.131
12.600	444.107
12.700	447.077
12.800	450.044
12.900	453.005
13.000	455.962
13.100	458.915
13.200	461.864
13.300	464.812
13.400	467.759
13.500	470.705
13.600	473.651
13.700	476.596
13.800	479.541
13.900	482.485
14.000	485.430
14.100	488.375
14.200	491.320
14.300	494.266
14.400	497.213
14.500	500.161
14.600	503.110
14.700	506.061
14.800	509.013
14.900	511.967
15.000	514.923
15.100	517.882
15.200	520.843
15.300	523.806
15.400	526.773
15.500	529.742
15.600	532.715
15.700	535.691
15.800	538.671
15.900	541.655
16.000	544.644
16.100	547.636
16.200	550.633
16.300	553.636
16.400	556.643
16.500	559.655
16.600	562.673
16.700	565.697
16.800	568.727
16.900	571.763
17.000	574.806
17.100	577.855
17.200	580.911
17.300	583.974
17.400	587.045
17.500	590.124
17.600	593.210
17.700	596.305
17.800	599.408
17.900	602.520
18.000	605.640
18.100	608.770
18.200	611.910
18.300	615.058
18.400	618.217
18.500	621.387
18.600	624.566
18.700	627.757
18.800	630.958
18.900	634.170
19.000	637.391
19.100	640.622
19.200	643.861
19.300	647.110
19.400	650.369
19.500	653.639
19.600	656.918
19.700	660.208
19.800	663.509
19.900	666.821
20.000	670.145
20.100	673.480
20.200	676.827
20.300	680.186
20.400	683.558
20.500	686.942
20.600	690.340
20.700	693.750
20.800	697.174
20.900	700.612
21.000	704.064
21.100	707.531
21.200	711.012
21.300	714.507
21.400	718.019
21.500	721.545
21.600	725.088
21.700	728.646
21.800	732.221
21.900	735.812
22.000	739.421
22.100	743.047
22.200	746.690
22.300	750.351
22.400	754.031
22.500	757.729
22.600	761.445
22.700	765.181
22.800	768.937
22.900	772.712
23.000	776.507
23.100	780.323
23.200	784.159
23.300	788.017
23.400	791.892
23.500	795.783
23.600	799.690
23.700	803.611
23.800	807.549
23.900	811.502
24.000	815.472
24.100	819.458
24.200	823.462
24.300	827.482
24.400	831.520
24.500	835.576
24.600	839.650
24.700	843.743
24.800	847.854
24.900	851.984
25.000	856.133
25.100	860.302
25.200	864.490
25.300	868.699
25.400	872.929
25.500	877.179
25.600	881.450
25.700	885.750
25.800	890.076
25.900	894.429
26.000	898.809
26.100	903.217
26.200	907.652
26.300	912.114
26.400	916.604
26.500	921.122
26.600	925.669
26.700	930.244
26.800	934.848
26.900	939.481
27.000	944.143
27.100	948.835
27.200	953.556
27.300	958.308
27.400	963.089
27.500	967.902
27.600	972.744
27.700	977.618
27.800	982.523
27.900	987.459
28.000	992.427
28.100	997.427
28.200	1002.459
28.300	1007.522
28.400	1012.615
28.500	1017.738
28.600	1022.890
28.700	1028.073
28.800	1033.287
28.900	1038.531
29.000	1043.806
29.100	1049.112
29.200	1054.450
29.300	1059.820
29.400	1065.222
29.500	1070.656
29.600	1076.123
29.700	1081.623
29.800	1087.156
29.900	1092.722
30.000	1098.322
