x(m)	V(m/s)
0.00	10.000
0.11	13.489
0.26	16.985
0.45	20.488
0.69	23.999
0.99	27.517
1.33	31.041
1.73	34.573
2.18	38.112
2.69	41.657
3.26	45.209
3.89	48.768
4.58	52.333
5.33	55.905
6.15	59.483
7.03	63.067
7.98	66.658
9.00	70.254
10.08	73.857
11.23	77.466
12.45	81.080
13.75	84.701
15.12	88.327
16.55	91.959
18.07	95.596
19.65	99.239
21.32	102.888
23.06	106.541
24.87	110.200
26.77	113.865
28.74	117.534
30.79	121.208
32.93	124.888
35.14	128.572
37.44	132.261
39.81	135.955
42.27	139.653
44.82	143.356
47.45	147.064
50.16	150.776
52.96	154.492
55.84	158.213
58.82	161.938
61.87	165.667
65.02	169.400
68.26	173.137
71.58	176.878
75.00	180.623
78.50	184.371
82.09	188.123
85.78	191.874
89.56	195.624
93.43	199.371
97.39	203.116
101.45	206.858
105.59	210.597
109.84	214.332
114.17	218.063
118.60	221.788
123.13	225.509
127.75	229.223
132.46	232.931
137.27	236.632
142.18	240.326
147.18	244.012
152.28	247.690
157.47	251.358
162.76	255.018
168.15	258.667
173.63	262.306
179.21	265.933
184.89	269.549
190.66	273.151
196.53	276.735
202.50	280.300
208.57	283.848
214.73	287.375
220.99	290.883
227.34	294.369
233.79	297.835
240.34	301.278
246.98	304.699
253.72	308.097
260.56	311.473
267.49	314.825
274.52	318.154
281.64	321.458
288.85	324.738
296.16	327.992
303.57	331.221
311.07	334.423
318.66	337.606
326.34	340.775
334.12	343.931
341.99	347.073
349.96	350.202
358.02	353.317
366.17	356.418
374.41	359.507
382.75	362.583
391.18	365.646
399.71	368.699
408.32	371.749
417.04	374.795
425.84	377.838
434.74	380.878
443.73	383.915
452.81	386.950
461.99	389.982
471.26	393.013
480.63	396.041
490.09	399.067
499.65	402.090
509.30	405.110
519.05	408.127
528.89	411.142
538.83	414.153
548.86	417.162
558.99	420.169
569.22	423.173
579.54	426.175
589.95	429.176
600.47	432.173
611.08	435.164
621.78	438.150
632.58	441.131
643.48	444.107
654.48	447.077
665.57	450.044
676.76	453.005
688.05	455.962
699.43	458.915
710.91	461.864
722.49	464.812
734.16	467.759
745.94	470.705
757.81	473.651
769.77	476.596
781.84	479.541
794.01	482.485
806.27	485.430
818.63	488.375
831.09	491.320
843.65	494.266
856.31	497.213
869.07	500.161
881.93	503.110
894.89	506.061
907.95	509.013
921.11	511.967
934.37	514.923
947.73	517.882
961.19	520.843
974.76	523.806
988.42	526.773
1002.19	529.742
1016.06	532.715
1030.03	535.691
1044.11	538.671
1058.28	541.655
1072.56	544.644
1086.95	547.636
1101.44	550.633
1116.03	553.636
1130.73	556.643
1145.53	559.655
1160.43	562.673
1175.45	565.697
1190.56	568.727
1205.79	571.763
1221.12	574.806
1236.56	577.855
1252.10	580.911
1267.75	583.974
1283.51	587.045
1299.38	590.124
1315.36	593.210
1331.44	596.305
1347.64	599.408
1363.94	602.520
1380.36	605.640
1396.88	608.770
1413.52	611.910
1430.26	615.058
1447.12	618.217
1464.10	621.387
1481.18	624.566
1498.38	627.757
1515.69	630.958
1533.12	634.170
1550.66	637.391
1568.31	640.622
1586.08	643.861
1603.97	647.110
1621.98	650.369
1640.10	653.639
1658.33	656.918
1676.69	660.208
1695.16	663.509
1713.75	666.821
1732.46	670.145
1751.29	673.480
1770.24	676.827
1789.31	680.186
1808.51	683.558
1827.82	686.942
1847.26	690.340
1866.81	693.750
1886.50	697.174
1906.30	700.612
1926.23	704.064
1946.28	707.531
1966.46	711.012
1986.77	714.507
2007.20	718.019
2027.76	721.545
2048.45	725.088
2069.27	728.646
2090.21	732.221
2111.29	735.812
2132.49	739.421
2153.83	743.047
2175.29	746.690
2196.89	750.351
2218.63	754.031
2240.49	757.729
2262.49	761.445
2284.63	765.181
2306.90	768.937
2329.31	772.712
2351.86	776.507
2374.54	780.323
2397.37	784.159
2420.33	788.017
2443.43	791.892
2466.67	795.783
2490.06	799.690
2513.59	803.611
2537.26	807.549
2561.07	811.502
2585.03	815.472
2609.13	819.458
2633.38	823.462
2657.78	827.482
2682.32	831.520
2707.01	835.576
2731.84	839.650
2756.83	843.743
2781.96	847.854
2807.25	851.984
2832.69	856.133
2858.27	860.302
2884.01	864.490
2909.91	868.699
2935.96	872.929
2962.16	877.179
2988.52	881.450
3015.03	885.750
3041.70	890.076
3068.53	894.429
3095.53	898.809
3122.68	903.217
3149.99	907.652
3177.46	912.114
3205.10	916.604
3232.90	921.122
3260.87	925.669
3289.00	930.244
3317.30	934.848
3345.77	939.481
3374.41	944.143
3403.22	948.835
3432.20	953.556
3461.36	958.308
3490.69	963.089
3520.19	967.902
3549.87	972.744
3579.73	977.618
3609.76	982.523
3639.97	987.459
3670.37	992.427
3700.94	997.427
3731.70	1002.459
3762.65	1007.522
3793.77	1012.615
3825.09	1017.738
3856.59	1022.890
3888.28	1028.073
3920.16	1033.287
3952.23	1038.531
3984.49	1043.806
4016.94	1049.112
4049.59	1054.450
4082.43	1059.820
4115.47	1065.222
4148.71	1070.656
4182.14	1076.123
4215.78	1081.623
4249.61	1087.156
4283.65	1092.722
4317.89	1098.322
