t(c)	alpha(grad)
0.000	0.000
0.100	0.000
0.200	0.000
0.300	0.000
0.400	0.000
0.500	0.000
0.600	0.000
0.700	0.000
0.800	0.000
0.900	0.000
1.000	0.000
1.100	0.000
1.200	0.000
1.300	0.000
1.400	0.000
1.500	0.000
1.600	0.000
1.700	0.000
1.800	0.000
1.900	0.000
2.000	0.000
2.100	0.000
2.200	0.000
2.300	0.000
2.400	0.000
2.500	0.000
2.600	0.000
2.700	0.000
2.800	0.000
2.900	0.000
3.000	0.000
3.100	0.000
3.200	0.000
3.300	0.000
3.400	0.000
3.500	0.000
3.600	0.000
3.700	0.000
3.800	0.000
3.900	0.000
4.000	0.000
4.100	0.000
4.200	0.000
4.300	0.000
4.400	0.000
4.500	0.000
4.600	0.000
4.700	0.000
4.800	0.000
4.900	0.000
5.000	0.000
5.100	0.000
5.200	0.000
5.300	0.000
5.400	0.000
5.500	0.000
5.600	0.000
5.700	0.000
5.800	0.000
5.900	0.000
6.000	0.000
6.100	0.000
6.200	0.000
6.300	0.000
6.400	0.000
6.500	0.000
6.600	0.000
6.700	0.000
6.800	0.000
6.900	0.000
7.000	0.000
7.100	0.000
7.200	0.000
7.300	0.000
7.400	0.000
7.500	0.000
7.600	0.000
7.700	0.000
7.800	0.000
7.900	0.000
8.000	0.000
8.100	0.000
8.200	0.000
8.300	0.000
8.400	0.000
8.500	0.000
8.600	0.000
8.700	0.000
8.800	0.000
8.900	0.000
9.000	0.000
9.100	0.000
9.200	0.000
9.300	0.000
9.400	0.000
9.500	0.000
9.600	0.000
9.700	0.000
9.800	0.000
9.900	0.000
10.000	0.000
10.100	0.000
10.200	0.000
10.300	0.000
10.400	0.000
10.500	0.000
10.600	0.000
10.700	0.000
10.800	0.000
10.900	0.000
11.000	0.000
11.100	0.000
11.200	0.000
11.300	0.000
11.400	0.000
11.500	0.000
11.600	0.000
11.700	0.000
11.800	0.000
11.900	0.000
12.000	0.000
12.100	0.000
12.200	0.000
12.300	0.000
12.400	0.000
12.500	0.000
12.600	0.000
12.700	0.000
12.800	0.000
12.900	0.000
13.000	0.000
13.100	0.000
13.200	0.000
13.300	0.000
13.400	0.000
13.500	0.000
13.600	0.000
13.700	0.000
13.800	0.000
13.900	0.000
14.000	0.000
14.100	0.000
14.200	0.000
14.300	0.000
14.400	0.000
14.500	0.000
14.600	0.000
14.700	0.000
14.800	0.000
14.900	0.000
15.000	0.000
15.100	0.000
15.200	0.000
15.300	0.000
15.400	0.000
15.500	0.000
15.600	0.000
15.700	0.000
15.800	0.000
15.900	0.000
16.000	0.000
16.100	0.000
16.200	0.000
16.300	0.000
16.400	0.000
16.500	0.000
16.600	0.000
16.700	0.000
16.800	0.000
16.900	0.000
17.000	0.000
17.100	0.000
17.200	0.000
17.300	0.000
17.400	0.000
17.500	0.000
17.600	0.000
17.700	0.000
17.800	0.000
17.900	0.000
18.000	0.000
18.100	0.000
18.200	0.000
18.300	0.000
18.400	0.000
18.500	0.000
18.600	0.000
18.700	0.000
18.800	0.000
18.900	0.000
19.000	0.000
19.100	0.000
19.200	0.000
19.300	0.000
19.400	0.000
19.500	0.000
19.600	0.000
19.700	0.000
19.800	0.000
19.900	0.000
20.000	0.000
20.100	0.000
20.200	0.000
20.300	0.000
20.400	0.000
20.500	0.000
20.600	0.000
20.700	0.000
20.800	0.000
20.900	0.000
21.000	0.000
21.100	0.000
21.200	0.000
21.300	0.000
21.400	0.000
21.500	0.000
21.600	0.000
21.700	0.000
21.800	0.000
21.900	0.000
22.000	0.000
22.100	0.000
22.200	0.000
22.300	0.000
22.400	0.000
22.500	0.000
22.600	0.000
22.700	0.000
22.800	0.000
22.900	0.000
23.000	0.000
23.100	0.000
23.200	0.000
23.300	0.000
23.400	0.000
23.500	0.000
23.600	0.000
23.700	0.000
23.800	0.000
23.900	0.000
24.000	0.000
24.100	0.000
24.200	0.000
24.300	0.000
24.400	0.000
24.500	0.000
24.600	0.000
24.700	0.000
24.800	0.000
24.900	0.000
25.000	0.000
25.100	0.000
25.200	0.000
25.300	0.000
25.400	0.000
25.500	0.000
25.600	0.000
25.700	0.000
25.800	0.000
25.900	0.000
26.000	0.000
26.100	0.000
26.200	0.000
26.300	0.000
26.400	0.000
26.500	0.000
26.600	0.000
26.700	0.000
26.800	0.000
26.900	0.000
27.000	0.000
27.100	0.000
27.200	0.000
27.300	0.000
27.400	0.000
27.500	0.000
27.600	0.000
27.700	0.000
27.800	0.000
27.900	0.000
28.000	0.000
28.100	0.000
28.200	0.000
28.300	0.000
28.400	0.000
28.500	0.000
28.600	0.000
28.700	0.000
28.800	0.000
28.900	0.000
29.000	0.000
29.100	0.000
29.200	0.000
29.300	0.000
29.400	0.000
29.500	0.000
29.600	0.000
29.700	0.000
29.800	0.000
29.900	0.000
30.000	0.000
