t(c)	x(m)	y(m)	V(m/s)	theta_c(grad)	theta(grad)	alpha(grad)	omega_z(1/s)	M	Cxa	Cya_alpha	m(kg)	P(H)	g(m/s2)
0.000	0.00	0.00	10.000	85.000	85.000	0.000	0.0000	0.0294	0.3000	0.2500	1255.00	56000.0	9.8066
0.100	0.11	1.17	13.489	84.562	85.000	0.000	0.0000	0.0396	0.3000	0.2500	1253.00	56000.0	9.8066
0.200	0.26	2.69	16.985	84.199	85.000	0.000	0.0000	0.0499	0.3000	0.2500	1251.00	56000.0	9.8066
0.300	0.45	4.55	20.488	83.887	85.000	0.000	0.0000	0.0602	0.3000	0.2500	1249.00	56000.0	9.8066
0.400	0.69	6.76	23.999	83.612	85.000	0.000	0.0000	0.0705	0.3000	0.2500	1247.00	56000.0	9.8066
0.500	0.99	9.32	27.517	83.364	85.000	0.000	0.0000	0.0809	0.3000	0.2500	1245.00	56000.0	9.8066
0.600	1.33	12.23	31.041	83.138	85.000	0.000	0.0000	0.0912	0.3000	0.2500	1243.00	56000.0	9.8066
0.700	1.73	15.48	34.573	82.930	85.000	0.000	0.0000	0.1016	0.3000	0.2500	1241.00	56000.0	9.8066
0.800	2.18	19.09	38.112	82.737	85.000	0.000	0.0000	0.1120	0.3000	0.2500	1239.00	56000.0	9.8066
0.900	2.69	23.04	41.657	82.557	85.000	0.000	0.0000	0.1224	0.3000	0.2500	1237.00	56000.0	9.8066
1.000	3.26	27.35	45.209	82.387	85.000	0.000	0.0000	0.1329	0.3000	0.2500	1235.00	56000.0	9.8066
1.100	3.89	32.01	48.768	82.227	85.000	0.000	0.0000	0.1434	0.3000	0.2500	1233.00	56000.0	9.8066
1.200	4.58	37.01	52.333	82.075	85.000	0.000	0.0000	0.1539	0.3000	0.2500	1231.00	56000.0	9.8065
1.300	5.33	42.37	55.905	81.931	85.000	0.000	0.0000	0.1644	0.3000	0.2500	1229.00	56000.0	9.8065
1.400	6.15	48.08	59.483	81.793	85.000	0.000	0.0000	0.1749	0.3000	0.2500	1227.00	56000.0	9.8065
1.500	7.03	54.15	63.067	81.661	85.000	0.000	0.0000	0.1854	0.3000	0.2500	1225.00	56000.0	9.8065
1.600	7.98	60.57	66.658	81.534	85.000	0.000	0.0000	0.1960	0.3000	0.2500	1223.00	56000.0	9.8065
1.700	9.00	67.34	70.254	81.412	85.000	0.000	0.0000	0.2066	0.3000	0.2500	1221.00	56000.0	9.8064
1.800	10.08	74.46	73.857	81.295	85.000	0.000	0.0000	0.2172	0.3000	0.2500	1219.00	56000.0	9.8064
1.900	11.23	81.94	77.466	81.182	85.000	0.000	0.0000	0.2279	0.3000	0.2500	1217.00	56000.0	9.8064
2.000	12.45	89.77	81.080	81.073	85.000	0.000	0.0000	0.2385	0.3000	0.2500	1215.00	56000.0	9.8064
2.100	13.75	97.96	84.701	80.967	85.000	0.000	0.0000	0.2492	0.3000	0.2500	1213.00	56000.0	9.8063
2.200	15.12	106.50	88.327	80.864	85.000	0.000	0.0000	0.2599	0.3000	0.2500	1211.00	56000.0	9.8063
2.300	16.55	115.40	91.959	80.765	85.000	0.000	0.0000	0.2706	0.3000	0.2500	1209.00	56000.0	9.8063
2.400	18.07	124.65	95.596	80.668	85.000	0.000	0.0000	0.2813	0.3000	0.2500	1207.00	56000.0	9.8063
2.500	19.65	134.26	99.239	80.574	85.000	0.000	0.0000	0.2921	0.3000	0.2500	1205.00	56000.0	9.8062
2.600	21.32	144.23	102.888	80.483	85.000	0.000	0.0000	0.3028	0.3000	0.2500	1203.00	56000.0	9.8062
2.700	23.06	154.56	106.541	80.393	85.000	0.000	0.0000	0.3136	0.3000	0.2500	1201.00	56000.0	9.8062
2.800	24.87	165.24	110.200	80.307	85.000	0.000	0.0000	0.3244	0.3000	0.2500	1199.00	56000.0	9.8061
2.900	26.77	176.28	113.865	80.222	85.000	0.000	0.0000	0.3353	0.3000	0.2500	1197.00	56000.0	9.8061
3.000	28.74	187.68	117.534	80.139	85.000	0.000	0.0000	0.3461	0.3000	0.2500	1195.00	56000.0	9.8061
3.100	30.79	199.44	121.208	80.058	85.000	0.000	0.0000	0.3570	0.3000	0.2500	1193.00	56000.0	9.8060
3.200	32.93	211.56	124.888	79.979	85.000	0.000	0.0000	0.3679	0.3000	0.2500	1191.00	56000.0	9.8060
3.300	35.14	224.04	128.572	79.901	85.000	0.000	0.0000	0.3788	0.3000	0.2500	1189.00	56000.0	9.8060
3.400	37.44	236.88	132.261	79.826	85.000	0.000	0.0000	0.3897	0.3000	0.2500	1187.00	56000.0	9.8059
3.500	39.81	250.08	135.955	79.751	85.000	0.000	0.0000	0.4007	0.3000	0.2500	1185.00	56000.0	9.8059
3.600	42.27	263.64	139.653	79.678	85.000	0.000	0.0000	0.4116	0.3000	0.2500	1183.00	56000.0	9.8058
3.700	44.82	277.56	143.356	79.607	85.000	0.000	0.0000	0.4226	0.3000	0.2500	1181.00	56000.0	9.8058
3.800	47.45	291.84	147.064	79.537	85.000	0.000	0.0000	0.4336	0.3000	0.2500	1179.00	56000.0	9.8057
3.900	50.16	306.48	150.776	79.468	85.000	0.000	0.0000	0.4446	0.3000	0.2500	1177.00	56000.0	9.8057
4.000	52.96	321.48	154.492	79.401	85.000	0.000	0.0000	0.4557	0.3000	0.2500	1175.00	56000.0	9.8057
4.100	55.84	336.85	158.213	79.334	85.000	0.000	0.0000	0.4667	0.3000	0.2500	1173.00	56000.0	9.8056
4.200	58.82	352.58	161.938	79.269	85.000	0.000	0.0000	0.4778	0.3000	0.2500	1171.00	56000.0	9.8056
4.300	61.87	368.67	165.667	79.205	85.000	0.000	0.0000	0.4889	0.3000	0.2500	1169.00	56000.0	9.8055
4.400	65.02	385.13	169.400	79.142	85.000	0.000	0.0000	0.5000	0.3000	0.2500	1167.00	56000.0	9.8055
4.500	68.26	401.95	173.137	79.080	85.000	0.000	0.0000	0.5111	0.3000	0.2500	1165.00	56000.0	9.8054
4.600	71.58	419.13	176.878	79.019	85.000	0.000	0.0000	0.5223	0.3000	0.2500	1163.00	56000.0	9.8054
4.700	75.00	436.67	180.623	78.959	85.000	0.000	0.0000	0.5334	0.3000	0.2500	1161.00	56000.0	9.8053
4.800	78.50	454.58	184.371	78.900	85.000	0.000	0.0000	0.5446	0.3000	0.2500	1159.00	56000.0	9.8052
4.900	82.09	472.86	188.123	78.842	85.000	0.000	0.0000	0.5558	0.3058	0.2500	1157.00	56000.0	9.8052
5.000	85.78	491.50	191.874	78.785	85.000	0.000	0.0000	0.5670	0.3170	0.2500	1155.00	56000.0	9.8051
5.100	89.56	510.50	195.624	78.728	85.000	0.000	0.0000	0.5782	0.3282	0.2500	1153.00	56000.0	9.8051
5.200	93.43	529.87	199.371	78.672	85.000	0.000	0.0000	0.5894	0.3394	0.2500	1151.00	56000.0	9.8050
5.300	97.39	549.60	203.116	78.617	85.000	0.000	0.0000	0.6006	0.3506	0.2500	1149.00	56000.0	9.8050
5.400	101.45	569.69	206.858	78.563	85.000	0.000	0.0000	0.6118	0.3618	0.2500	1147.00	56000.0	9.8049
5.500	105.59	590.15	210.597	78.510	85.000	0.000	0.0000	0.6230	0.3730	0.2500	1145.00	56000.0	9.8048
5.600	109.84	610.97	214.332	78.457	85.000	0.000	0.0000	0.6342	0.3842	0.2500	1143.00	56000.0	9.8048
5.700	114.17	632.15	218.063	78.405	85.000	0.000	0.0000	0.6454	0.3954	0.2500	1141.00	56000.0	9.8047
5.800	118.60	653.69	221.788	78.353	85.000	0.000	0.0000	0.6566	0.4066	0.2500	1139.00	56000.0	9.8046
5.900	123.13	675.59	225.509	78.302	85.000	0.000	0.0000	0.6678	0.4178	0.2500	1137.00	56000.0	9.8046
6.000	127.75	697.85	229.223	78.252	85.000	0.000	0.0000	0.6790	0.4290	0.2500	1135.00	56000.0	9.8045
6.100	132.46	720.47	232.931	78.203	85.000	0.000	0.0000	0.6901	0.4401	0.2500	1133.00	56000.0	9.8044
6.200	137.27	743.46	236.632	78.154	85.000	0.000	0.0000	0.7013	0.4513	0.2500	1131.00	56000.0	9.8044
6.300	142.18	766.79	240.326	78.105	85.000	0.000	0.0000	0.7124	0.4624	0.2500	1129.00	56000.0	9.8043
6.400	147.18	790.49	244.012	78.057	85.000	0.000	0.0000	0.7235	0.4735	0.2500	1127.00	56000.0	9.8042
6.500	152.28	814.54	247.690	78.010	85.000	0.000	0.0000	0.7346	0.4846	0.2500	1125.00	56000.0	9.8041
6.600	157.47	838.94	251.358	77.963	85.000	0.000	0.0000	0.7457	0.4957	0.2500	1123.00	56000.0	9.8041
6.700	162.76	863.71	255.018	77.917	85.000	0.000	0.0000	0.7568	0.5068	0.2500	1121.00	56000.0	9.8040
6.800	168.15	888.82	258.667	77.871	85.000	0.000	0.0000	0.7679	0.5179	0.2500	1119.00	56000.0	9.8039
6.900	173.63	914.28	262.306	77.825	85.000	0.000	0.0000	0.7789	0.5289	0.2500	1117.00	56000.0	9.8038
7.000	179.21	940.10	265.933	77.781	85.000	0.000	0.0000	0.7899	0.5399	0.2500	1115.00	56000.0	9.8038
7.100	184.89	966.26	269.549	77.736	85.000	0.000	0.0000	0.8009	0.5513	0.2496	1113.00	56000.0	9.8037
7.200	190.66	992.78	273.151	77.692	85.000	0.000	0.0000	0.8118	0.5677	0.2441	1111.00	56000.0	9.8036
7.300	196.53	1019.64	276.735	77.648	85.000	0.000	0.0000	0.8227	0.5841	0.2386	1109.00	56000.0	9.8035
7.400	202.50	1046.84	280.300	77.605	85.000	0.000	0.0000	0.8336	0.6004	0.2332	1107.00	56000.0	9.8034
7.500	208.57	1074.39	283.848	77.562	85.000	0.000	0.0000	0.8444	0.6166	0.2278	1105.00	56000.0	9.8033
7.600	214.73	1102.28	287.375	77.520	85.000	0.000	0.0000	0.8552	0.6328	0.2224	1103.00	56000.0	9.8032
7.700	220.99	1130.51	290.883	77.478	85.000	0.000	0.0000	0.8659	0.6489	0.2170	1101.00	56000.0	9.8032
7.800	227.34	1159.07	294.369	77.436	85.000	0.000	0.0000	0.8766	0.6649	0.2117	1099.00	56000.0	9.8031
7.900	233.79	1187.97	297.835	77.395	85.000	0.000	0.0000	0.8872	0.6808	0.2064	1097.00	56000.0	9.8030
8.000	240.34	1217.20	301.278	77.354	85.000	0.000	0.0000	0.8978	0.6966	0.2011	1095.00	56000.0	9.8029
8.100	246.98	1246.76	304.699	77.313	85.000	0.000	0.0000	0.9083	0.7116	0.2083	1093.00	56000.0	9.8028
8.200	253.72	1276.65	308.097	77.273	85.000	0.000	0.0000	0.9187	0.7262	0.2187	1091.00	56000.0	9.8027
8.300	260.56	1306.87	311.473	77.233	85.000	0.000	0.0000	0.9291	0.7407	0.2291	1089.00	56000.0	9.8026
8.400	267.49	1337.41	314.825	77.193	85.000	0.000	0.0000	0.9394	0.7552	0.2394	1087.00	56000.0	9.8025
8.500	274.52	1368.27	318.154	77.154	85.000	0.000	0.0000	0.9497	0.7696	0.2497	1085.00	56000.0	9.8024
8.600	281.64	1399.44	321.458	77.115	85.000	0.000	0.0000	0.9599	0.7839	0.2599	1083.00	56000.0	9.8023
8.700	288.85	1430.94	324.738	77.076	85.000	0.000	0.0000	0.9701	0.7981	0.2701	1081.00	56000.0	9.8022
8.800	296.16	1462.75	327.992	77.037	85.000	0.000	0.0000	0.9802	0.8122	0.2802	1079.00	56000.0	9.8021
8.900	303.57	1494.86	331.221	76.999	85.000	0.000	0.0000	0.9902	0.8262	0.2902	1077.00	56000.0	9.8020
9.000	311.07	1527.29	334.423	76.961	85.000	0.000	0.0000	1.0001	0.8400	0.3000	1075.00	56000.0	9.8019
9.100	318.66	1560.02	337.606	76.923	85.000	0.000	0.0000	1.0100	0.8433	0.3017	1073.00	56000.0	9.8018
9.200	326.34	1593.06	340.775	76.886	85.000	0.000	0.0000	1.0199	0.8466	0.3033	1071.00	56000.0	9.8017
9.300	334.12	1626.40	343.931	76.848	85.000	0.000	0.0000	1.0297	0.8499	0.3050	1069.00	56000.0	9.8016
9.400	341.99	1660.04	347.073	76.811	85.000	0.000	0.0000	1.0396	0.8532	0.3066	1067.00	56000.0	9.8015
9.500	349.96	1693.98	350.202	76.775	85.000	0.000	0.0000	1.0494	0.8565	0.3082	1065.00	56000.0	9.8014
9.600	358.02	1728.22	353.317	76.738	85.000	0.000	0.0000	1.0591	0.8597	0.3099	1063.00	56000.0	9.8013
9.700	366.17	1762.76	356.418	76.702	85.000	0.000	0.0000	1.0688	0.8622	0.2967	1061.00	56000.0	9.8012
9.800	374.41	1797.60	359.507	76.666	85.000	0.000	0.0000	1.0785	0.8646	0.2822	1059.00	56000.0	9.8011
9.900	382.75	1832.72	362.583	76.630	85.000	0.000	0.0000	1.0882	0.8671	0.2677	1057.00	56000.0	9.8010
10.000	391.18	1868.15	365.646	76.594	85.000	0.000	0.0000	1.0979	0.8695	0.2532	1055.00	56000.0	9.8009
10.100	399.71	1903.86	368.699	76.558	85.000	0.000	0.0000	1.1075	0.8670	0.2500	1053.00	56000.0	9.8008
10.200	408.32	1939.87	371.749	76.523	85.000	0.000	0.0000	1.1171	0.8631	0.2500	1051.00	56000.0	9.8007
10.300	417.04	1976.16	374.795	76.488	85.000	0.000	0.0000	1.1268	0.8593	0.2500	1049.00	56000.0	9.8006
10.400	425.84	2012.75	377.838	76.453	85.000	0.000	0.0000	1.1364	0.8554	0.2500	1047.00	56000.0	9.8004
10.500	434.74	2049.63	380.878	76.418	85.000	0.000	0.0000	1.1461	0.8516	0.2500	1045.00	56000.0	9.8003
10.600	443.73	2086.80	383.915	76.384	85.000	0.000	0.0000	1.1557	0.8477	0.2500	1043.00	56000.0	9.8002
10.700	452.81	2124.25	386.950	76.350	85.000	0.000	0.0000	1.1654	0.8439	0.2500	1041.00	56000.0	9.8001
10.800	461.99	2162.00	389.982	76.315	85.000	0.000	0.0000	1.1750	0.8400	0.2500	1039.00	56000.0	9.8000
10.900	471.26	2200.04	393.013	76.281	85.000	0.000	0.0000	1.1847	0.8361	0.2500	1037.00	56000.0	9.7999
11.000	480.63	2238.36	396.041	76.248	85.000	0.000	0.0000	1.1944	0.8323	0.2500	1035.00	56000.0	9.7997
11.100	490.09	2276.97	399.067	76.214	85.000	0.000	0.0000	1.2040	0.8288	0.2500	1033.00	56000.0	9.7996
11.200	499.65	2315.87	402.090	76.181	85.000	0.000	0.0000	1.2137	0.8259	0.2500	1031.00	56000.0	9.7995
11.300	509.30	2355.06	405.110	76.147	85.000	0.000	0.0000	1.2234	0.8230	0.2500	1029.00	56000.0	9.7994
11.400	519.05	2394.54	408.127	76.114	85.000	0.000	0.0000	1.2331	0.8201	0.2500	1027.00	56000.0	9.7993
11.500	528.89	2434.30	411.142	76.081	85.000	0.000	0.0000	1.2428	0.8172	0.2500	1025.00	56000.0	9.7991
11.600	538.83	2474.35	414.153	76.048	85.000	0.000	0.0000	1.2525	0.8143	0.2500	1023.00	56000.0	9.7990
11.700	548.86	2514.69	417.162	76.016	85.000	0.000	0.0000	1.2622	0.8113	0.2500	1021.00	56000.0	9.7989
11.800	558.99	2555.31	420.169	75.983	85.000	0.000	0.0000	1.2719	0.8084	0.2500	1019.00	56000.0	9.7988
11.900	569.22	2596.22	423.173	75.951	85.000	0.000	0.0000	1.2816	0.8055	0.2500	1017.00	56000.0	9.7986
12.000	579.54	2637.42	426.175	75.919	85.000	0.000	0.0000	1.2914	0.8026	0.2500	1015.00	56000.0	9.7985
12.100	589.95	2678.90	429.176	75.887	85.000	0.000	0.0000	1.3011	0.7999	0.2500	1013.00	56000.0	9.7984
12.200	600.47	2720.66	432.173	75.855	85.000	0.000	0.0000	1.3108	0.7989	0.2500	1011.00	56000.0	9.7983
12.300	611.08	2762.71	435.164	75.824	85.000	0.000	0.0000	1.3206	0.7979	0.2500	1009.00	56000.0	9.7981
12.400	621.78	2805.04	438.150	75.792	85.000	0.000	0.0000	1.3303	0.7970	0.2500	1007.00	56000.0	9.7980
12.500	632.58	2847.66	441.131	75.761	85.000	0.000	0.0000	1.3401	0.7960	0.2500	1005.00	56000.0	9.7979
12.600	643.48	2890.56	444.107	75.729	85.000	0.000	0.0000	1.3498	0.7950	0.2500	1003.00	56000.0	9.7977
12.700	654.48	2933.74	447.077	75.698	85.000	0.000	0.0000	1.3595	0.7940	0.2500	1001.00	56000.0	9.7976
12.800	665.57	2977.20	450.044	75.667	85.000	0.000	0.0000	1.3693	0.7931	0.2500	999.00	56000.0	9.7975
12.900	676.76	3020.95	453.005	75.637	85.000	0.000	0.0000	1.3790	0.7921	0.2500	997.00	56000.0	9.7973
13.000	688.05	3064.97	455.962	75.606	85.000	0.000	0.0000	1.3888	0.7911	0.2500	995.00	56000.0	9.7972
13.100	699.43	3109.28	458.915	75.575	85.000	0.000	0.0000	1.3985	0.7902	0.2500	993.00	56000.0	9.7971
13.200	710.91	3153.86	461.864	75.545	85.000	0.000	0.0000	1.4082	0.7881	0.2500	991.00	56000.0	9.7969
13.300	722.49	3198.72	464.812	75.515	85.000	0.000	0.0000	1.4180	0.7858	0.2500	989.00	56000.0	9.7968
13.400	734.16	3243.87	467.759	75.485	85.000	0.000	0.0000	1.4278	0.7835	0.2500	987.00	56000.0	9.7966
13.500	745.94	3289.29	470.705	75.455	85.000	0.000	0.0000	1.4376	0.7812	0.2500	985.00	56000.0	9.7965
13.600	757.81	3334.99	473.651	75.425	85.000	0.000	0.0000	1.4474	0.7789	0.2500	983.00	56000.0	9.7964
13.700	769.77	3380.97	476.596	75.395	85.000	0.000	0.0000	1.4572	0.7767	0.2500	981.00	56000.0	9.7962
13.800	781.84	3427.23	479.541	75.365	85.000	0.000	0.0000	1.4670	0.7744	0.2500	979.00	56000.0	9.7961
13.900	794.01	3473.77	482.485	75.336	85.000	0.000	0.0000	1.4769	0.7721	0.2500	977.00	56000.0	9.7959
14.000	806.27	3520.58	485.430	75.306	85.000	0.000	0.0000	1.4867	0.7698	0.2500	975.00	56000.0	9.7958
14.100	818.63	3567.68	488.375	75.277	85.000	0.000	0.0000	1.4966	0.7675	0.2500	973.00	56000.0	9.7957
14.200	831.09	3615.05	491.320	75.248	85.000	0.000	0.0000	1.5065	0.7651	0.2500	971.00	56000.0	9.7955
14.300	843.65	3662.70	494.266	75.219	85.000	0.000	0.0000	1.5164	0.7628	0.2500	969.00	56000.0	9.7954
14.400	856.31	3710.63	497.213	75.190	85.000	0.000	0.0000	1.5264	0.7605	0.2500	967.00	56000.0	9.7952
14.500	869.07	3758.84	500.161	75.161	85.000	0.000	0.0000	1.5363	0.7582	0.2500	965.00	56000.0	9.7951
14.600	881.93	3807.33	503.110	75.133	85.000	0.000	0.0000	1.5463	0.7559	0.2500	963.00	56000.0	9.7949
14.700	894.89	3856.10	506.061	75.104	85.000	0.000	0.0000	1.5563	0.7535	0.2500	961.00	56000.0	9.7948
14.800	907.95	3905.14	509.013	75.076	85.000	0.000	0.0000	1.5663	0.7512	0.2500	959.00	56000.0	9.7946
14.900	921.11	3954.46	511.967	75.047	85.000	0.000	0.0000	1.5764	0.7488	0.2500	957.00	56000.0	9.7945
15.000	934.37	4004.07	514.923	75.019	85.000	0.000	0.0000	1.5865	0.7465	0.2500	955.00	56000.0	9.7943
15.100	947.73	4053.95	517.882	74.991	85.000	0.000	0.0000	1.5966	0.7441	0.2500	953.00	56000.0	9.7942
15.200	961.19	4104.11	520.843	74.963	85.000	0.000	0.0000	1.6067	0.7418	0.2500	951.00	56000.0	9.7940
15.300	974.76	4154.55	523.806	74.935	85.000	0.000	0.0000	1.6168	0.7394	0.2500	949.00	56000.0	9.7938
15.400	988.42	4205.27	526.773	74.907	85.000	0.000	0.0000	1.6270	0.7370	0.2500	947.00	56000.0	9.7937
15.500	1002.19	4256.27	529.742	74.879	85.000	0.000	0.0000	1.6372	0.7346	0.2500	945.00	56000.0	9.7935
15.600	1016.06	4307.55	532.715	74.852	85.000	0.000	0.0000	1.6475	0.7323	0.2500	943.00	56000.0	9.7934
15.700	1030.03	4359.11	535.691	74.824	85.000	0.000	0.0000	1.6578	0.7299	0.2500	941.00	56000.0	9.7932
15.800	1044.11	4410.95	538.671	74.797	85.000	0.000	0.0000	1.6681	0.7275	0.2500	939.00	56000.0	9.7931
15.900	1058.28	4463.08	541.655	74.770	85.000	0.000	0.0000	1.6784	0.7250	0.2500	937.00	56000.0	9.7929
16.000	1072.56	4515.48	544.644	74.743	85.000	0.000	0.0000	1.6888	0.7226	0.2500	935.00	56000.0	9.7927
16.100	1086.95	4568.17	547.636	74.716	85.000	0.000	0.0000	1.6992	0.7202	0.2500	933.00	56000.0	9.7926
16.200	1101.44	4621.13	550.633	74.689	85.000	0.000	0.0000	1.7096	0.7178	0.2500	931.00	56000.0	9.7924
16.300	1116.03	4674.38	553.636	74.662	85.000	0.000	0.0000	1.7201	0.7153	0.2500	929.00	56000.0	9.7922
16.400	1130.73	4727.92	556.643	74.635	85.000	0.000	0.0000	1.7306	0.7129	0.2500	927.00	56000.0	9.7921
16.500	1145.53	4781.73	559.655	74.608	85.000	0.000	0.0000	1.7411	0.7104	0.2500	925.00	56000.0	9.7919
16.600	1160.43	4835.83	562.673	74.582	85.000	0.000	0.0000	1.7517	0.7079	0.2500	923.00	56000.0	9.7917
