t(c)	theta_c(grad)
0.000	85.000
0.100	84.562
0.200	84.199
0.300	83.887
0.400	83.612
0.500	83.364
0.600	83.138
0.700	82.930
0.800	82.737
0.900	82.557
1.000	82.387
1.100	82.227
1.200	82.075
1.300	81.931
1.400	81.793
1.500	81.661
1.600	81.534
1.700	81.412
1.800	81.295
1.900	81.182
2.000	81.073
2.100	80.967
2.200	80.864
2.300	80.765
2.400	80.668
2.500	80.574
2.600	80.483
2.700	80.393
2.800	80.307
2.900	80.222
3.000	80.139
3.100	80.058
3.200	79.979
3.300	79.901
3.400	79.826
3.500	79.751
3.600	79.678
3.700	79.607
3.800	79.537
3.900	79.468
4.000	79.401
4.100	79.334
4.200	79.269
4.300	79.205
4.400	79.142
4.500	79.080
4.600	79.019
4.700	78.959
4.800	78.900
4.900	78.842
5.000	78.785
5.100	78.728
5.200	78.672
5.300	78.617
5.400	78.563
5.500	78.510
5.600	78.457
5.700	78.405
5.800	78.353
5.900	78.302
6.000	78.252
6.100	78.203
6.200	78.154
6.300	78.105
6.400	78.057
6.500	78.010
6.600	77.963
6.700	77.917
6.800	77.871
6.900	77.825
7.000	77.781
7.100	77.736
7.200	77.692
7.300	77.648
7.400	77.605
7.500	77.562
7.600	77.520
7.700	77.478
7.800	77.436
7.900	77.395
8.000	77.354
8.100	77.313
8.200	77.273
8.300	77.233
8.400	77.193
8.500	77.154
8.600	77.115
8.700	77.076
8.800	77.037
8.900	76.999
9.000	76.961
9.100	76.923
9.200	76.886
9.300	76.848
9.400	76.811
9.500	76.775
9.600	76.738
9.700	76.702
9.800	76.666
9.900	76.630
10.000	76.594
10.100	76.558
10.200	76.523
10.300	76.488
10.400	76.453
10.500	76.418
10.600	76.384
10.700	76.350
10.800	76.315
10.900	76.281
11.000	76.248
11.100	76.214
11.200	76.181
11.300	76.147
11.400	76.114
11.500	76.081
11.600	76.048
11.700	76.016
11.800	75.983
11.900	75.951
12.000	75.919
12.100	75.887
12.200	75.855
12.300	75.824
12.400	75.792
12.500	75.761
12.600	75.729
12.700	75.698
12.800	75.667
12.900	75.637
13.000	75.606
13.100	75.575
13.200	75.545
13.300	75.515
13.400	75.485
13.500	75.455
13.600	75.425
13.700	75.395
13.800	75.365
13.900	75.336
14.000	75.306
14.100	75.277
14.200	75.248
14.300	75.219
14.400	75.190
14.500	75.161
14.600	75.133
14.700	75.104
14.800	75.076
14.900	75.047
15.000	75.019
15.100	74.991
15.200	74.963
15.300	74.935
15.400	74.907
15.500	74.879
15.600	74.852
15.700	74.824
15.800	74.797
15.900	74.770
16.000	74.743
16.100	74.716
16.200	74.689
16.300	74.662
16.400	74.635
16.500	74.608
16.600	74.582
16.700	74.555
16.800	74.529
16.900	74.503
17.000	74.477
17.100	74.450
17.200	74.425
17.300	74.399
17.400	74.373
17.500	74.347
17.600	74.322
17.700	74.296
17.800	74.271
17.900	74.245
18.000	74.220
18.100	74.195
18.200	74.170
18.300	74.145
18.400	74.120
18.500	74.095
18.600	74.071
18.700	74.046
18.800	74.021
18.900	73.997
19.000	73.973
19.100	73.948
19.200	73.924
19.300	73.900
19.400	73.876
19.500	73.852
19.600	73.829
19.700	73.805
19.800	73.781
19.900	73.758
20.000	73.734
20.100	73.711
20.200	73.687
20.300	73.664
20.400	73.641
20.500	73.618
20.600	73.595
20.700	73.572
20.800	73.549
20.900	73.527
21.000	73.504
21.100	73.481
21.200	73.459
21.300	73.436
21.400	73.414
21.500	73.392
21.600	73.370
21.700	73.348
21.800	73.326
21.900	73.304
22.000	73.282
22.100	73.260
22.200	73.238
22.300	73.217
22.400	73.195
22.500	73.174
22.600	73.153
22.700	73.131
22.800	73.110
22.900	73.089
23.000	73.068
23.100	73.047
23.200	73.026
23.300	73.005
23.400	72.984
23.500	72.964
23.600	72.943
23.700	72.923
23.800	72.902
23.900	72.882
24.000	72.862
24.100	72.841
24.200	72.821
24.300	72.801
24.400	72.781
24.500	72.761
24.600	72.741
24.700	72.722
24.800	72.702
24.900	72.682
25.000	72.663
25.100	72.643
25.200	72.624
25.300	72.605
25.400	72.586
25.500	72.566
25.600	72.547
25.700	72.528
25.800	72.509
25.900	72.490
26.000	72.472
26.100	72.453
26.200	72.434
26.300	72.416
26.400	72.397
26.500	72.379
26.600	72.360
26.700	72.342
26.800	72.324
26.900	72.306
27.000	72.288
27.100	72.270
27.200	72.252
27.300	72.234
27.400	72.216
27.500	72.198
27.600	72.181
27.700	72.163
27.800	72.146
27.900	72.128
28.000	72.111
28.100	72.094
28.200	72.076
28.300	72.059
28.400	72.042
28.500	72.025
28.600	72.008
28.700	71.991
28.800	71.975
28.900	71.958
29.000	71.941
29.100	71.925
29.200	71.908
29.300	71.892
29.400	71.875
29.500	71.859
29.600	71.843
29.700	71.827
29.800	71.811
29.900	71.795
30.000	71.779
