x(m)	theta_c(grad)
0.00	85.000
0.11	84.562
0.26	84.199
0.45	83.887
0.69	83.612
0.99	83.364
1.33	83.138
1.73	82.930
2.18	82.737
2.69	82.557
3.26	82.387
3.89	82.227
4.58	82.075
5.33	81.931
6.15	81.793
7.03	81.661
7.98	81.534
9.00	81.412
10.08	81.295
11.23	81.182
12.45	81.073
13.75	80.967
15.12	80.864
16.55	80.765
18.07	80.668
19.65	80.574
21.32	80.483
23.06	80.393
24.87	80.307
26.77	80.222
28.74	80.139
30.79	80.058
32.93	79.979
35.14	79.901
37.44	79.826
39.81	79.751
42.27	79.678
44.82	79.607
47.45	79.537
50.16	79.468
52.96	79.401
55.84	79.334
58.82	79.269
61.87	79.205
65.02	79.142
68.26	79.080
71.58	79.019
75.00	78.959
78.50	78.900
82.09	78.842
85.78	78.785
89.56	78.728
93.43	78.672
97.39	78.617
101.45	78.563
105.59	78.510
109.84	78.457
114.17	78.405
118.60	78.353
123.13	78.302
127.75	78.252
132.46	78.203
137.27	78.154
142.18	78.105
147.18	78.057
152.28	78.010
157.47	77.963
162.76	77.917
168.15	77.871
173.63	77.825
179.21	77.781
184.89	77.736
190.66	77.692
196.53	77.648
202.50	77.605
208.57	77.562
214.73	77.520
220.99	77.478
227.34	77.436
233.79	77.395
240.34	77.354
246.98	77.313
253.72	77.273
260.56	77.233
267.49	77.193
274.52	77.154
281.64	77.115
288.85	77.076
296.16	77.037
303.57	76.999
311.07	76.961
318.66	76.923
326.34	76.886
334.12	76.848
341.99	76.811
349.96	76.775
358.02	76.738
366.17	76.702
374.41	76.666
382.75	76.630
391.18	76.594
399.71	76.558
408.32	76.523
417.04	76.488
425.84	76.453
434.74	76.418
443.73	76.384
452.81	76.350
461.99	76.315
471.26	76.281
480.63	76.248
490.09	76.214
499.65	76.181
509.30	76.147
519.05	76.114
528.89	76.081
538.83	76.048
548.86	76.016
558.99	75.983
569.22	75.951
579.54	75.919
589.95	75.887
600.47	75.855
611.08	75.824
621.78	75.792
632.58	75.761
643.48	75.729
654.48	75.698
665.57	75.667
676.76	75.637
688.05	75.606
699.43	75.575
710.91	75.545
722.49	75.515
734.16	75.485
745.94	75.455
757.81	75.425
769.77	75.395
781.84	75.365
794.01	75.336
806.27	75.306
818.63	75.277
831.09	75.248
843.65	75.219
856.31	75.190
869.07	75.161
881.93	75.133
894.89	75.104
907.95	75.076
921.11	75.047
934.37	75.019
947.73	74.991
961.19	74.963
974.76	74.935
988.42	74.907
1002.19	74.879
1016.06	74.852
1030.03	74.824
1044.11	74.797
1058.28	74.770
1072.56	74.743
1086.95	74.716
1101.44	74.689
1116.03	74.662
1130.73	74.635
1145.53	74.608
1160.43	74.582
1175.45	74.555
1190.56	74.529
1205.79	74.503
1221.12	74.477
1236.56	74.450
1252.10	74.425
1267.75	74.399
1283.51	74.373
1299.38	74.347
1315.36	74.322
1331.44	74.296
1347.64	74.271
1363.94	74.245
1380.36	74.220
1396.88	74.195
1413.52	74.170
1430.26	74.145
1447.12	74.120
1464.10	74.095
1481.18	74.071
1498.38	74.046
1515.69	74.021
1533.12	73.997
1550.66	73.973
1568.31	73.948
1586.08	73.924
1603.97	73.900
1621.98	73.876
1640.10	73.852
1658.33	73.829
1676.69	73.805
1695.16	73.781
1713.75	73.758
1732.46	73.734
1751.29	73.711
1770.24	73.687
1789.31	73.664
1808.51	73.641
1827.82	73.618
1847.26	73.595
1866.81	73.572
1886.50	73.549
1906.30	73.527
1926.23	73.504
1946.28	73.481
1966.46	73.459
1986.77	73.436
2007.20	73.414
2027.76	73.392
2048.45	73.370
2069.27	73.348
2090.21	73.326
2111.29	73.304
2132.49	73.282
2153.83	73.260
2175.29	73.238
2196.89	73.217
2218.63	73.195
2240.49	73.174
2262.49	73.153
2284.63	73.131
2306.90	73.110
2329.31	73.089
2351.86	73.068
2374.54	73.047
2397.37	73.026
2420.33	73.005
2443.43	72.984
2466.67	72.964
2490.06	72.943
2513.59	72.923
2537.26	72.902
2561.07	72.882
2585.03	72.862
2609.13	72.841
2633.38	72.821
2657.78	72.801
2682.32	72.781
2707.01	72.761
2731.84	72.741
2756.83	72.722
2781.96	72.702
2807.25	72.682
2832.69	72.663
2858.27	72.643
2884.01	72.624
2909.91	72.605
2935.96	72.586
2962.16	72.566
2988.52	72.547
3015.03	72.528
3041.70	72.509
3068.53	72.490
3095.53	72.472
3122.68	72.453
3149.99	72.434
3177.46	72.416
3205.10	72.397
3232.90	72.379
3260.87	72.360
3289.00	72.342
3317.30	72.324
3345.77	72.306
3374.41	72.288
3403.22	72.270
3432.20	72.252
3461.36	72.234
3490.69	72.216
3520.19	72.198
3549.87	72.181
3579.73	72.163
3609.76	72.146
3639.97	72.128
3670.37	72.111
3700.94	72.094
3731.70	72.076
3762.65	72.059
3793.77	72.042
3825.09	72.025
3856.59	72.008
3888.28	71.991
3920.16	71.975
3952.23	71.958
3984.49	71.941
4016.94	71.925
4049.59	71.908
4082.43	71.892
4115.47	71.875
4148.71	71.859
4182.14	71.843
4215.78	71.827
4249.61	71.811
4283.65	71.795
4317.89	71.779
