t(c)	x(m)
0.000	0.00
0.100	0.11
0.200	0.26
0.300	0.45
0.400	0.69
0.500	0.99
0.600	1.33
0.700	1.73
0.800	2.18
0.900	2.69
1.000	3.26
1.100	3.89
1.200	4.58
1.300	5.33
1.400	6.15
1.500	7.03
1.600	7.98
1.700	9.00
1.800	10.08
1.900	11.23
2.000	12.45
2.100	13.75
2.200	15.12
2.300	16.55
2.400	18.07
2.500	19.65
2.600	21.32
2.700	23.06
2.800	24.87
2.900	26.77
3.000	28.74
3.100	30.79
3.200	32.93
3.300	35.14
3.400	37.44
3.500	39.81
3.600	42.27
3.700	44.82
3.800	47.45
3.900	50.16
4.000	52.96
4.100	55.84
4.200	58.82
4.300	61.87
4.400	65.02
4.500	68.26
4.600	71.58
4.700	75.00
4.800	78.50
4.900	82.09
5.000	85.78
5.100	89.56
5.200	93.43
5.300	97.39
5.400	101.45
5.500	105.59
5.600	109.84
5.700	114.17
5.800	118.60
5.900	123.13
6.000	127.75
6.100	132.46
6.200	137.27
6.300	142.18
6.400	147.18
6.500	152.28
6.600	157.47
6.700	162.76
6.800	168.15
6.900	173.63
7.000	179.21
7.100	184.89
7.200	190.66
7.300	196.53
7.400	202.50
7.500	208.57
7.600	214.73
7.700	220.99
7.800	227.34
7.900	233.79
8.000	240.34
8.100	246.98
8.200	253.72
8.300	260.56
8.400	267.49
8.500	274.52
8.600	281.64
8.700	288.85
8.800	296.16
8.900	303.57
9.000	311.07
9.100	318.66
9.200	326.34
9.300	334.12
9.400	341.99
9.500	349.96
9.600	358.02
9.700	366.17
9.800	374.41
9.900	382.75
10.000	391.18
10.100	399.71
10.200	408.32
10.300	417.04
10.400	425.84
10.500	434.74
10.600	443.73
10.700	452.81
10.800	461.99
10.900	471.26
11.000	480.63
11.100	490.09
11.200	499.65
11.300	509.30
11.400	519.05
11.500	528.89
11.600	538.83
11.700	548.86
11.800	558.99
11.900	569.22
12.000	579.54
12.100	589.95
12.200	600.47
12.300	611.08
12.400	621.78
12.500	632.58
12.600	643.48
12.700	654.48
12.800	665.57
12.900	676.76
13.000	688.05
13.100	699.43
13.200	710.91
13.300	722.49
13.400	734.16
13.500	745.94
13.600	757.81
13.700	769.77
13.800	781.84
13.900	794.01
14.000	806.27
14.100	818.63
14.200	831.09
14.300	843.65
14.400	856.31
14.500	869.07
14.600	881.93
14.700	894.89
14.800	907.95
14.900	921.11
15.000	934.37
15.100	947.73
15.200	961.19
15.300	974.76
15.400	988.42
15.500	1002.19
15.600	1016.06
15.700	1030.03
15.800	1044.11
15.900	1058.28
16.000	1072.56
16.100	1086.95
16.200	1101.44
16.300	1116.03
16.400	1130.73
16.500	1145.53
16.600	1160.43
16.700	1175.45
16.800	1190.56
16.900	1205.79
17.000	1221.12
17.100	1236.56
17.200	1252.10
17.300	1267.75
17.400	1283.51
17.500	1299.38
17.600	1315.36
17.700	1331.44
17.800	1347.64
17.900	1363.94
18.000	1380.36
18.100	1396.88
18.200	1413.52
18.300	1430.26
18.400	1447.12
18.500	1464.10
18.600	1481.18
18.700	1498.38
18.800	1515.69
18.900	1533.12
19.000	1550.66
19.100	1568.31
19.200	1586.08
19.300	1603.97
19.400	1621.98
19.500	1640.10
19.600	1658.33
19.700	1676.69
19.800	1695.16
19.900	1713.75
20.000	1732.46
20.100	1751.29
20.200	1770.24
20.300	1789.31
20.400	1808.51
20.500	1827.82
20.600	1847.26
20.700	1866.81
20.800	1886.50
20.900	1906.30
21.000	1926.23
21.100	1946.28
21.200	1966.46
21.300	1986.77
21.400	2007.20
21.500	2027.76
21.600	2048.45
21.700	2069.27
21.800	2090.21
21.900	2111.29
22.000	2132.49
22.100	2153.83
22.200	2175.29
22.300	2196.89
22.400	2218.63
22.500	2240.49
22.600	2262.49
22.700	2284.63
22.800	2306.90
22.900	2329.31
23.000	2351.86
23.100	2374.54
23.200	2397.37
23.300	2420.33
23.400	2443.43
23.500	2466.67
23.600	2490.06
23.700	2513.59
23.800	2537.26
23.900	2561.07
24.000	2585.03
24.100	2609.13
24.200	2633.38
24.300	2657.78
24.400	2682.32
24.500	2707.01
24.600	2731.84
24.700	2756.83
24.800	2781.96
24.900	2807.25
25.000	2832.69
25.100	2858.27
25.200	2884.01
25.300	2909.91
25.400	2935.96
25.500	2962.16
25.600	2988.52
25.700	3015.03
25.800	3041.70
25.900	3068.53
26.000	3095.53
26.100	3122.68
26.200	3149.99
26.300	3177.46
26.400	3205.10
26.500	3232.90
26.600	3260.87
26.700	3289.00
26.800	3317.30
26.900	3345.77
27.000	3374.41
27.100	3403.22
27.200	3432.20
27.300	3461.36
27.400	3490.69
27.500	3520.19
27.600	3549.87
27.700	3579.73
27.800	3609.76
27.900	3639.97
28.000	3670.37
28.100	3700.94
28.200	3731.70
28.300	3762.65
28.400	3793.77
28.500	3825.09
28.600	3856.59
28.700	3888.28
28.800	3920.16
28.900	3952.23
29.000	3984.49
29.100	4016.94
29.200	4049.59
29.300	4082.43
29.400	4115.47
29.500	4148.71
29.600	4182.14
29.700	4215.78
29.800	4249.61
29.900	4283.65
30.000	4317.89
