t(c)	y(m)
0.000	0.00
0.100	1.17
0.200	2.69
0.300	4.55
0.400	6.76
0.500	9.32
0.600	12.23
0.700	15.48
0.800	19.09
0.900	23.04
1.000	27.35
1.100	32.01
1.200	37.01
1.300	42.37
1.400	48.08
1.500	54.15
1.600	60.57
1.700	67.34
1.800	74.46
1.900	81.94
2.000	89.77
2.100	97.96
2.200	106.50
2.300	115.40
2.400	124.65
2.500	134.26
2.600	144.23
2.700	154.56
2.800	165.24
2.900	176.28
3.000	187.68
3.100	199.44
3.200	211.56
3.300	224.04
3.400	236.88
3.500	250.08
3.600	263.64
3.700	277.56
3.800	291.84
3.900	306.48
4.000	321.48
4.100	336.85
4.200	352.58
4.300	368.67
4.400	385.13
4.500	401.95
4.600	419.13
4.700	436.67
4.800	454.58
4.900	472.86
5.000	491.50
5.100	510.50
5.200	529.87
5.300	549.60
5.400	569.69
5.500	590.15
5.600	610.97
5.700	632.15
5.800	653.69
5.900	675.59
6.000	697.85
6.100	720.47
6.200	743.46
6.300	766.79
6.400	790.49
6.500	814.54
6.600	838.94
6.700	863.71
6.800	888.82
6.900	914.28
7.000	940.10
7.100	966.26
7.200	992.78
7.300	1019.64
7.400	1046.84
7.500	1074.39
7.600	1102.28
7.700	1130.51
7.800	1159.07
7.900	1187.97
8.000	1217.20
8.100	1246.76
8.200	1276.65
8.300	1306.87
8.400	1337.41
8.500	1368.27
8.600	1399.44
8.700	1430.94
8.800	1462.75
8.900	1494.86
9.000	1527.29
9.100	1560.02
9.200	1593.06
9.300	1626.40
9.400	1660.04
9.500	1693.98
9.600	1728.22
9.700	1762.76
9.800	1797.60
9.900	1832.72
10.000	1868.15
10.100	1903.86
10.200	1939.87
10.300	1976.16
10.400	2012.75
10.500	2049.63
10.600	2086.80
10.700	2124.25
10.800	2162.00
10.900	2200.04
11.000	2238.36
11.100	2276.97
11.200	2315.87
11.300	2355.06
11.400	2394.54
11.500	2434.30
11.600	2474.35
11.700	2514.69
11.800	2555.31
11.900	2596.22
12.000	2637.42
12.100	2678.90
12.200	2720.66
12.300	2762.71
12.400	2805.04
12.500	2847.66
12.600	2890.56
12.700	2933.74
12.800	2977.20
12.900	3020.95
13.000	3064.97
13.100	3109.28
13.200	3153.86
13.300	3198.72
13.400	3243.87
13.500	3289.29
13.600	3334.99
13.700	3380.97
13.800	3427.23
13.900	3473.77
14.000	3520.58
14.100	3567.68
14.200	3615.05
14.300	3662.70
14.400	3710.63
14.500	3758.84
14.600	3807.33
14.700	3856.10
14.800	3905.14
14.900	3954.46
15.000	4004.07
15.100	4053.95
15.200	4104.11
15.300	4154.55
15.400	4205.27
15.500	4256.27
15.600	4307.55
15.700	4359.11
15.800	4410.95
15.900	4463.08
16.000	4515.48
16.100	4568.17
16.200	4621.13
16.300	4674.38
16.400	4727.92
16.500	4781.73
16.600	4835.83
16.700	4890.22
16.800	4944.89
16.900	4999.84
17.000	5055.08
17.100	5110.61
17.200	5166.42
17.300	5222.53
17.400	5278.92
17.500	5335.59
17.600	5392.56
17.700	5449.82
17.800	5507.37
17.900	5565.22
18.000	5623.35
18.100	5681.78
18.200	5740.50
18.300	5799.52
18.400	5858.83
18.500	5918.45
18.600	5978.35
18.700	6038.56
18.800	6099.07
18.900	6159.88
19.000	6220.99
19.100	6282.40
19.200	6344.12
19.300	6406.14
19.400	6468.47
19.500	6531.10
19.600	6594.04
19.700	6657.28
19.800	6720.84
19.900	6784.70
20.000	6848.88
20.100	6913.37
20.200	6978.17
20.300	7043.28
20.400	7108.71
20.500	7174.46
20.600	7240.53
20.700	7306.91
20.800	7373.61
20.900	7440.64
21.000	7507.98
21.100	7575.65
21.200	7643.65
21.300	7711.97
21.400	7780.62
21.500	7849.60
21.600	7918.91
21.700	7988.55
21.800	8058.53
21.900	8128.84
22.000	8199.49
22.100	8270.47
22.200	8341.80
22.300	8413.47
22.400	8485.48
22.500	8557.83
22.600	8630.54
22.700	8703.59
22.800	8776.99
22.900	8850.74
23.000	8924.85
23.100	8999.31
23.200	9074.13
23.300	9149.31
23.400	9224.85
23.500	9300.76
23.600	9377.03
23.700	9453.66
23.800	9530.66
23.900	9608.03
24.000	9685.77
24.100	9763.89
24.200	9842.37
24.300	9921.23
24.400	10000.47
24.500	10080.08
24.600	10160.08
24.700	10240.45
24.800	10321.21
24.900	10402.35
25.000	10483.88
25.100	10565.80
25.200	10648.11
25.300	10730.81
25.400	10813.91
25.500	10897.40
25.600	10981.28
25.700	11065.57
25.800	11150.26
25.900	11235.36
26.000	11320.86
26.100	11406.77
26.200	11493.10
26.300	11579.84
26.400	11667.00
26.500	11754.58
26.600	11842.58
26.700	11931.01
26.800	12019.86
26.900	12109.15
27.000	12198.87
27.100	12289.03
27.200	12379.62
27.300	12470.66
27.400	12562.15
27.500	12654.08
27.600	12746.46
27.700	12839.29
27.800	12932.59
27.900	13026.34
28.000	13120.55
28.100	13215.23
28.200	13310.37
28.300	13405.99
28.400	13502.08
28.500	13598.65
28.600	13695.69
28.700	13793.22
28.800	13891.24
28.900	13989.74
29.000	14088.73
29.100	14188.22
29.200	14288.20
29.300	14388.68
29.400	14489.67
29.500	14591.16
29.600	14693.15
29.700	14795.66
29.800	14898.69
29.900	15002.23
30.000	15106.29
