x(m)	y(m)
0.00	0.00
0.11	1.17
0.26	2.69
0.45	4.55
0.69	6.76
0.99	9.32
1.33	12.23
1.73	15.48
2.18	19.09
2.69	23.04
3.26	27.35
3.89	32.01
4.58	37.01
5.33	42.37
6.15	48.08
7.03	54.15
7.98	60.57
9.00	67.34
10.08	74.46
11.23	81.94
12.45	89.77
13.75	97.96
15.12	106.50
16.55	115.40
18.07	124.65
19.65	134.26
21.32	144.23
23.06	154.56
24.87	165.24
26.77	176.28
28.74	187.68
30.79	199.44
32.93	211.56
35.14	224.04
37.44	236.88
39.81	250.08
42.27	263.64
44.82	277.56
47.45	291.84
50.16	306.48
52.96	321.48
55.84	336.85
58.82	352.58
61.87	368.67
65.02	385.13
68.26	401.95
71.58	419.13
75.00	436.67
78.50	454.58
82.09	472.86
85.78	491.50
89.56	510.50
93.43	529.87
97.39	549.60
101.45	569.69
105.59	590.15
109.84	610.97
114.17	632.15
118.60	653.69
123.13	675.59
127.75	697.85
132.46	720.47
137.27	743.46
142.18	766.79
147.18	790.49
152.28	814.54
157.47	838.94
162.76	863.71
168.15	888.82
173.63	914.28
179.21	940.10
184.89	966.26
190.66	992.78
196.53	1019.64
202.50	1046.84
208.57	1074.39
214.73	1102.28
220.99	1130.51
227.34	1159.07
233.79	1187.97
240.34	1217.20
246.98	1246.76
253.72	1276.65
260.56	1306.87
267.49	1337.41
274.52	1368.27
281.64	1399.44
288.85	1430.94
296.16	1462.75
303.57	1494.86
311.07	1527.29
318.66	1560.02
326.34	1593.06
334.12	1626.40
341.99	1660.04
349.96	1693.98
358.02	1728.22
366.17	1762.76
374.41	1797.60
382.75	1832.72
391.18	1868.15
399.71	1903.86
408.32	1939.87
417.04	1976.16
425.84	2012.75
434.74	2049.63
443.73	2086.80
452.81	2124.25
461.99	2162.00
471.26	2200.04
480.63	2238.36
490.09	2276.97
499.65	2315.87
509.30	2355.06
519.05	2394.54
528.89	2434.30
538.83	2474.35
548.86	2514.69
558.99	2555.31
569.22	2596.22
579.54	2637.42
589.95	2678.90
600.47	2720.66
611.08	2762.71
621.78	2805.04
632.58	2847.66
643.48	2890.56
654.48	2933.74
665.57	2977.20
676.76	3020.95
688.05	3064.97
699.43	3109.28
710.91	3153.86
722.49	3198.72
734.16	3243.87
745.94	3289.29
757.81	3334.99
769.77	3380.97
781.84	3427.23
794.01	3473.77
806.27	3520.58
818.63	3567.68
831.09	3615.05
843.65	3662.70
856.31	3710.63
869.07	3758.84
881.93	3807.33
894.89	3856.10
907.95	3905.14
921.11	3954.46
934.37	4004.07
947.73	4053.95
961.19	4104.11
974.76	4154.55
988.42	4205.27
1002.19	4256.27
1016.06	4307.55
1030.03	4359.11
1044.11	4410.95
1058.28	4463.08
1072.56	4515.48
1086.95	4568.17
1101.44	4621.13
1116.03	4674.38
1130.73	4727.92
1145.53	4781.73
1160.43	4835.83
1175.45	4890.22
1190.56	4944.89
1205.79	4999.84
1221.12	5055.08
1236.56	5110.61
1252.10	5166.42
1267.75	5222.53
1283.51	5278.92
1299.38	5335.59
1315.36	5392.56
1331.44	5449.82
1347.64	5507.37
1363.94	5565.22
1380.36	5623.35
1396.88	5681.78
1413.52	5740.50
1430.26	5799.52
1447.12	5858.83
1464.10	5918.45
1481.18	5978.35
1498.38	6038.56
1515.69	6099.07
1533.12	6159.88
1550.66	6220.99
1568.31	6282.40
1586.08	6344.12
1603.97	6406.14
1621.98	6468.47
1640.10	6531.10
1658.33	6594.04
1676.69	6657.28
1695.16	6720.84
1713.75	6784.70
1732.46	6848.88
1751.29	6913.37
1770.24	6978.17
1789.31	7043.28
1808.51	7108.71
1827.82	7174.46
1847.26	7240.53
1866.81	7306.91
1886.50	7373.61
1906.30	7440.64
1926.23	7507.98
1946.28	7575.65
1966.46	7643.65
1986.77	7711.97
2007.20	7780.62
2027.76	7849.60
2048.45	7918.91
2069.27	7988.55
2090.21	8058.53
2111.29	8128.84
2132.49	8199.49
2153.83	8270.47
2175.29	8341.80
2196.89	8413.47
2218.63	8485.48
2240.49	8557.83
2262.49	8630.54
2284.63	8703.59
2306.90	8776.99
2329.31	8850.74
2351.86	8924.85
2374.54	8999.31
2397.37	9074.13
2420.33	9149.31
2443.43	9224.85
2466.67	9300.76
2490.06	9377.03
2513.59	9453.66
2537.26	9530.66
2561.07	9608.03
2585.03	9685.77
2609.13	9763.89
2633.38	9842.37
2657.78	9921.23
2682.32	10000.47
2707.01	10080.08
2731.84	10160.08
2756.83	10240.45
2781.96	10321.21
2807.25	10402.35
2832.69	10483.88
2858.27	10565.80
2884.01	10648.11
2909.91	10730.81
2935.96	10813.91
2962.16	10897.40
2988.52	10981.28
3015.03	11065.57
3041.70	11150.26
3068.53	11235.36
3095.53	11320.86
3122.68	11406.77
3149.99	11493.10
3177.46	11579.84
3205.10	11667.00
3232.90	11754.58
3260.87	11842.58
3289.00	11931.01
3317.30	12019.86
3345.77	12109.15
3374.41	12198.87
3403.22	12289.03
3432.20	12379.62
3461.36	12470.66
3490.69	12562.15
3520.19	12654.08
3549.87	12746.46
3579.73	12839.29
3609.76	12932.59
3639.97	13026.34
3670.37	13120.55
3700.94	13215.23
3731.70	13310.37
3762.65	13405.99
3793.77	13502.08
3825.09	13598.65
3856.59	13695.69
3888.28	13793.22
3920.16	13891.24
3952.23	13989.74
3984.49	14088.73
4016.94	14188.22
4049.59	14288.20
4082.43	14388.68
4115.47	14489.67
4148.71	14591.16
4182.14	14693.15
4215.78	14795.66
4249.61	14898.69
4283.65	15002.23
4317.89	15106.29
