# Зависимость скорости звука от высоты
# Высота (м)	Значение
-2000	347.888
-1000	344.111
0	340.294
1000	336.435
2000	332.532
3000	328.584
4000	324.589
5000	320.545
6000	316.452
7000	312.306
8000	308.105
9000	303.848
10000	299.532
11000	295.154
12000	295.069
13000	295.069
14000	295.069
15000	295.069
16000	295.069
17000	295.069
18000	295.069
19000	295.069
20000	295.069
21000	295.703
22000	296.377
23000	297.049
24000	297.72
25000	298.389
26000	299.056
27000	299.722
28000	300.386
29000	301.048
30000	301.709
31000	302.368
32000	303.025
33000	304.667
34000	306.489
35000	308.299
36000	310.099
37000	311.887
38000	313.665
39000	315.432
40000	317.189
41000	318.936
42000	320.672
43000	322.399
44000	324.116
45000	325.823
46000	327.521
47000	329.21
48000	329.799
49000	329.799
50000	329.799
51000	329.799
52000	328.811
53000	327.124
54000	325.428
55000	323.724
56000	322.011
57000	320.29
58000	318.56
59000	316.821
60000	315.073
61000	313.316
62000	311.55
63000	309.774
64000	307.988
65000	306.193
66000	304.387
67000	302.572
68000	300.746
69000	298.909
70000	297.061
71000	295.203
72000	293.439
73000	292.097
74000	290.75
75000	289.396
76000	288.037
77000	286.671
78000	285.3
79000	283.922
80000	282.538
81000	281.147
82000	279.751
83000	278.347
84000	276.937
85000	275.52
86000	273.879
87000	273.879
88000	273.879
89000	273.879
90000	273.879
91000	273.879
92000	273.879
93000	273.879
94000	273.879
