# Зависимость температуры от высоты
# Высота (м)	Значение
-2000	301.154
-1000	294.651
0	288.15
1000	281.651
2000	275.154
3000	268.659
4000	262.166
5000	255.676
6000	249.187
7000	242.7
8000	236.215
9000	229.733
10000	223.252
11000	216.774
12000	216.65
13000	216.65
14000	216.65
15000	216.65
16000	216.65
17000	216.65
18000	216.65
19000	216.65
20000	216.65
21000	217.581
22000	218.574
23000	219.567
24000	220.56
25000	221.552
26000	222.544
27000	223.536
28000	224.527
29000	225.518
30000	226.509
31000	227.5
32000	228.49
33000	230.973
34000	233.744
35000	236.513
36000	239.282
37000	242.05
38000	244.818
39000	247.584
40000	250.35
41000	253.114
42000	255.878
43000	258.641
44000	261.403
45000	264.164
46000	266.925
47000	269.684
48000	270.65
49000	270.65
50000	270.65
51000	270.65
52000	269.031
53000	266.277
54000	263.524
55000	260.771
56000	258.019
57000	255.268
58000	252.518
59000	249.769
60000	247.021
61000	244.273
62000	241.527
63000	238.781
64000	236.036
65000	233.292
66000	230.549
67000	227.807
68000	225.065
69000	222.325
70000	219.585
71000	216.846
72000	214.263
73000	212.308
74000	210.353
75000	208.399
76000	206.446
77000	204.493
78000	202.541
79000	200.589
80000	198.639
81000	196.688
82000	194.739
83000	192.79
84000	190.841
85000	188.893
86000	186.65
87000	186.65
88000	186.65
89000	186.65
90000	186.65
91000	186.65
92000	186.65
93000	186.65
94000	186.65
